PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),QC
2101720,2017-11-21T04:00:00Z,39.7610,134.5270,15.7,1026.7,0,1.5,01111171
2101720,2017-11-21T05:00:00Z,39.7580,134.5240,15.8,1026.1,0,1.1,01111171
2101720,2017-11-21T06:00:00Z,39.7600,134.5240,15.8,1025.6,0,1.1,01111171
2101720,2017-11-21T07:00:00Z,39.7640,134.5220,15.7,1025.1,0,1.1,01111171
2101720,2017-11-21T08:00:00Z,39.7720,134.5250,15.7,1024.7,0,1.2,01111171
2101720,2017-11-21T09:00:00Z,39.7800,134.5340,15.7,1024.2,0,1,01111171
2101720,2017-11-21T10:00:00Z,39.7920,134.5470,15.6,1023.6,0,1.1,01111171
2101720,2017-11-21T11:00:00Z,39.8050,134.5610,15.6,1022.6,0,1.2,01111171
2101720,2017-11-21T12:00:00Z,39.8170,134.5790,15.6,1022.2,0,1.5,01111171
2101720,2017-11-21T15:00:00Z,39.8460,134.6470,15.7,1019.4,0,2.1,01111171
2101720,2017-11-21T16:00:00Z,39.8500,134.6720,15.7,1018.7,0,2.3,01111171
2101720,2017-11-21T17:00:00Z,39.8550,134.6970,15.6,1017.8,0,2.7,01111171
2101720,2017-11-21T18:00:00Z,39.8560,134.7240,15.6,1017.4,0,2.9,01111171
2101720,2017-11-21T19:00:00Z,39.8510,134.7580,15.5,1016.6,0,3.4,01111171
2101720,2017-11-21T20:00:00Z,39.8450,134.7870,15.3,1016.1,0,3.4,01111171
2101720,2017-11-21T21:00:00Z,39.8360,134.8120,15.2,1016,0,3.1,01111171
2101720,2017-11-21T22:00:00Z,39.8250,134.8360,15.1,1015.6,0,3.1,01111171
2101720,2017-11-21T23:00:00Z,39.8120,134.8580,15,1015.9,0,2.8,01111171
2101720,2017-11-22T00:00:00Z,39.7990,134.8780,14.9,1015.3,0,2.8,01111171
2101720,2017-11-22T01:00:00Z,39.7870,134.8950,14.9,1014.6,0,2.7,01111171
2101720,2017-11-22T02:00:00Z,39.7750,134.9110,14.9,1013.7,0,2.5,01111171
2101720,2017-11-22T03:00:00Z,39.7640,134.9250,14.8,1012.9,0,2.9,01111171
2101720,2017-11-22T04:00:00Z,39.7530,134.9390,14.8,1011.7,0,2.2,01111171
2101720,2017-11-22T05:00:00Z,39.7430,134.9550,14.7,1011.3,0,2.3,01111171
