PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
5100805,71367,2017-11-09T20:00:00Z,40.0615,164.9784,17.11,0,,,,,,,0011117999999
5100805,71367,2017-11-09T21:00:00Z,40.0610,164.9770,,,17.27,0.5,311,15,-0.402,0.021,0011199171111
5100805,71367,2017-11-09T21:00:00Z,40.0598,164.9823,17.19,0,,,,,,,0011117999999
5100805,71367,2017-11-09T22:00:00Z,40.0630,164.9580,17.35,0,,,,,,,0011117999999
5100805,71367,2017-11-09T23:00:00Z,40.0630,164.9580,17.46,0,,,,,,,0011117999999
5100805,71367,2017-11-10T00:00:00Z,40.0740,164.9150,,,17.48,0.5,311,15,-0.386,0.206,0011199171111
5100805,71367,2017-11-10T00:00:00Z,40.0751,164.9096,17.56,0,,,,,,,0011117999999
5100805,71367,2017-11-10T01:00:00Z,40.0747,164.9100,17.58,0,,,,,,,0011117999999
5100805,71367,2017-11-10T02:00:00Z,40.0747,164.9100,17.6,0,,,,,,,0011117999999
5100805,71367,2017-11-10T03:00:00Z,40.1010,164.8790,,,17.64,0.5,311,15,-0.189,0.314,0011199171111
5100805,71367,2017-11-10T03:00:00Z,40.1103,164.8727,17.65,0,,,,,,,0011117999999
5100805,71367,2017-11-10T04:00:00Z,40.1103,164.8727,17.68,0,,,,,,,0011117999999
5100805,71367,2017-11-10T05:00:00Z,40.1103,164.8727,17.72,0,,,,,,,0011117999999
5100805,71367,2017-11-10T06:00:00Z,40.1350,164.8670,,,17.66,0.5,311,15,0.035,0.201,0011199171111
5100805,71367,2017-11-10T06:00:00Z,40.1368,164.8670,17.72,0,,,,,,,0011117999999
5100805,71367,2017-11-10T07:00:00Z,40.1431,164.8713,17.7,0,,,,,,,0011117999999
5100805,71367,2017-11-10T08:00:00Z,40.1431,164.8713,17.68,0,,,,,,,0011117999999
5100805,71367,2017-11-10T09:00:00Z,40.1400,164.8880,,,17.47,0.5,311,15,0.114,-0.273,0011199171111
5100805,71367,2017-11-10T09:00:00Z,40.1451,164.8873,17.6,0,,,,,,,0011117999999
5100805,71367,2017-11-10T10:00:00Z,40.1353,164.8891,17.41,0,,,,,,,0011117999999
5100805,71367,2017-11-10T11:00:00Z,40.1037,164.9031,17.11,0,,,,,,,0011117999999
5100805,71367,2017-11-10T12:00:00Z,40.0820,164.8960,,,17.18,0.5,311,15,-0.13,-0.571,0011199171111
5100805,71367,2017-11-10T12:00:00Z,40.1037,164.9031,17.06,0,,,,,,,0011117999999
5100805,71367,2017-11-10T13:00:00Z,40.1037,164.9031,17.04,0,,,,,,,0011117999999
5100805,71367,2017-11-10T14:00:00Z,40.1037,164.9031,17.02,0,,,,,,,0011117999999
5100805,71367,2017-11-10T15:00:00Z,40.0290,164.8550,,,17.01,0.5,311,15,-0.437,-0.453,0011199171111
5100805,71367,2017-11-10T15:00:00Z,40.1037,164.9031,17,0,,,,,,,0011117999999
5100805,71367,2017-11-10T16:00:00Z,40.1037,164.9031,17.01,0,,,,,,,0011117999999
5100805,71367,2017-11-10T17:00:00Z,40.0021,164.8183,16.99,0,,,,,,,0014417999999
5100805,71367,2017-11-10T18:00:00Z,39.9940,164.7850,,,16.97,0.5,311,15,-0.556,-0.185,0011199171111
5100805,71367,2017-11-10T18:00:00Z,39.9965,164.7936,16.97,0,,,,,,,0011117999999
5100805,71367,2017-11-10T19:00:00Z,39.9901,164.7679,16.96,0,,,,,,,0011117999999
5100805,71367,2017-11-10T20:00:00Z,39.9898,164.7294,16.94,0,,,,,,,0011117999999
