PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
5100809,71331,2017-11-01T00:00:00Z,32.5696,160.8288,24.72,0,0011117
5100809,71331,2017-11-01T01:00:00Z,32.5473,160.8082,24.84,0,0011117
5100809,71331,2017-11-01T02:00:00Z,32.4644,160.7742,24.94,0,0014417
5100809,71331,2017-11-01T03:00:00Z,32.4644,160.7742,24.99,0,0011117
5100809,71331,2017-11-01T04:00:00Z,32.4644,160.7742,25.05,0,0011117
5100809,71331,2017-11-01T05:00:00Z,32.4639,160.7628,25.05,0,0011117
5100809,71331,2017-11-01T06:00:00Z,32.4585,160.7699,25.04,0,0011117
5100809,71331,2017-11-01T07:00:00Z,32.4354,160.7374,25.03,0,0011117
5100809,71331,2017-11-01T08:00:00Z,32.4454,160.7286,25.01,0,0011117
5100809,71331,2017-11-01T09:00:00Z,32.4404,160.7076,25.01,0,0011117
5100809,71331,2017-11-01T10:00:00Z,32.4349,160.7130,25,0,0011117
5100809,71331,2017-11-01T11:00:00Z,32.4349,160.7130,24.97,0,0011117
5100809,71331,2017-11-01T12:00:00Z,32.4149,160.6796,24.97,0,0011117
5100809,71331,2017-11-01T13:00:00Z,32.4149,160.6796,24.97,0,0011117
5100809,71331,2017-11-01T14:00:00Z,32.4157,160.7081,24.96,0,0011117
5100809,71331,2017-11-01T15:00:00Z,32.4157,160.7081,24.95,0,0011117
5100809,71331,2017-11-01T16:00:00Z,32.4149,160.6796,24.94,0,0011117
5100809,71331,2017-11-01T17:00:00Z,32.4157,160.7081,24.92,0,0011117
5100809,71331,2017-11-01T18:00:00Z,32.3985,160.7258,24.91,0,0011117
5100809,71331,2017-11-01T19:00:00Z,32.3979,160.7157,24.92,0,0011117
5100809,71331,2017-11-01T20:00:00Z,32.3870,160.6983,24.91,0,0011117
5100809,71331,2017-11-01T21:00:00Z,32.3760,160.7269,24.92,0,0011117
5100809,71331,2017-11-01T22:00:00Z,32.3706,160.7348,24.93,0,0011117
5100809,71331,2017-11-01T23:00:00Z,32.3785,160.6826,24.93,0,0011117
5100809,71331,2017-11-02T00:00:00Z,32.3272,160.7000,24.94,0,0011117
5100809,71331,2017-11-02T01:00:00Z,32.3272,160.7000,24.93,0,0011117
5100809,71331,2017-11-02T02:00:00Z,32.2787,160.5893,24.93,0,0014417
5100809,71331,2017-11-02T03:00:00Z,32.3272,160.7000,24.91,0,0014417
5100809,71331,2017-11-02T04:00:00Z,32.2787,160.5893,24.9,0,0014417
5100809,71331,2017-11-02T05:00:00Z,32.2903,160.6002,24.89,0,0011117
5100809,71331,2017-11-02T06:00:00Z,32.2841,160.5621,24.86,0,0011117
5100809,71331,2017-11-02T07:00:00Z,32.2880,160.5487,24.82,0,0011117
5100809,71331,2017-11-02T08:00:00Z,32.2904,160.5375,24.8,0,0011117
5100809,71331,2017-11-02T09:00:00Z,32.2836,160.5384,24.79,0,0011117
5100809,71331,2017-11-02T10:00:00Z,32.3024,160.5432,24.78,0,0011117
5100809,71331,2017-11-02T11:00:00Z,32.2816,160.5383,24.76,0,0011117
5100809,71331,2017-11-02T12:00:00Z,32.2842,160.5301,24.76,0,0011117
5100809,71331,2017-11-02T13:00:00Z,32.2842,160.5301,24.76,0,0011117
5100809,71331,2017-11-02T14:00:00Z,32.2888,160.5567,24.74,0,0011117
5100809,71331,2017-11-02T15:00:00Z,32.2842,160.5301,24.72,0,0011117
5100809,71331,2017-11-02T16:00:00Z,32.2842,160.5301,24.71,0,0011117
5100809,71331,2017-11-02T17:00:00Z,32.2888,160.5567,24.7,0,0011117
5100809,71331,2017-11-02T18:00:00Z,32.2780,160.5726,24.69,0,0011117
5100809,71331,2017-11-02T19:00:00Z,32.2780,160.5726,24.71,0,0011117
5100809,71331,2017-11-02T20:00:00Z,32.2401,160.5767,24.7,0,0011117
5100809,71331,2017-11-02T21:00:00Z,32.2445,160.5265,24.74,0,0011117
5100809,71331,2017-11-02T22:00:00Z,32.2445,160.5265,24.71,0,0011117
5100809,71331,2017-11-02T23:00:00Z,32.2168,160.5200,24.7,0,0011117
5100809,71331,2017-11-03T00:00:00Z,32.2070,160.5139,24.68,0,0011117
5100809,71331,2017-11-03T01:00:00Z,32.2070,160.5139,24.69,0,0011117
5100809,71331,2017-11-03T02:00:00Z,32.2020,160.4327,24.68,0,0014417
5100809,71331,2017-11-03T03:00:00Z,32.2070,160.5139,24.68,0,0014417
5100809,71331,2017-11-03T04:00:00Z,32.2015,160.4337,24.64,0,0014417
5100809,71331,2017-11-03T05:00:00Z,32.2015,160.4337,24.62,0,0011117
5100809,71331,2017-11-03T06:00:00Z,32.2161,160.4351,24.61,0,0011117
5100809,71331,2017-11-03T07:00:00Z,32.2384,160.4372,24.6,0,0011117
5100809,71331,2017-11-03T08:00:00Z,32.2384,160.4372,24.58,0,0011117
5100809,71331,2017-11-03T09:00:00Z,32.2384,160.4372,24.55,0,0011117
5100809,71331,2017-11-03T10:00:00Z,32.2484,160.3929,24.53,0,0011117
5100809,71331,2017-11-03T11:00:00Z,32.2477,160.3805,24.5,0,0011117
5100809,71331,2017-11-03T12:00:00Z,32.2553,160.4159,24.47,0,0011117
5100809,71331,2017-11-03T13:00:00Z,32.2553,160.4159,24.44,0,0011117
5100809,71331,2017-11-03T14:00:00Z,32.2549,160.3891,24.34,0,0011117
5100809,71331,2017-11-03T15:00:00Z,32.2549,160.3891,24.34,0,0011117
5100809,71331,2017-11-03T16:00:00Z,32.2549,160.3892,24.31,0,0011117
5100809,71331,2017-11-03T17:00:00Z,32.2419,160.4116,24.31,0,0011117
5100809,71331,2017-11-03T18:00:00Z,32.2419,160.4116,24.31,0,0011117
5100809,71331,2017-11-03T19:00:00Z,32.2356,160.4117,24.33,0,0011117
5100809,71331,2017-11-03T20:00:00Z,32.2356,160.4117,24.32,0,0011117
5100809,71331,2017-11-03T21:00:00Z,32.2371,160.3645,24.34,0,0011117
5100809,71331,2017-11-03T22:00:00Z,32.2266,160.3671,24.38,0,0011117
5100809,71331,2017-11-03T23:00:00Z,32.2266,160.3671,24.38,0,0011117
5100809,71331,2017-11-04T00:00:00Z,32.2418,160.3541,24.38,0,0011117
5100809,71331,2017-11-04T01:00:00Z,32.2332,160.3695,24.39,0,0011117
5100809,71331,2017-11-04T02:00:00Z,32.2521,160.3132,24.39,0,0014417
5100809,71331,2017-11-04T03:00:00Z,32.2332,160.3695,24.42,0,0014417
5100809,71331,2017-11-04T04:00:00Z,32.2521,160.3132,24.45,0,0014417
5100809,71331,2017-11-04T05:00:00Z,32.2706,160.3376,24.44,0,0011117
5100809,71331,2017-11-04T06:00:00Z,32.2807,160.3323,24.42,0,0011117
5100809,71331,2017-11-04T07:00:00Z,32.2807,160.3323,24.39,0,0011117
5100809,71331,2017-11-04T08:00:00Z,32.2807,160.3323,24.38,0,0011117
5100809,71331,2017-11-04T09:00:00Z,32.3132,160.3074,24.4,0,0011117
5100809,71331,2017-11-04T10:00:00Z,32.2904,160.3198,24.41,0,0011117
5100809,71331,2017-11-04T11:00:00Z,32.2954,160.3456,24.4,0,0011117
5100809,71331,2017-11-04T12:00:00Z,32.2917,160.3504,24.43,0,0011117
5100809,71331,2017-11-04T13:00:00Z,32.2917,160.3504,24.43,0,0011117
5100809,71331,2017-11-04T14:00:00Z,32.2917,160.3504,24.41,0,0011117
5100809,71331,2017-11-04T15:00:00Z,32.2783,160.3652,24.38,0,0011117
5100809,71331,2017-11-04T16:00:00Z,32.2783,160.3652,24.34,0,0011117
5100809,71331,2017-11-04T17:00:00Z,32.2917,160.3504,24.28,0,0011117
5100809,71331,2017-11-04T18:00:00Z,32.2832,160.3451,24.25,0,0011117
5100809,71331,2017-11-04T19:00:00Z,32.2924,160.3203,24.22,0,0011117
5100809,71331,2017-11-04T20:00:00Z,32.2799,160.3165,24.11,0,0011117
5100809,71331,2017-11-04T21:00:00Z,32.3000,160.3412,24.13,0,0011117
5100809,71331,2017-11-04T22:00:00Z,32.3075,160.3336,23.93,0,0011117
5100809,71331,2017-11-04T23:00:00Z,32.3098,160.3324,23.76,0,0011117
5100809,71331,2017-11-05T00:00:00Z,32.3168,160.3596,23.57,0,0011117
5100809,71331,2017-11-05T01:00:00Z,32.3168,160.3596,23.54,0,0011117
