PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
5201627,2017-11-01T00:00:00Z,20.2730,132.1830,,,,,,,26.66,0.5,311,15,-0.531,0.195,0111999999171111
5201627,2017-11-01T00:00:00Z,20.2734,132.1830,26.64,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T01:00:00Z,20.2814,132.1646,26.66,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T02:00:00Z,20.2926,132.1442,26.69,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T03:00:00Z,20.3060,132.1260,,,,,,,26.71,0.5,311,15,-0.444,0.401,0111999999171111
5201627,2017-11-01T03:00:00Z,20.3046,132.1278,26.74,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T04:00:00Z,20.3170,132.1122,26.74,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T05:00:00Z,20.3324,132.1000,26.76,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T06:00:00Z,20.3510,132.0910,,,,,,,26.73,0.5,311,15,-0.188,0.504,0111999999171111
5201627,2017-11-01T06:00:00Z,20.3508,132.0912,26.76,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T07:00:00Z,20.3694,132.0846,26.74,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T08:00:00Z,20.3884,132.0830,26.74,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T09:00:00Z,20.4040,132.0870,,,,,,,26.71,0.5,311,15,0.063,0.504,0111999999171111
5201627,2017-11-01T09:00:00Z,20.4058,132.0870,26.7,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T10:00:00Z,20.4234,132.0944,26.68,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T11:00:00Z,20.4372,132.0994,26.68,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T12:00:00Z,20.4490,132.1040,,,,,,,26.67,0.5,311,15,0.178,0.365,0111999999171111
5201627,2017-11-01T12:00:00Z,20.4488,132.1040,26.67,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T13:00:00Z,20.4596,132.1102,26.66,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T14:00:00Z,20.4682,132.1166,26.64,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T15:00:00Z,20.4750,132.1240,,,,,,,26.64,0.5,311,15,0.164,0.195,0111999999171111
5201627,2017-11-01T15:00:00Z,20.4744,132.1238,26.64,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T16:00:00Z,20.4800,132.1290,26.62,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T17:00:00Z,20.4844,132.1340,26.62,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T18:00:00Z,20.4870,132.1380,,,,,,,26.62,0.5,311,15,0.106,0.093,0111999999171111
5201627,2017-11-01T18:00:00Z,20.4866,132.1380,26.62,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T19:00:00Z,20.4890,132.1388,26.62,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T20:00:00Z,20.4924,132.1408,26.62,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T21:00:00Z,20.4930,132.1460,,,,,,,26.62,0.5,311,15,0.14,0.01,0111999999171111
5201627,2017-11-01T21:00:00Z,20.4934,132.1464,26.61,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T22:00:00Z,20.4934,132.1548,26.6,0,,,,,,,,,,,0111179999999999
5201627,2017-11-01T23:00:00Z,20.4924,132.1616,26.62,0,,,,,,,,,,,0111179999999999
5201627,2017-11-02T00:00:00Z,20.4890,132.1670,,,,,,,26.65,0.5,311,15,0.072,-0.082,0111999999171111
