PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
3200623,133217,2017-11-01T00:08:00Z,35.3269,157.7224,21.32,0,0011117
3200623,133217,2017-11-01T03:54:00Z,35.3269,157.7224,21.28,0,0011117
3200623,133217,2017-11-01T05:30:00Z,35.3097,157.7222,21.24,0,0011117
3200623,133217,2017-11-01T06:37:00Z,35.3424,157.7231,21.2,0,0011117
3200623,133217,2017-11-01T06:48:00Z,35.3097,157.7222,21.2,0,0014417
3200623,133217,2017-11-01T06:56:00Z,35.3499,157.7302,21.2,0,0014417
3200623,133217,2017-11-01T07:00:00Z,35.3411,157.7147,21.2,0,0014417
3200623,133217,2017-11-01T08:13:00Z,35.3389,157.6980,21.16,0,0011117
3200623,133217,2017-11-01T08:16:00Z,35.3391,157.6918,21.16,0,0014417
3200623,133217,2017-11-01T08:31:00Z,35.3431,157.6847,21.16,0,0011117
3200623,133217,2017-11-01T08:37:00Z,35.3431,157.6847,21.16,0,0011117
3200623,133217,2017-11-01T08:41:00Z,35.3431,157.6847,21.16,0,0011117
3200623,133217,2017-11-01T09:44:00Z,35.3508,157.6873,21.12,0,0011117
3200623,133217,2017-11-01T10:34:00Z,35.3508,157.6873,21.12,0,0011117
3200623,133217,2017-11-01T10:39:00Z,35.3508,157.6873,21.08,0,0011117
3200623,133217,2017-11-01T11:20:00Z,35.3580,157.6694,21.04,0,0011117
3200623,133217,2017-11-01T11:25:00Z,35.3577,157.6727,21.04,0,0011117
3200623,133217,2017-11-01T16:08:00Z,35.3577,157.6727,21,0,0011117
3200623,133217,2017-11-01T16:19:00Z,35.3975,157.6463,21,0,0014417
3200623,133217,2017-11-01T17:59:00Z,35.4194,157.6252,21.04,0,0011117
3200623,133217,2017-11-01T18:14:00Z,35.4314,157.6236,21.04,0,0011117
3200623,133217,2017-11-01T18:55:00Z,35.4409,157.6195,21.04,0,0011117
3200623,133217,2017-11-01T19:17:00Z,35.4509,157.6206,21.04,0,0011117
3200623,133217,2017-11-01T19:34:00Z,35.4509,157.6206,21.04,0,0011117
3200623,133217,2017-11-01T19:49:00Z,35.4594,157.6272,21.04,0,0011117
3200623,133217,2017-11-01T19:53:00Z,35.4596,157.6289,21.04,0,0011117
3200623,133217,2017-11-01T20:27:00Z,35.4596,157.6289,21.04,0,0011117
3200623,133217,2017-11-01T20:34:00Z,35.4596,157.6289,21.04,0,0011117
3200623,133217,2017-11-01T20:37:00Z,35.4596,157.6289,21.04,0,0011117
3200623,133217,2017-11-01T20:52:00Z,35.4596,157.6289,21.04,0,0011117
3200623,133217,2017-11-01T20:59:00Z,35.4596,157.6289,21.04,0,0011117
3200623,133217,2017-11-01T21:01:00Z,35.4596,157.6289,21.04,0,0011117
3200623,133217,2017-11-01T21:58:00Z,35.4867,157.6636,21.08,0,0011117
3200623,133217,2017-11-01T22:05:00Z,35.4866,157.6435,21.08,0,0014417
3200623,133217,2017-11-01T22:10:00Z,35.4596,157.6289,,0,0011197
3200623,133217,2017-11-01T22:40:00Z,35.4867,157.6636,21.08,0,0014417
3200623,133217,2017-11-01T22:55:00Z,35.4867,157.6636,21.08,0,0011117
3200623,133217,2017-11-01T23:01:00Z,35.4867,157.6636,21.08,0,0011117
3200623,133217,2017-11-01T23:46:00Z,35.4905,157.6773,21.12,0,0011117
3200623,133217,2017-11-02T00:40:00Z,35.4905,157.6773,,0,0011197
3200623,133217,2017-11-02T01:20:00Z,35.4905,157.6773,21.16,0,0011117
3200623,133217,2017-11-02T03:42:00Z,35.5156,157.6537,21.12,0,0011117
3200623,133217,2017-11-02T05:18:00Z,35.5070,157.6305,21.12,0,0011117
3200623,133217,2017-11-02T05:23:00Z,35.5071,157.6296,21.12,0,0011117
3200623,133217,2017-11-02T06:11:00Z,35.5188,157.6414,21.12,0,0011117
3200623,133217,2017-11-02T06:14:00Z,35.5183,157.6365,21.12,0,0014417
3200623,133217,2017-11-02T06:28:00Z,35.5153,157.6622,21.12,0,0014417
3200623,133217,2017-11-02T06:37:00Z,35.5188,157.6414,21.12,0,0011117
3200623,133217,2017-11-02T06:43:00Z,35.5257,157.6688,21.12,0,0014417
3200623,133217,2017-11-02T07:47:00Z,35.5341,157.6527,21.08,0,0011117
3200623,133217,2017-11-02T07:53:00Z,35.5223,157.6116,21.08,0,0014417
3200623,133217,2017-11-02T08:08:00Z,35.5251,157.6073,21.08,0,0011117
3200623,133217,2017-11-02T08:18:00Z,35.5280,157.6032,21.08,0,0011117
3200623,133217,2017-11-02T08:24:00Z,35.5280,157.6032,21.08,0,0011117
3200623,133217,2017-11-02T09:24:00Z,35.5336,157.5885,21.08,0,0011117
3200623,133217,2017-11-02T09:59:00Z,35.5336,157.5885,21.04,0,0011117
3200623,133217,2017-11-02T10:11:00Z,35.5336,157.5885,21.04,0,0011117
3200623,133217,2017-11-02T10:19:00Z,35.5426,157.5844,21.04,0,0014417
