PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),QC
2101722,2017-12-22T02:00:00Z,28.8820,132.2760,22.3,0,1,0111171
2101722,2017-12-22T03:00:00Z,28.8640,132.2690,22.3,0,1,0111171
2101722,2017-12-22T04:00:00Z,28.8430,132.2620,22.3,0,1,0111171
2101722,2017-12-22T05:00:00Z,28.8210,132.2540,22.3,0,0.9,0111171
2101722,2017-12-22T06:00:00Z,28.7980,132.2460,22.3,0,1,0111171
2101722,2017-12-22T07:00:00Z,28.7760,132.2340,22.2,0,0.9,0111171
2101722,2017-12-22T08:00:00Z,28.7550,132.2230,22.2,0,0.9,0111171
2101722,2017-12-22T09:00:00Z,28.7350,132.2100,22.1,0,0.9,0111171
2101722,2017-12-22T12:00:00Z,28.6860,132.1670,22,0,1,0111171
2101722,2017-12-22T15:00:00Z,28.6510,132.1370,21.9,0,1,0111171
2101722,2017-12-22T18:00:00Z,28.6120,132.1380,21.7,0,1.1,0111171
2101722,2017-12-22T21:00:00Z,28.5770,132.1420,21.7,0,1.1,0111171
2101722,2017-12-23T00:00:00Z,28.5460,132.1500,21.7,0,1,0111171
2101722,2017-12-23T03:00:00Z,28.5000,132.1600,21.7,0,1.1,0111171
2101722,2017-12-23T06:00:00Z,28.4480,132.1660,21.8,0,1.2,0111171
2101722,2017-12-23T09:00:00Z,28.3900,132.1670,21.7,0,1.1,0111171
2101722,2017-12-23T12:00:00Z,28.3440,132.1470,21.7,0,1.3,0111171
2101722,2017-12-23T15:00:00Z,28.3200,132.1160,21.7,0,1.4,0111171
2101722,2017-12-23T18:00:00Z,28.3190,132.1050,21.7,0,1.4,0111171
2101722,2017-12-23T21:00:00Z,28.3210,132.1160,21.8,0,1.5,0111171
2101722,2017-12-24T00:00:00Z,28.3150,132.1260,21.8,0,1.7,0111171
2101722,2017-12-24T03:00:00Z,28.3140,132.1330,21.8,0,1.8,0111171
2101722,2017-12-24T06:00:00Z,28.3200,132.1460,21.8,0,2.1,0111171
2101722,2017-12-24T07:00:00Z,28.3230,132.1580,21.8,0,2.4,0111171
2101722,2017-12-24T08:00:00Z,28.3260,132.1710,21.8,0,2.6,0111171
2101722,2017-12-24T09:00:00Z,28.3300,132.1850,21.8,0,2.7,0111171
