PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5201594,2017-11-01T00:00:00Z,3.8424,126.7436,0,01117
5201594,2017-11-01T00:05:00Z,3.8422,126.7434,0,01117
5201594,2017-11-01T00:15:00Z,3.8420,126.7436,0,01117
5201594,2017-11-01T00:20:00Z,3.8420,126.7436,0,01117
5201594,2017-11-01T00:35:00Z,3.8420,126.7436,0,01117
5201594,2017-11-01T00:40:00Z,3.8418,126.7436,0,01117
5201594,2017-11-01T00:50:00Z,3.8422,126.7436,0,01117
5201594,2017-11-01T01:00:00Z,3.8420,126.7436,0,01117
5201594,2017-11-01T01:10:00Z,3.8418,126.7436,0,01117
5201594,2017-11-01T01:15:00Z,3.8418,126.7436,0,01117
5201594,2017-11-01T01:20:00Z,3.8418,126.7438,0,01117
5201594,2017-11-01T01:25:00Z,3.8420,126.7438,0,01117
5201594,2017-11-01T01:30:00Z,3.8426,126.7438,0,01117
5201594,2017-11-01T01:35:00Z,3.8426,126.7438,0,01117
5201594,2017-11-01T01:40:00Z,3.8420,126.7438,0,01117
5201594,2017-11-01T01:45:00Z,3.8420,126.7438,0,01117
5201594,2017-11-01T01:50:00Z,3.8420,126.7436,0,01117
5201594,2017-11-01T01:55:00Z,3.8420,126.7438,0,01117
5201594,2017-11-01T02:00:00Z,3.8420,126.7436,0,01117
5201594,2017-11-01T02:05:00Z,3.8420,126.7436,0,01117
5201594,2017-11-01T02:10:00Z,3.8420,126.7436,0,01117
5201594,2017-11-01T02:15:00Z,3.8420,126.7436,0,01117
5201594,2017-11-01T02:20:00Z,3.8420,126.7438,0,01117
5201594,2017-11-01T02:45:00Z,3.8418,126.7436,0,01117
5201594,2017-11-01T02:50:00Z,3.8418,126.7436,0,01117
5201594,2017-11-01T02:55:00Z,3.8420,126.7436,0,01117
5201594,2017-11-01T03:00:00Z,3.8420,126.7434,0,01117
5201594,2017-11-01T03:15:00Z,3.8420,126.7434,0,01117
5201594,2017-11-01T03:20:00Z,3.8418,126.7436,0,01117
5201594,2017-11-01T03:25:00Z,3.8420,126.7436,0,01117
5201594,2017-11-01T03:30:00Z,3.8418,126.7434,0,01117
5201594,2017-11-01T03:35:00Z,3.8418,126.7436,0,01117
5201594,2017-11-01T03:50:00Z,3.8422,126.7436,0,01117
5201594,2017-11-01T04:05:00Z,3.8422,126.7436,0,01117
5201594,2017-11-01T04:10:00Z,3.8422,126.7436,0,01117
5201594,2017-11-01T04:15:00Z,3.8422,126.7436,0,01117
5201594,2017-11-01T04:20:00Z,3.8422,126.7436,0,01117
5201594,2017-11-01T04:25:00Z,3.8422,126.7436,0,01117
