PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
2101520,2017-11-01T00:00:00Z,39.0582,164.9794,17.3,0,011117
2101520,2017-11-01T01:00:00Z,39.0398,164.9748,17.3,0,011117
2101520,2017-11-01T02:00:00Z,39.0210,164.9642,17.3,0,011117
2101520,2017-11-01T03:00:00Z,39.0076,164.9492,17.33,0,011117
2101520,2017-11-01T04:00:00Z,39.0004,164.9332,17.33,0,011117
2101520,2017-11-01T05:00:00Z,38.9962,164.9154,17.33,0,011117
2101520,2017-11-01T06:00:00Z,38.9936,164.8996,17.37,0,011117
2101520,2017-11-01T07:00:00Z,38.9938,164.8894,17.37,0,011117
2101520,2017-11-01T08:00:00Z,38.9956,164.8834,17.33,0,011117
2101520,2017-11-01T09:00:00Z,38.9990,164.8822,17.33,0,011117
2101520,2017-11-01T10:00:00Z,39.0008,164.8832,17.37,0,011117
2101520,2017-11-01T11:00:00Z,39.0016,164.8872,17.33,0,011117
2101520,2017-11-01T12:00:00Z,39.0020,164.8908,17.37,0,011117
2101520,2017-11-01T13:00:00Z,39.0006,164.8976,17.33,0,011117
2101520,2017-11-01T14:00:00Z,38.9962,164.9054,17.33,0,011117
2101520,2017-11-01T15:00:00Z,38.9888,164.9124,17.33,0,011117
2101520,2017-11-01T16:00:00Z,38.9812,164.9198,17.33,0,011117
2101520,2017-11-01T17:00:00Z,38.9702,164.9266,17.33,0,011117
2101520,2017-11-01T18:00:00Z,38.9550,164.9300,17.37,0,011117
2101520,2017-11-01T19:00:00Z,38.9376,164.9276,17.37,0,011117
2101520,2017-11-01T20:00:00Z,38.9214,164.9240,17.37,0,011117
2101520,2017-11-01T21:00:00Z,38.9054,164.9148,17.33,0,011117
2101520,2017-11-01T22:00:00Z,38.8966,164.8988,17.37,0,011117
2101520,2017-11-01T23:00:00Z,38.8830,164.8854,17.33,0,011117
2101520,2017-11-02T00:00:00Z,38.8776,164.8658,17.37,0,011117
2101520,2017-11-02T01:00:00Z,38.8736,164.8476,17.48,0,011117
2101520,2017-11-02T02:00:00Z,38.8710,164.8308,17.44,0,011117
2101520,2017-11-02T03:00:00Z,38.8708,164.8208,17.48,0,011117
2101520,2017-11-02T04:00:00Z,38.8732,164.8124,17.48,0,011117
2101520,2017-11-02T05:00:00Z,38.8758,164.8038,17.44,0,011117
2101520,2017-11-02T06:00:00Z,38.8796,164.7974,17.44,0,011117
2101520,2017-11-02T07:00:00Z,38.8840,164.7946,17.44,0,011117
2101520,2017-11-02T08:00:00Z,38.8888,164.7956,17.44,0,011117
2101520,2017-11-02T09:00:00Z,38.8904,164.8044,17.44,0,011117
2101520,2017-11-02T10:00:00Z,38.8866,164.8174,17.44,0,011117
2101520,2017-11-02T11:00:00Z,38.8788,164.8270,17.44,0,011117
2101520,2017-11-02T12:00:00Z,38.8678,164.8328,17.41,0,011117
2101520,2017-11-02T13:00:00Z,38.8540,164.8354,17.44,0,011117
2101520,2017-11-02T14:00:00Z,38.8404,164.8338,17.41,0,011117
2101520,2017-11-02T15:00:00Z,38.8278,164.8268,17.41,0,011117
2101520,2017-11-02T16:00:00Z,38.8160,164.8182,17.41,0,011117
2101520,2017-11-02T17:00:00Z,38.8048,164.8070,17.41,0,011117
2101520,2017-11-02T18:00:00Z,38.7958,164.7910,17.37,0,011117
2101520,2017-11-02T19:00:00Z,38.7900,164.7706,17.41,0,011117
2101520,2017-11-02T20:00:00Z,38.7892,164.7500,17.41,0,011117
2101520,2017-11-02T21:00:00Z,38.7938,164.7346,17.41,0,011117
2101520,2017-11-02T22:00:00Z,38.7990,164.7236,17.44,0,011117
2101520,2017-11-02T23:00:00Z,38.8046,164.7160,17.55,0,011117
2101520,2017-11-03T00:00:00Z,38.8114,164.7112,17.72,0,011117
2101520,2017-11-03T01:00:00Z,38.8198,164.7106,17.68,0,011117
2101520,2017-11-03T02:00:00Z,38.8256,164.7144,17.72,0,011117
2101520,2017-11-03T03:00:00Z,38.8290,164.7214,17.74,0,011117
2101520,2017-11-03T04:00:00Z,38.8308,164.7292,17.74,0,011117
2101520,2017-11-03T05:00:00Z,38.8284,164.7396,17.72,0,011117
2101520,2017-11-03T06:00:00Z,38.8212,164.7472,17.62,0,011117
2101520,2017-11-03T07:00:00Z,38.8112,164.7528,17.57,0,011117
2101520,2017-11-03T08:00:00Z,38.7980,164.7556,17.55,0,011117
2101520,2017-11-03T09:00:00Z,38.7850,164.7520,17.5,0,011117
2101520,2017-11-03T10:00:00Z,38.7754,164.7430,17.48,0,011117
2101520,2017-11-03T11:00:00Z,38.7672,164.7330,17.48,0,011117
2101520,2017-11-03T12:00:00Z,38.7624,164.7198,17.48,0,011117
2101520,2017-11-03T13:00:00Z,38.7606,164.7056,17.44,0,011117
2101520,2017-11-03T14:00:00Z,38.7600,164.6912,17.44,0,011117
2101520,2017-11-03T15:00:00Z,38.7608,164.6750,17.44,0,011117
2101520,2017-11-03T16:00:00Z,38.7638,164.6612,17.44,0,011117
2101520,2017-11-03T17:00:00Z,38.7692,164.6512,17.44,0,011117
2101520,2017-11-03T18:00:00Z,38.7782,164.6458,17.44,0,011117
2101520,2017-11-03T19:00:00Z,38.7892,164.6434,17.37,0,011117
2101520,2017-11-03T20:00:00Z,38.7992,164.6480,17.37,0,011117
2101520,2017-11-03T21:00:00Z,38.8058,164.6570,17.41,0,011117
2101520,2017-11-03T22:00:00Z,38.8104,164.6666,17.41,0,011117
2101520,2017-11-03T23:00:00Z,38.8122,164.6724,17.37,0,011117
2101520,2017-11-04T00:00:00Z,38.8108,164.6782,17.37,0,011117
2101520,2017-11-04T01:00:00Z,38.8086,164.6816,17.33,0,011117
2101520,2017-11-04T02:00:00Z,38.8054,164.6806,17.33,0,011117
2101520,2017-11-04T03:00:00Z,38.8018,164.6764,17.37,0,011117
2101520,2017-11-04T04:00:00Z,38.7992,164.6688,17.74,0,011117
2101520,2017-11-04T05:00:00Z,38.7944,164.6592,17.86,0,011117
2101520,2017-11-04T06:00:00Z,38.7926,164.6492,17.86,0,011117
2101520,2017-11-04T07:00:00Z,38.7934,164.6406,17.95,0,011117
2101520,2017-11-04T08:00:00Z,38.7958,164.6340,17.99,0,011117
2101520,2017-11-04T09:00:00Z,38.8032,164.6264,17.81,0,011117
2101520,2017-11-04T10:00:00Z,38.8110,164.6182,17.68,0,011117
2101520,2017-11-04T11:00:00Z,38.8190,164.6120,17.68,0,011117
2101520,2017-11-04T12:00:00Z,38.8292,164.6066,17.64,0,011117
2101520,2017-11-04T13:00:00Z,38.8396,164.6036,17.68,0,011117
2101520,2017-11-04T14:00:00Z,38.8504,164.6020,17.64,0,011117
2101520,2017-11-04T15:00:00Z,38.8612,164.6018,17.62,0,011117
2101520,2017-11-04T16:00:00Z,38.8698,164.6070,17.64,0,011117
2101520,2017-11-04T17:00:00Z,38.8754,164.6106,17.64,0,011117
2101520,2017-11-04T18:00:00Z,38.8794,164.6162,17.64,0,011117
2101520,2017-11-04T19:00:00Z,38.8824,164.6228,17.62,0,011117
2101520,2017-11-04T20:00:00Z,38.8844,164.6290,17.57,0,011117
2101520,2017-11-04T21:00:00Z,38.8850,164.6358,17.57,0,011117
2101520,2017-11-04T22:00:00Z,38.8792,164.6442,17.55,0,011117
2101520,2017-11-04T23:00:00Z,38.8790,164.6522,17.48,0,011117
2101520,2017-11-05T00:00:00Z,38.8754,164.6592,17.44,0,011117
2101520,2017-11-05T01:00:00Z,38.8710,164.6654,17.37,0,011117
2101520,2017-11-05T02:00:00Z,38.8684,164.6638,17.26,0,011117
2101520,2017-11-05T03:00:00Z,38.8666,164.6558,17.26,0,011117
2101520,2017-11-05T04:00:00Z,38.8678,164.6424,17.26,0,011117
2101520,2017-11-05T05:00:00Z,38.8768,164.6324,17.26,0,011117
2101520,2017-11-05T06:00:00Z,38.8868,164.6238,17.26,0,011117
2101520,2017-11-05T07:00:00Z,38.8992,164.6188,17.26,0,011117
2101520,2017-11-05T08:00:00Z,38.9134,164.6208,17.3,0,011117
2101520,2017-11-05T09:00:00Z,38.9266,164.6302,17.3,0,011117
2101520,2017-11-05T10:00:00Z,38.9404,164.6460,17.26,0,011117
2101520,2017-11-05T11:00:00Z,38.9506,164.6702,17.26,0,011117
2101520,2017-11-05T12:00:00Z,38.9534,164.6940,17.26,0,011117
2101520,2017-11-05T13:00:00Z,38.9518,164.7176,17.26,0,011117
2101520,2017-11-05T14:00:00Z,38.9438,164.7400,17.24,0,011117
2101520,2017-11-05T15:00:00Z,38.9266,164.7604,17.24,0,011117
2101520,2017-11-05T16:00:00Z,38.9062,164.7748,17.2,0,011117
2101520,2017-11-05T17:00:00Z,38.8828,164.7830,17.17,0,011117
2101520,2017-11-05T18:00:00Z,38.8598,164.7844,17.2,0,011117
2101520,2017-11-05T19:00:00Z,38.8400,164.7826,17.24,0,011117
2101520,2017-11-05T20:00:00Z,38.8212,164.7756,17.24,0,011117
2101520,2017-11-05T21:00:00Z,38.8064,164.7644,17.26,0,011117
2101520,2017-11-05T22:00:00Z,38.7968,164.7536,17.26,0,011117
2101520,2017-11-05T23:00:00Z,38.7886,164.7432,17.26,0,011117
2101520,2017-11-06T00:00:00Z,38.7814,164.7298,17.64,0,011117
2101520,2017-11-06T01:00:00Z,38.7800,164.7176,17.81,0,011117
2101520,2017-11-06T02:00:00Z,38.7808,164.7056,17.86,0,011117
2101520,2017-11-06T03:00:00Z,38.7834,164.6956,17.86,0,011117
