PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),QC
2101713,2017-11-01T00:00:00Z,38.4030,150.6370,19.7,1026.7,0,3.2,01111171
2101713,2017-11-01T01:00:00Z,38.4230,150.6320,19.8,1026.9,0,3.2,01111171
2101713,2017-11-01T02:00:00Z,38.4450,150.6290,19.8,1025.9,0,2.8,01111171
2101713,2017-11-01T03:00:00Z,38.4650,150.6300,19.8,1025.4,0,2.4,01111171
2101713,2017-11-01T04:00:00Z,38.4850,150.6350,19.8,1025.2,0,2.6,01111171
2101713,2017-11-01T05:00:00Z,38.5030,150.6420,19.8,1025.2,0,2.8,01111171
2101713,2017-11-01T06:00:00Z,38.5170,150.6500,19.8,1025.3,0,2.7,01111171
2101713,2017-11-01T07:00:00Z,38.5320,150.6580,19.9,1025.5,0,2.8,01111171
2101713,2017-11-01T08:00:00Z,38.5430,150.6700,19.9,1025.9,0,2.9,01111171
2101713,2017-11-01T09:00:00Z,38.5460,150.6770,19.9,1025.9,0,2.6,01111171
2101713,2017-11-01T10:00:00Z,38.5480,150.6780,20,1025.9,0,2.8,01111171
2101713,2017-11-01T11:00:00Z,38.5510,150.6710,20,1026,0,3.1,01111171
2101713,2017-11-01T12:00:00Z,38.5550,150.6600,20,1025.9,0,3.1,01111171
2101713,2017-11-01T13:00:00Z,38.5600,150.6450,20,1025.7,0,2.7,01111171
2101713,2017-11-01T14:00:00Z,38.5680,150.6260,20,1025.2,0,2.4,01111171
2101713,2017-11-01T16:00:00Z,38.5950,150.5880,20,1024.5,0,2.5,01111171
2101713,2017-11-01T17:00:00Z,38.6140,150.5720,20.1,1024.1,0,2.3,01111171
2101713,2017-11-01T18:00:00Z,38.6350,150.5570,20.1,1024.1,0,2.2,01111171
2101713,2017-11-01T19:00:00Z,38.6560,150.5440,20.1,1024.1,0,2.1,01111171
2101713,2017-11-01T20:00:00Z,38.6790,150.5350,20.1,1024.1,0,2.1,01111171
2101713,2017-11-01T21:00:00Z,38.7000,150.5340,20.2,1024.4,0,1.9,01111171
2101713,2017-11-01T22:00:00Z,38.7210,150.5400,20.2,1024.9,0,2,01111171
2101713,2017-11-01T23:00:00Z,38.7410,150.5510,20.1,1025,0,2.1,01111171
2101713,2017-11-02T00:00:00Z,38.7590,150.5580,20.1,1024.9,0,2.2,01111171
2101713,2017-11-02T01:00:00Z,38.7740,150.5670,20.1,1025.2,0,2.3,01111171
2101713,2017-11-02T02:00:00Z,38.7850,150.5790,20.2,1024.3,0,2.4,01111171
2101713,2017-11-02T03:00:00Z,38.7900,150.5930,20.2,1024.3,0,2.1,01111171
2101713,2017-11-02T04:00:00Z,38.7900,150.6060,20.1,1024.4,0,2.2,01111171
2101713,2017-11-02T05:00:00Z,38.7850,150.6120,20.2,1024.6,0,2.3,01111171
2101713,2017-11-02T06:00:00Z,38.7760,150.6110,20.1,1025,0,2.3,01111171
2101713,2017-11-02T07:00:00Z,38.7690,150.6020,20.2,1025.3,0,2.1,01111171
2101713,2017-11-02T08:00:00Z,38.7640,150.5890,20.2,1025.9,0,2.1,01111171
2101713,2017-11-02T09:00:00Z,38.7540,150.5670,20.2,1026.4,0,2,01111171
2101713,2017-11-02T10:00:00Z,38.7450,150.5410,20.2,1026.4,0,2,01111171
2101713,2017-11-02T11:00:00Z,38.7430,150.5120,20.2,1026.8,0,1.8,01111171
2101713,2017-11-02T12:00:00Z,38.7460,150.4790,20.2,1027.1,0,1.9,01111171
2101713,2017-11-02T15:00:00Z,38.7770,150.3830,20.2,1025.4,0,1.5,01111171
2101713,2017-11-02T18:00:00Z,38.8290,150.3310,20.1,1023.8,0,1.3,01111171
2101713,2017-11-02T21:00:00Z,38.8610,150.3340,20,1023.6,0,1.3,01111171
2101713,2017-11-03T00:00:00Z,38.8580,150.3280,20,1022.9,0,1.6,01111171
2101713,2017-11-03T03:00:00Z,38.8410,150.3000,19.8,1020.5,0,1.7,01111171
2101713,2017-11-03T06:00:00Z,38.8280,150.2430,19.7,1019.3,0,1.6,01111171
2101713,2017-11-03T09:00:00Z,38.8310,150.1450,19.6,1016.8,0,1.8,01111171
2101713,2017-11-03T12:00:00Z,38.8720,150.0720,19.9,1012.3,0,1.8,01111171
2101713,2017-11-03T15:00:00Z,38.8950,150.0540,19.8,1007.5,0,1.7,01111171
2101713,2017-11-03T18:00:00Z,38.8680,150.0610,19.7,1006.6,0,2.5,01111171
2101713,2017-11-03T19:00:00Z,38.8440,150.0660,19.7,1008.6,0,2.9,01111171
