PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
2201525,2017-11-01T00:00:00Z,15.9190,119.1712,28.76,0,011117
2201525,2017-11-01T01:00:00Z,15.9178,119.1738,28.77,0,011117
2201525,2017-11-01T02:00:00Z,15.9172,119.1754,28.8,0,011117
2201525,2017-11-01T03:00:00Z,15.9148,119.1746,28.8,0,011117
2201525,2017-11-01T04:00:00Z,15.9126,119.1734,28.81,0,011117
2201525,2017-11-01T05:00:00Z,15.9118,119.1720,28.82,0,011117
2201525,2017-11-01T07:00:00Z,15.9128,119.1702,28.81,0,011117
2201525,2017-11-01T08:00:00Z,15.9128,119.1698,28.81,0,011117
2201525,2017-11-01T09:00:00Z,15.9132,119.1670,28.79,0,011117
2201525,2017-11-01T10:00:00Z,15.9152,119.1654,28.77,0,011117
2201525,2017-11-01T11:00:00Z,15.9176,119.1632,28.74,0,011117
2201525,2017-11-01T12:00:00Z,15.9204,119.1628,28.77,0,011117
2201525,2017-11-01T13:00:00Z,15.9234,119.1626,28.76,0,011117
2201525,2017-11-01T14:02:00Z,15.9264,119.1590,28.79,0,011117
2201525,2017-11-01T15:00:00Z,15.9312,119.1572,28.77,0,011117
2201525,2017-11-01T16:00:00Z,15.9380,119.1558,28.76,0,011117
2201525,2017-11-01T17:00:00Z,15.9450,119.1542,28.76,0,011117
2201525,2017-11-01T18:00:00Z,15.9538,119.1544,28.75,0,011117
2201525,2017-11-01T19:02:00Z,15.9668,119.1542,28.75,0,011117
2201525,2017-11-01T20:00:00Z,15.9774,119.1570,28.74,0,011117
2201525,2017-11-01T21:00:00Z,15.9876,119.1614,28.74,0,011117
2201525,2017-11-01T22:00:00Z,15.9974,119.1672,28.74,0,011117
2201525,2017-11-01T23:01:00Z,16.0070,119.1716,28.73,0,011117
2201525,2017-11-02T00:00:00Z,16.0116,119.1778,28.73,0,011117
2201525,2017-11-02T01:01:00Z,16.0204,119.1848,28.73,0,011117
2201525,2017-11-02T02:00:00Z,16.0280,119.1918,28.74,0,011117
2201525,2017-11-02T03:00:00Z,16.0324,119.1978,28.75,0,011117
2201525,2017-11-02T04:00:00Z,16.0358,119.2028,28.8,0,011117
2201525,2017-11-02T05:00:00Z,16.0390,119.2072,28.8,0,011117
2201525,2017-11-02T06:04:00Z,16.0448,119.2102,28.81,0,011117
2201525,2017-11-02T07:00:00Z,16.0498,119.2124,28.8,0,011117
2201525,2017-11-02T08:02:00Z,16.0562,119.2162,28.8,0,011117
2201525,2017-11-02T09:00:00Z,16.0656,119.2216,28.79,0,011117
2201525,2017-11-02T10:03:00Z,16.0696,119.2258,28.77,0,011117
2201525,2017-11-02T11:00:00Z,16.0756,119.2296,28.76,0,011117
2201525,2017-11-02T12:00:00Z,16.0798,119.2320,28.74,0,011117
2201525,2017-11-02T13:00:00Z,16.0848,119.2360,28.74,0,011117
2201525,2017-11-02T14:00:00Z,16.0886,119.2424,28.73,0,011117
2201525,2017-11-02T15:00:00Z,16.0924,119.2486,28.73,0,011117
2201525,2017-11-02T16:00:00Z,16.0974,119.2522,28.73,0,011117
2201525,2017-11-02T17:01:00Z,16.1048,119.2564,28.72,0,011117
2201525,2017-11-02T18:00:00Z,16.1110,119.2594,28.7,0,011117
2201525,2017-11-02T19:00:00Z,16.1172,119.2626,28.72,0,011117
2201525,2017-11-02T20:00:00Z,16.1238,119.2648,28.69,0,011117
2201525,2017-11-02T21:00:00Z,16.1282,119.2676,28.68,0,011117
2201525,2017-11-02T22:01:00Z,16.1332,119.2710,28.68,0,011117
2201525,2017-11-02T23:00:00Z,16.1416,119.2692,28.67,0,011117
2201525,2017-11-03T00:02:00Z,16.1506,119.2722,28.7,0,011117
2201525,2017-11-03T02:00:00Z,16.1638,119.2796,28.79,0,011117
2201525,2017-11-03T04:02:00Z,16.1826,119.2842,29.04,0,011117
2201525,2017-11-03T05:00:00Z,16.1948,119.2864,29.23,0,011117
2201525,2017-11-03T06:00:00Z,16.2072,119.2898,29.24,0,011117
2201525,2017-11-03T07:00:00Z,16.2180,119.2936,29.16,0,011117
2201525,2017-11-03T08:00:00Z,16.2274,119.2994,29.14,0,011117
2201525,2017-11-03T09:02:00Z,16.2348,119.3010,29.11,0,011117
2201525,2017-11-03T10:00:00Z,16.2404,119.3054,29.05,0,011117
2201525,2017-11-03T11:00:00Z,16.2454,119.3108,29.05,0,011117
2201525,2017-11-03T12:01:00Z,16.2512,119.3154,29.02,0,011117
2201525,2017-11-03T13:00:00Z,16.2572,119.3190,28.99,0,011117
2201525,2017-11-03T14:00:00Z,16.2644,119.3216,28.94,0,011117
2201525,2017-11-03T15:00:00Z,16.2740,119.3242,28.92,0,011117
2201525,2017-11-03T17:00:00Z,16.3000,119.3336,28.87,0,011117
2201525,2017-11-03T18:00:00Z,16.3144,119.3398,28.86,0,011117
2201525,2017-11-03T19:00:00Z,16.3296,119.3466,28.91,0,011117
2201525,2017-11-03T20:00:00Z,16.3442,119.3530,28.93,0,011117
2201525,2017-11-03T22:00:00Z,16.3656,119.3632,28.94,0,011117
2201525,2017-11-03T23:02:00Z,16.3730,119.3688,28.93,0,011117
2201525,2017-11-04T00:00:00Z,16.3800,119.3734,28.93,0,011117
2201525,2017-11-04T01:00:00Z,16.3886,119.3778,28.98,0,011117
2201525,2017-11-04T02:00:00Z,16.3338,119.4810,27.43,0,014417
2201525,2017-11-04T03:00:00Z,16.2526,119.6508,27.91,0,014417
2201525,2017-11-04T04:00:00Z,16.1176,119.7950,27.14,0,014417
2201525,2017-11-04T05:00:00Z,16.1340,119.7858,29.37,0,011117
