PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5201586,2017-11-01T00:00:00Z,11.0090,125.7702,0,01117
5201586,2017-11-01T01:00:00Z,11.0092,125.7702,0,01117
5201586,2017-11-01T02:00:00Z,11.0078,125.7700,0,01117
5201586,2017-11-01T03:00:00Z,11.0084,125.7700,0,01117
5201586,2017-11-01T04:00:00Z,11.0082,125.7700,0,01117
5201586,2017-11-01T05:00:00Z,11.0082,125.7702,0,01117
5201586,2017-11-01T07:00:00Z,11.0082,125.7700,0,01117
5201586,2017-11-01T08:00:00Z,11.0088,125.7716,0,01117
5201586,2017-11-01T09:00:00Z,11.0078,125.7714,0,01117
5201586,2017-11-01T10:00:00Z,11.0078,125.7710,0,01117
5201586,2017-11-01T11:00:00Z,11.0082,125.7706,0,01117
5201586,2017-11-01T12:00:00Z,11.0080,125.7702,0,01117
5201586,2017-11-01T13:00:00Z,11.0082,125.7694,0,01117
5201586,2017-11-01T14:00:00Z,11.0072,125.7700,0,01117
5201586,2017-11-01T15:00:00Z,11.0080,125.7708,0,01117
5201586,2017-11-01T16:00:00Z,11.0080,125.7710,0,01117
5201586,2017-11-01T17:00:00Z,11.0070,125.7710,0,01117
5201586,2017-11-01T18:00:00Z,11.0072,125.7710,0,01117
5201586,2017-11-01T19:00:00Z,11.0076,125.7706,0,01117
5201586,2017-11-01T20:00:00Z,11.0076,125.7698,0,01117
5201586,2017-11-01T21:00:00Z,11.0070,125.7694,0,01117
5201586,2017-11-01T22:00:00Z,11.0082,125.7700,0,01117
5201586,2017-11-01T23:00:00Z,11.0082,125.7700,0,01117
5201586,2017-11-02T00:00:00Z,11.0082,125.7700,0,01117
5201586,2017-11-02T01:00:00Z,11.0082,125.7700,0,01117
5201586,2017-11-02T02:00:00Z,11.0082,125.7702,0,01117
5201586,2017-11-02T03:00:00Z,11.0082,125.7700,0,01117
5201586,2017-11-02T04:00:00Z,11.0080,125.7702,0,01117
5201586,2017-11-02T05:00:00Z,11.0080,125.7700,0,01117
5201586,2017-11-02T06:00:00Z,11.0080,125.7704,0,01117
5201586,2017-11-02T07:00:00Z,11.0080,125.7704,0,01117
5201586,2017-11-02T08:00:00Z,11.0082,125.7702,0,01117
5201586,2017-11-02T09:00:00Z,11.0082,125.7702,0,01117
5201586,2017-11-02T10:00:00Z,11.0080,125.7700,0,01117
5201586,2017-11-02T11:00:00Z,11.0082,125.7700,0,01117
5201586,2017-11-02T12:00:00Z,11.0080,125.7704,0,01117
5201586,2017-11-02T13:00:00Z,11.0078,125.7700,0,01117
5201586,2017-11-02T14:00:00Z,11.0072,125.7698,0,01117
5201586,2017-11-02T15:00:00Z,11.0082,125.7712,0,01117
5201586,2017-11-02T16:00:00Z,11.0074,125.7718,0,01117
5201586,2017-11-02T17:00:00Z,11.0082,125.7702,0,01117
5201586,2017-11-02T18:00:00Z,11.0082,125.7702,0,01117
5201586,2017-11-02T19:00:00Z,11.0082,125.7702,0,01117
5201586,2017-11-02T20:00:00Z,11.0084,125.7708,0,01117
5201586,2017-11-02T21:00:00Z,11.0082,125.7700,0,01117
5201586,2017-11-02T22:00:00Z,11.0082,125.7700,0,01117
5201586,2017-11-02T23:00:00Z,11.0080,125.7700,0,01117
5201586,2017-11-03T00:00:00Z,11.0082,125.7702,0,01117
