PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),QC
2101723,2018-02-28T01:00:00Z,37.3400,135.6010,9.7,0,1,0111171
2101723,2018-02-28T02:00:00Z,37.3410,135.6120,9.7,0,1.1,0111171
2101723,2018-02-28T03:00:00Z,37.3430,135.6220,9.7,0,1,0111171
2101723,2018-02-28T04:00:00Z,37.3470,135.6300,9.8,0,1,0111171
2101723,2018-02-28T05:00:00Z,37.3510,135.6360,9.8,0,1.1,0111171
2101723,2018-02-28T06:00:00Z,37.3550,135.6410,9.8,0,1,0111171
2101723,2018-02-28T07:00:00Z,37.3600,135.6440,9.8,0,1.1,0111171
2101723,2018-02-28T08:00:00Z,37.3640,135.6440,9.7,0,1.1,0111171
2101723,2018-02-28T09:00:00Z,37.3660,135.6380,9.7,0,1.3,0111171
2101723,2018-02-28T12:00:00Z,37.3920,135.5940,9,0,1.9,0111171
2101723,2018-02-28T15:00:00Z,37.4310,135.5610,8.9,0,1.9,0111171
2101723,2018-02-28T18:00:00Z,37.4650,135.5260,8.7,0,2,0111171
2101723,2018-02-28T19:00:00Z,37.4710,135.5170,8.8,0,1.8,0111171
2101723,2018-02-28T20:00:00Z,37.4720,135.5180,8.9,0,1.8,0111171
2101723,2018-02-28T21:00:00Z,37.4680,135.5210,9,0,1.9,0111171
2101723,2018-03-01T00:00:00Z,37.4690,135.5600,9.1,0,1.8,0111171
2101723,2018-03-01T03:00:00Z,37.4520,135.6490,8.8,0,4.8,0111171
2101723,2018-03-01T04:00:00Z,37.4510,135.6770,8.8,0,5.6,0111171
2101723,2018-03-01T05:00:00Z,37.4500,135.7000,8.8,0,5.6,0111171
2101723,2018-03-01T06:00:00Z,37.4470,135.7190,8.9,0,5.3,0111171
2101723,2018-03-01T07:00:00Z,37.4440,135.7400,9.1,0,5.4,0111171
2101723,2018-03-01T08:00:00Z,37.4400,135.7610,9.2,0,5.8,0111171
2101723,2018-03-01T09:00:00Z,37.4380,135.7840,9.4,0,6.6,0111171
2101723,2018-03-01T10:00:00Z,37.4390,135.8070,9.5,0,,0111179
2101723,2018-03-01T11:00:00Z,37.4360,135.8280,9.5,0,5.3,0111171
2101723,2018-03-01T12:00:00Z,37.4310,135.8480,9.6,0,,0111179
2101723,2018-03-01T13:00:00Z,37.4300,135.8680,9.6,0,,0111179
2101723,2018-03-01T14:00:00Z,37.4290,135.8860,9.6,0,5.7,0111171
2101723,2018-03-01T15:00:00Z,37.4290,135.9040,9.6,0,5.2,0111171
2101723,2018-03-01T16:00:00Z,37.4300,135.9220,9.4,0,5.5,0111171
2101723,2018-03-01T17:00:00Z,37.4290,135.9410,9.3,0,4.9,0111171
2101723,2018-03-01T18:00:00Z,37.4280,135.9590,9.2,0,4.5,0111171
2101723,2018-03-01T19:00:00Z,37.4300,135.9780,9.2,0,5,0111171
2101723,2018-03-01T20:00:00Z,37.4310,135.9950,9.3,0,5.3,0111171
2101723,2018-03-01T21:00:00Z,37.4320,136.0100,9.4,0,4.7,0111171
2101723,2018-03-01T22:00:00Z,37.4370,136.0250,9.5,0,5.5,0111171
2101723,2018-03-01T23:00:00Z,37.4420,136.0400,9.6,0,5.2,0111171
2101723,2018-03-02T00:00:00Z,37.4460,136.0560,9.7,0,5.7,0111171
2101723,2018-03-02T01:00:00Z,37.4490,136.0710,9.9,0,5.3,0111171
2101723,2018-03-02T02:00:00Z,37.4550,136.0880,9.8,0,6.2,0111171
2101723,2018-03-02T03:00:00Z,37.4590,136.1000,9.7,0,5.2,0111171
2101723,2018-03-02T04:00:00Z,37.4650,136.1110,9.6,0,5.5,0111171
2101723,2018-03-02T05:00:00Z,37.4730,136.1230,9.4,0,5,0111171
2101723,2018-03-02T06:00:00Z,37.4850,136.1330,9.4,0,4.8,0111171
2101723,2018-03-02T07:00:00Z,37.5020,136.1420,9.5,0,4.8,0111171
2101723,2018-03-02T08:00:00Z,37.5210,136.1510,9.5,0,4.7,0111171
