PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5201587,2017-11-01T00:00:00Z,4.4038,136.9796,0,01117
5201587,2017-11-01T01:00:00Z,4.4022,136.9814,0,01117
5201587,2017-11-01T02:00:00Z,4.4010,136.9824,0,01117
5201587,2017-11-01T03:00:00Z,4.3978,136.9824,0,01117
5201587,2017-11-01T04:00:00Z,4.3966,136.9820,0,01117
5201587,2017-11-01T05:00:00Z,4.3966,136.9818,0,01117
5201587,2017-11-01T06:00:00Z,4.3966,136.9816,0,01117
5201587,2017-11-01T07:00:00Z,4.3960,136.9812,0,01117
5201587,2017-11-01T09:00:00Z,4.3990,136.9818,0,01117
5201587,2017-11-01T10:00:00Z,4.3988,136.9818,0,01117
5201587,2017-11-01T11:00:00Z,4.3990,136.9816,0,01117
5201587,2017-11-01T12:00:00Z,4.3980,136.9822,0,01117
5201587,2017-11-01T13:00:00Z,4.3970,136.9836,0,01117
5201587,2017-11-01T14:00:00Z,4.3952,136.9826,0,01117
5201587,2017-11-01T15:00:00Z,4.3944,136.9818,0,01117
5201587,2017-11-01T16:00:00Z,4.3936,136.9812,0,01117
5201587,2017-11-01T17:00:00Z,4.3926,136.9816,0,01117
5201587,2017-11-01T18:00:00Z,4.3910,136.9820,0,01117
5201587,2017-11-01T19:00:00Z,4.4242,137.0384,0,01447
5201587,2017-11-01T20:00:00Z,4.4254,137.0522,0,01117
5201587,2017-11-01T21:00:00Z,4.4218,137.0670,0,01117
5201587,2017-11-01T22:00:00Z,4.4090,137.0882,0,01117
5201587,2017-11-01T23:00:00Z,4.3998,137.1064,0,01117
5201587,2017-11-02T00:00:00Z,4.3976,137.0902,0,01117
5201587,2017-11-02T01:00:00Z,4.4618,137.0786,0,01447
5201587,2017-11-02T02:00:00Z,4.4800,137.0326,0,01117
5201587,2017-11-02T03:00:00Z,4.4766,136.9726,0,01447
5201587,2017-11-02T04:00:00Z,4.4798,136.9406,0,01117
5201587,2017-11-02T05:00:00Z,4.4820,136.9390,0,01117
5201587,2017-11-02T06:00:00Z,4.4834,136.9394,0,01117
5201587,2017-11-02T07:00:00Z,4.4852,136.9392,0,01117
5201587,2017-11-02T08:00:00Z,4.4862,136.9388,0,01117
5201587,2017-11-02T09:00:00Z,4.4866,136.9386,0,01117
5201587,2017-11-02T10:00:00Z,4.4872,136.9386,0,01117
5201587,2017-11-02T11:00:00Z,4.4882,136.9386,0,01117
5201587,2017-11-02T12:00:00Z,4.4892,136.9384,0,01117
5201587,2017-11-02T13:00:00Z,4.4898,136.9386,0,01117
5201587,2017-11-02T14:00:00Z,4.4908,136.9386,0,01117
5201587,2017-11-02T15:00:00Z,4.4904,136.9382,0,01117
5201587,2017-11-02T16:00:00Z,4.4902,136.9382,0,01117
5201587,2017-11-02T17:00:00Z,4.4898,136.9386,0,01117
5201587,2017-11-02T18:00:00Z,4.4882,136.9384,0,01117
5201587,2017-11-02T19:00:00Z,4.4862,136.9392,0,01117
5201587,2017-11-02T20:00:00Z,4.4878,136.9394,0,01117
5201587,2017-11-02T21:00:00Z,4.4864,136.9386,0,01117
5201587,2017-11-02T22:00:00Z,4.4868,136.9386,0,01117
5201587,2017-11-02T23:00:00Z,4.4882,136.9378,0,01117
5201587,2017-11-03T00:00:00Z,4.4886,136.9388,0,01117
5201587,2017-11-03T01:00:00Z,4.4894,136.9388,0,01117
5201587,2017-11-03T02:00:00Z,4.4910,136.9386,0,01117
5201587,2017-11-03T03:00:00Z,4.4914,136.9386,0,01117
