PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),QC
2101719,2017-11-07T02:00:00Z,37.3200,135.3610,18.1,1022,0,2.1,01111171
2101719,2017-11-07T03:00:00Z,37.3250,135.3520,18.1,1020.9,0,2,01111171
2101719,2017-11-07T04:00:00Z,37.3320,135.3420,18.3,1020.5,0,2.2,01111171
2101719,2017-11-07T05:00:00Z,37.3360,135.3340,18.8,1019.9,0,2.1,01111171
2101719,2017-11-07T06:00:00Z,37.3400,135.3250,18.8,1019.7,0,1.9,01111171
2101719,2017-11-07T07:00:00Z,37.3430,135.3160,18.7,1019.7,0,1.9,01111171
2101719,2017-11-07T08:00:00Z,37.3450,135.3100,18.7,1016.4,0,1.8,01111171
2101719,2017-11-07T09:00:00Z,37.3460,135.3030,18.7,1016.3,0,1.9,01111171
2101719,2017-11-07T10:00:00Z,37.3460,135.2970,18.6,1019.5,0,1.7,01111171
2101719,2017-11-07T11:00:00Z,37.3450,135.2890,18.5,1018.9,0,1.6,01111171
2101719,2017-11-07T12:00:00Z,37.3470,135.2770,18.3,1019,0,1.6,01111171
2101719,2017-11-07T15:00:00Z,37.3530,135.2400,18.1,1017.8,0,1.5,01111171
2101719,2017-11-07T18:00:00Z,37.3710,135.2060,18.1,1016.4,0,1.6,01111171
2101719,2017-11-07T21:00:00Z,37.3910,135.1680,18.2,1015.2,0,1.6,01111171
2101719,2017-11-08T00:00:00Z,37.4050,135.1400,18.3,1015,0,1.4,01111171
2101719,2017-11-08T03:00:00Z,37.4090,135.1160,18.4,1012.9,0,1.7,01111171
2101719,2017-11-08T06:00:00Z,37.4020,135.0920,18.5,1011.6,0,1.8,01111171
2101719,2017-11-08T09:00:00Z,37.3940,135.0550,18.3,1013.1,0,1.8,01111171
2101719,2017-11-08T12:00:00Z,37.3880,135.0330,18.6,1014.6,0,1.9,01111171
2101719,2017-11-08T15:00:00Z,37.3580,134.9860,18.5,1017.4,0,1.8,01111171
2101719,2017-11-08T18:00:00Z,37.3230,134.9350,18.4,1019.3,0,2.1,01111171
2101719,2017-11-08T19:00:00Z,37.3140,134.9220,18.4,1019.9,0,2,01111171
2101719,2017-11-08T20:00:00Z,37.3060,134.9130,18.3,1020.4,0,2.5,01111171
2101719,2017-11-08T21:00:00Z,37.2990,134.9070,18.2,1020.9,0,2.4,01111171
2101719,2017-11-08T22:00:00Z,37.2930,134.9030,18.2,1021.6,0,2.3,01111171
2101719,2017-11-08T23:00:00Z,37.2880,134.9010,18,1022.8,0,2.4,01111171
2101719,2017-11-09T00:00:00Z,37.2820,134.9020,18.1,1023.5,0,2.3,01111171
2101719,2017-11-09T01:00:00Z,37.2770,134.9050,18.1,1024.2,0,2.4,01111171
2101719,2017-11-09T02:00:00Z,37.2710,134.9080,18,1024.2,0,2.6,01111171
2101719,2017-11-09T03:00:00Z,37.2650,134.9090,18,1023.9,0,2.5,01111171
2101719,2017-11-09T04:00:00Z,37.2590,134.9080,18.3,1023.7,0,2.7,01111171
2101719,2017-11-09T05:00:00Z,37.2550,134.9040,18.4,1023.6,0,2.6,01111171
2101719,2017-11-09T06:00:00Z,37.2500,134.8980,18.5,1023.7,0,2.6,01111171
2101719,2017-11-09T07:00:00Z,37.2440,134.8890,18.4,1024.2,0,2.4,01111171
2101719,2017-11-09T08:00:00Z,37.2390,134.8800,18.4,1024.6,0,2.5,01111171
2101719,2017-11-09T09:00:00Z,37.2350,134.8680,18.4,1025.2,0,2.4,01111171
2101719,2017-11-09T10:00:00Z,37.2330,134.8580,18.4,1025.3,0,2.2,01111171
2101719,2017-11-09T11:00:00Z,37.2320,134.8480,18.4,1025.3,0,2.2,01111171
2101719,2017-11-09T12:00:00Z,37.2320,134.8400,18.3,1025.3,0,2,01111171
2101719,2017-11-09T13:00:00Z,37.2330,134.8300,18.3,1025,0,2,01111171
2101719,2017-11-09T14:00:00Z,37.2340,134.8220,18.2,1024.5,0,1.7,01111171
2101719,2017-11-09T15:00:00Z,37.2370,134.8150,18.2,1024.1,0,2,01111171
