PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),QC
2101725,2018-03-05T02:00:00Z,29.8170,138.1280,19.6,0,1.5,0111171
2101725,2018-03-05T03:00:00Z,29.8320,138.1400,19.7,0,1.6,0111171
2101725,2018-03-05T04:00:00Z,29.8480,138.1540,19.7,0,1.6,0111171
2101725,2018-03-05T05:00:00Z,29.8640,138.1700,19.8,0,1.5,0111171
2101725,2018-03-05T06:00:00Z,29.8810,138.1860,19.7,0,1.5,0111171
2101725,2018-03-05T07:00:00Z,29.8960,138.2030,19.7,0,1.6,0111171
2101725,2018-03-05T08:00:00Z,29.9100,138.2230,19.7,0,,0111179
2101725,2018-03-05T09:00:00Z,29.9190,138.2440,19.7,0,1.4,0111171
2101725,2018-03-05T10:00:00Z,29.9260,138.2640,19.6,0,,0111179
2101725,2018-03-05T11:00:00Z,29.9330,138.2830,19.6,0,1.7,0111171
2101725,2018-03-05T12:00:00Z,29.9400,138.3020,19.6,0,1.6,0111171
2101725,2018-03-05T13:00:00Z,29.9470,138.3210,19.7,0,1.7,0111171
2101725,2018-03-05T14:00:00Z,29.9570,138.3380,19.7,0,1.8,0111171
2101725,2018-03-05T15:00:00Z,29.9680,138.3570,19.7,0,1.7,0111171
2101725,2018-03-05T16:00:00Z,29.9780,138.3780,19.7,0,1.9,0111171
2101725,2018-03-05T17:00:00Z,29.9870,138.4000,19.7,0,1.7,0111171
2101725,2018-03-05T18:00:00Z,29.9950,138.4240,19.8,0,1.7,0111171
2101725,2018-03-05T19:00:00Z,30.0020,138.4490,19.8,0,1.7,0111171
2101725,2018-03-05T20:00:00Z,30.0100,138.4710,19.8,0,1.6,0111171
2101725,2018-03-05T21:00:00Z,30.0190,138.4900,19.8,0,1.4,0111171
2101725,2018-03-05T22:00:00Z,30.0290,138.5070,19.8,0,1.4,0111171
2101725,2018-03-05T23:00:00Z,30.0380,138.5230,19.8,0,1.5,0111171
2101725,2018-03-06T00:00:00Z,30.0480,138.5390,19.9,0,1.5,0111171
2101725,2018-03-06T01:00:00Z,30.0560,138.5640,19.9,0,1.6,0111171
2101725,2018-03-06T02:00:00Z,30.0500,138.5870,19.9,0,1.6,0111171
2101725,2018-03-06T03:00:00Z,30.0400,138.6070,19.9,0,1.7,0111171
2101725,2018-03-06T04:00:00Z,30.0300,138.6250,19.9,0,1.8,0111171
2101725,2018-03-06T05:00:00Z,30.0210,138.6390,19.9,0,1.9,0111171
2101725,2018-03-06T06:00:00Z,30.0120,138.6480,19.9,0,2,0111171
2101725,2018-03-06T07:00:00Z,30.0030,138.6470,19.9,0,2.2,0111171
2101725,2018-03-06T08:00:00Z,29.9950,138.6410,19.8,0,2.7,0111171
2101725,2018-03-06T09:00:00Z,29.9860,138.6310,19.8,0,3.1,0111171
2101725,2018-03-06T10:00:00Z,29.9760,138.6210,19.8,0,3.5,0111171
2101725,2018-03-06T11:00:00Z,29.9660,138.6120,19.7,0,4.3,0111171
2101725,2018-03-06T12:00:00Z,29.9570,138.6020,19.7,0,4.3,0111171
