PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
5200670,132615,2017-11-01T00:00:00Z,18.3300,138.5530,,,,,,,29.35,0.5,311,15,0.103,-0.206,00111999999171111
5200670,132615,2017-11-01T00:00:00Z,18.3277,138.5535,29.38,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T00:45:00Z,18.3277,138.5535,29.38,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T01:00:00Z,18.3277,138.5535,29.38,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T03:00:00Z,18.3080,138.5580,,,,,,,29.37,0.5,311,15,0.039,-0.211,00111999999171111
5200670,132615,2017-11-01T05:15:00Z,18.2905,138.5595,29.45,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T05:30:00Z,18.2905,138.5595,29.45,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T06:00:00Z,18.2890,138.5610,,,,,,,29.41,0.5,311,15,0.044,-0.154,00111999999171111
5200670,132615,2017-11-01T07:00:00Z,18.2847,138.5642,29.41,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T08:00:00Z,18.2818,138.5632,29.41,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T08:15:00Z,18.2823,138.5634,29.41,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T08:30:00Z,18.2823,138.5634,29.38,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T08:45:00Z,18.2800,138.5635,29.38,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T09:00:00Z,18.2780,138.5670,,,,,,,29.42,0.5,311,15,0.166,-0.185,00111999999171111
5200670,132615,2017-11-01T09:45:00Z,18.2800,138.5635,29.38,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T10:00:00Z,18.2709,138.5776,29.35,0,,,,,,,,,,,00144179999999999
5200670,132615,2017-11-01T10:15:00Z,18.2709,138.5776,29.35,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T10:30:00Z,18.2709,138.5776,29.35,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T11:00:00Z,18.2597,138.5902,29.35,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T11:15:00Z,18.2597,138.5902,29.35,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T12:00:00Z,18.2530,138.5950,,,,,,,29.38,0.5,311,15,0.215,-0.293,00111999999171111
5200670,132615,2017-11-01T12:00:00Z,18.2612,138.5909,29.31,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T12:15:00Z,18.2612,138.5909,29.31,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T12:45:00Z,18.2612,138.5909,29.31,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T13:00:00Z,18.2438,138.6011,29.31,0,,,,,,,,,,,00144179999999999
5200670,132615,2017-11-01T15:00:00Z,18.2210,138.6110,,,,,,,29.32,0.5,311,15,0.137,-0.365,00111999999171111
5200670,132615,2017-11-01T17:45:00Z,18.1821,138.6229,29.28,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T18:00:00Z,18.1820,138.6230,,,,,,,29.29,0.5,311,15,0.137,-0.437,00111999999171111
5200670,132615,2017-11-01T18:00:00Z,18.1821,138.6229,29.28,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T19:30:00Z,18.1825,138.6230,29.24,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T19:45:00Z,18.1553,138.6275,29.24,0,,,,,,,,,,,00144179999999999
5200670,132615,2017-11-01T20:30:00Z,18.1515,138.6341,29.24,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T21:00:00Z,18.1360,138.6390,,,,,,,29.26,0.5,311,15,0.108,-0.437,00111999999171111
5200670,132615,2017-11-01T21:00:00Z,18.1421,138.6367,29.24,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T21:15:00Z,18.1421,138.6367,29.24,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T22:00:00Z,18.1310,138.6405,29.24,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T22:15:00Z,18.1183,138.6401,29.24,0,,,,,,,,,,,00144179999999999
5200670,132615,2017-11-01T22:30:00Z,18.1100,138.6537,29.24,0,,,,,,,,,,,00144179999999999
5200670,132615,2017-11-01T22:45:00Z,18.1100,138.6537,29.28,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T23:00:00Z,18.1100,138.6537,29.28,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T23:30:00Z,18.1100,138.6537,29.28,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-01T23:45:00Z,18.1100,138.6537,29.28,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T00:00:00Z,18.0970,138.6450,,,,,,,29.24,0.5,311,15,-0.01,-0.406,00111999999171111
5200670,132615,2017-11-02T00:30:00Z,18.0999,138.6450,29.28,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T00:45:00Z,18.0999,138.6450,29.31,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T01:15:00Z,18.0999,138.6450,29.31,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T03:00:00Z,18.0570,138.6370,,,,,,,29.3,0.5,311,15,-0.108,-0.427,00111999999171111
5200670,132615,2017-11-02T05:00:00Z,18.0253,138.6265,29.38,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T05:15:00Z,18.0253,138.6265,29.38,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T06:00:00Z,18.0140,138.6230,,,,,,,29.34,0.5,311,15,-0.171,-0.386,00111999999171111
5200670,132615,2017-11-02T06:45:00Z,17.9998,138.6158,29.38,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T07:00:00Z,18.0007,138.6157,29.38,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T07:30:00Z,18.0007,138.6157,29.35,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T07:45:00Z,18.0007,138.6157,29.35,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T08:00:00Z,17.9962,138.5993,29.35,0,,,,,,,,,,,00144179999999999
5200670,132615,2017-11-02T08:15:00Z,17.9944,138.6057,29.31,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T09:00:00Z,17.9820,138.6020,,,,,,,29.36,0.5,311,15,-0.122,-0.329,00111999999171111
5200670,132615,2017-11-02T09:15:00Z,17.9944,138.6057,29.28,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T09:30:00Z,17.9762,138.6022,29.28,0,,,,,,,,,,,00144179999999999
5200670,132615,2017-11-02T09:45:00Z,17.9762,138.6022,29.28,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T10:00:00Z,17.9721,138.6038,29.28,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T10:45:00Z,17.9551,138.6017,29.28,0,,,,,,,,,,,00111179999999999
5200670,132615,2017-11-02T11:00:00Z,17.9551,138.6017,29.28,0,,,,,,,,,,,00111179999999999
