PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
2201524,2017-11-01T00:00:00Z,15.8442,119.9144,26.42,0,011127
2201524,2017-11-01T00:43:00Z,15.8436,119.9144,26.54,0,011117
2201524,2017-11-01T01:00:00Z,15.8436,119.9146,26.63,0,011117
2201524,2017-11-01T02:49:00Z,15.8440,119.9142,28.05,0,011117
2201524,2017-11-01T03:20:00Z,15.8438,119.9138,28.6,0,011117
2201524,2017-11-01T04:00:00Z,15.8436,119.9136,29.2,0,011117
2201524,2017-11-01T04:36:00Z,15.8436,119.9138,29.2,0,011117
2201524,2017-11-01T05:00:00Z,15.8440,119.9142,29.24,0,011117
2201524,2017-11-01T08:50:00Z,15.8432,119.9140,28.02,0,011117
2201524,2017-11-01T09:00:00Z,15.8432,119.9140,28.04,0,011117
2201524,2017-11-01T09:51:00Z,15.8434,119.9138,27.58,0,011117
2201524,2017-11-01T10:00:00Z,15.8434,119.9138,27.48,0,011117
2201524,2017-11-01T10:12:00Z,15.8434,119.9138,27.38,0,011117
2201524,2017-11-01T11:00:00Z,15.8436,119.9138,27.12,0,011117
2201524,2017-11-01T12:00:00Z,15.8436,119.9140,26.82,0,011117
2201524,2017-11-01T13:00:00Z,15.8432,119.9144,26.61,0,011117
2201524,2017-11-01T14:00:00Z,15.8436,119.9144,26.43,0,011127
2201524,2017-11-01T14:35:00Z,15.8430,119.9140,26.32,0,011127
2201524,2017-11-01T15:00:00Z,15.8432,119.9138,26.29,0,011127
2201524,2017-11-01T16:00:00Z,15.8436,119.9140,26.06,0,011127
2201524,2017-11-01T17:00:00Z,15.8434,119.9140,25.92,0,011127
2201524,2017-11-01T18:00:00Z,15.8434,119.9142,25.87,0,011127
2201524,2017-11-01T19:00:00Z,15.8436,119.9140,25.74,0,011127
2201524,2017-11-01T20:00:00Z,15.8436,119.9142,25.68,0,011127
2201524,2017-11-01T22:00:00Z,15.8436,119.9136,25.45,0,011127
2201524,2017-11-01T23:00:00Z,15.8442,119.9134,25.5,0,011127
2201524,2017-11-02T00:00:00Z,15.8448,119.9148,25.67,0,011127
2201524,2017-11-02T00:16:00Z,15.8446,119.9148,25.69,0,011127
2201524,2017-11-02T02:00:00Z,15.8436,119.9154,25.93,0,011127
