PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2101578,2017-11-01T00:00:00Z,22.9660,125.3980,,,27.74,0.5,311,15,0.374,-0.01,011199171111
2101578,2017-11-01T00:00:00Z,22.9655,125.3980,27.74,0,,,,,,,011117999999
2101578,2017-11-01T00:30:00Z,22.9645,125.4043,27.74,0,,,,,,,011117999999
2101578,2017-11-01T01:00:00Z,22.9646,125.4117,27.74,0,,,,,,,011117999999
2101578,2017-11-01T01:30:00Z,22.9646,125.4195,27.74,0,,,,,,,011117999999
2101578,2017-11-01T02:02:00Z,22.9639,125.4261,27.76,0,,,,,,,011117999999
2101578,2017-11-01T02:30:00Z,22.9642,125.4318,27.77,0,,,,,,,011117999999
2101578,2017-11-01T03:00:00Z,22.9650,125.4400,,,27.77,0.5,311,15,0.388,0.015,011199171111
2101578,2017-11-01T03:00:00Z,22.9648,125.4385,27.79,0,,,,,,,011117999999
2101578,2017-11-01T03:30:00Z,22.9656,125.4457,27.77,0,,,,,,,011117999999
2101578,2017-11-01T04:00:00Z,22.9657,125.4528,27.76,0,,,,,,,011117999999
2101578,2017-11-01T04:30:00Z,22.9679,125.4613,27.8,0,,,,,,,011117999999
2101578,2017-11-01T05:00:00Z,22.9682,125.4677,27.81,0,,,,,,,011117999999
2101578,2017-11-01T05:30:00Z,22.9686,125.4739,27.81,0,,,,,,,011117999999
2101578,2017-11-01T06:00:00Z,22.9690,125.4800,,,27.8,0.5,311,15,0.355,0.036,011199171111
2101578,2017-11-01T06:00:00Z,22.9687,125.4802,27.82,0,,,,,,,011117999999
2101578,2017-11-01T06:30:00Z,22.9683,125.4860,27.81,0,,,,,,,011117999999
2101578,2017-11-01T07:00:00Z,22.9682,125.4920,27.81,0,,,,,,,011117999999
2101578,2017-11-01T07:30:00Z,22.9691,125.4976,27.8,0,,,,,,,011117999999
2101578,2017-11-01T08:30:00Z,22.9731,125.5116,27.8,0,,,,,,,011117999999
2101578,2017-11-01T09:00:00Z,22.9720,125.5150,,,27.78,0.5,311,15,0.388,0.067,011199171111
2101578,2017-11-01T09:00:00Z,22.9725,125.5158,27.77,0,,,,,,,011117999999
2101578,2017-11-01T09:31:00Z,22.9713,125.5190,27.76,0,,,,,,,011117999999
2101578,2017-11-01T10:01:00Z,22.9788,125.5312,27.77,0,,,,,,,011117999999
2101578,2017-11-01T10:30:00Z,22.9801,125.5378,27.76,0,,,,,,,011117999999
2101578,2017-11-01T11:00:00Z,22.9812,125.5453,27.75,0,,,,,,,011117999999
2101578,2017-11-01T11:30:00Z,22.9821,125.5533,27.75,0,,,,,,,011117999999
2101578,2017-11-01T12:00:00Z,22.9820,125.5620,,,27.75,0.5,311,15,0.455,-0.01,011199171111
2101578,2017-11-01T12:00:00Z,22.9817,125.5621,27.75,0,,,,,,,011117999999
2101578,2017-11-01T12:30:00Z,22.9807,125.5709,27.75,0,,,,,,,011117999999
2101578,2017-11-01T13:00:00Z,22.9788,125.5790,27.75,0,,,,,,,011117999999
2101578,2017-11-01T13:30:00Z,22.9766,125.5873,27.74,0,,,,,,,011117999999
2101578,2017-11-01T14:00:00Z,22.9748,125.5950,27.74,0,,,,,,,011117999999
2101578,2017-11-01T14:30:00Z,22.9728,125.6026,27.74,0,,,,,,,011117999999
2101578,2017-11-01T15:00:00Z,22.9700,125.6110,,,27.73,0.5,311,15,0.464,-0.154,011199171111
2101578,2017-11-01T15:01:00Z,22.9696,125.6123,27.75,0,,,,,,,011117999999
2101578,2017-11-01T15:30:00Z,22.9671,125.6211,27.74,0,,,,,,,011117999999
2101578,2017-11-01T16:00:00Z,22.9641,125.6307,27.62,0,,,,,,,011117999999
2101578,2017-11-01T16:30:00Z,22.9616,125.6386,27.72,0,,,,,,,011117999999
2101578,2017-11-01T17:00:00Z,22.9585,125.6457,27.74,0,,,,,,,011117999999
2101578,2017-11-01T17:30:00Z,22.9552,125.6527,27.72,0,,,,,,,011117999999
2101578,2017-11-01T18:00:00Z,22.9520,125.6600,,,27.71,0.5,311,15,0.403,-0.149,011199171111
2101578,2017-11-01T18:00:00Z,22.9517,125.6597,27.73,0,,,,,,,011117999999
2101578,2017-11-01T18:30:00Z,22.9497,125.6658,27.72,0,,,,,,,011117999999
2101578,2017-11-01T19:00:00Z,22.9482,125.6713,27.72,0,,,,,,,011117999999
2101578,2017-11-01T20:00:00Z,22.9451,125.6841,27.7,0,,,,,,,011117999999
2101578,2017-11-01T20:30:00Z,22.9428,125.6906,27.7,0,,,,,,,011117999999
2101578,2017-11-01T21:00:00Z,22.9410,125.6960,,,27.71,0.5,311,15,0.336,-0.129,011199171111
2101578,2017-11-01T21:00:00Z,22.9407,125.6970,27.69,0,,,,,,,011117999999
2101578,2017-11-01T21:30:00Z,22.9383,125.7027,27.7,0,,,,,,,011117999999
2101578,2017-11-01T22:00:00Z,22.9365,125.7087,27.7,0,,,,,,,011117999999
2101578,2017-11-01T22:30:00Z,22.9340,125.7146,27.72,0,,,,,,,011117999999
2101578,2017-11-01T23:00:00Z,22.9324,125.7205,27.72,0,,,,,,,011117999999
2101578,2017-11-01T23:30:00Z,22.9303,125.7261,27.7,0,,,,,,,011117999999
2101578,2017-11-02T00:00:00Z,22.9270,125.7310,,,27.71,0.5,311,15,0.27,-0.134,011199171111
2101578,2017-11-02T00:00:00Z,22.9270,125.7305,27.7,0,,,,,,,011117999999
2101578,2017-11-02T00:30:00Z,22.9240,125.7348,27.7,0,,,,,,,011117999999
2101578,2017-11-02T01:00:00Z,22.9223,125.7388,27.7,0,,,,,,,011117999999
2101578,2017-11-02T01:30:00Z,22.9198,125.7428,27.72,0,,,,,,,011117999999
2101578,2017-11-02T02:00:00Z,22.9175,125.7464,27.74,0,,,,,,,011117999999
2101578,2017-11-02T02:30:00Z,22.9155,125.7493,27.74,0,,,,,,,011117999999
2101578,2017-11-02T03:00:00Z,22.9150,125.7530,,,27.74,0.5,311,15,0.232,-0.093,011199171111
2101578,2017-11-02T03:00:00Z,22.9146,125.7525,27.74,0,,,,,,,011117999999
2101578,2017-11-02T03:30:00Z,22.9137,125.7560,27.74,0,,,,,,,011117999999
2101578,2017-11-02T04:00:00Z,22.9122,125.7595,27.74,0,,,,,,,011117999999
2101578,2017-11-02T04:30:00Z,22.9146,125.7674,27.75,0,,,,,,,011117999999
2101578,2017-11-02T05:00:00Z,22.9127,125.7715,27.75,0,,,,,,,011117999999
2101578,2017-11-02T05:30:00Z,22.9107,125.7757,27.75,0,,,,,,,011117999999
2101578,2017-11-02T06:00:00Z,22.9090,125.7800,,,27.75,0.5,311,15,0.275,-0.093,011199171111
2101578,2017-11-02T06:01:00Z,22.9089,125.7796,27.75,0,,,,,,,011117999999
2101578,2017-11-02T06:30:00Z,22.9069,125.7845,27.75,0,,,,,,,011117999999
2101578,2017-11-02T07:00:00Z,22.9047,125.7901,27.74,0,,,,,,,011117999999
2101578,2017-11-02T07:30:00Z,22.9026,125.7960,27.74,0,,,,,,,011117999999
2101578,2017-11-02T08:00:00Z,22.9018,125.8019,27.74,0,,,,,,,011117999999
2101578,2017-11-02T08:30:00Z,22.8981,125.8062,27.74,0,,,,,,,011117999999
2101578,2017-11-02T09:00:00Z,22.8970,125.8110,,,27.72,0.5,311,15,0.27,-0.108,011199171111
2101578,2017-11-02T09:00:00Z,22.8966,125.8119,27.72,0,,,,,,,011117999999
2101578,2017-11-02T09:31:00Z,22.8950,125.8168,27.7,0,,,,,,,011117999999
2101578,2017-11-02T10:02:00Z,22.8919,125.8216,27.69,0,,,,,,,011117999999
2101578,2017-11-02T10:30:00Z,22.8909,125.8257,27.7,0,,,,,,,011117999999
2101578,2017-11-02T11:00:00Z,22.8905,125.8292,27.72,0,,,,,,,011117999999
2101578,2017-11-02T11:30:00Z,22.8895,125.8332,27.69,0,,,,,,,011117999999
2101578,2017-11-02T12:00:00Z,22.8880,125.8370,,,27.69,0.5,311,15,0.232,-0.108,011199171111
2101578,2017-11-02T12:00:00Z,22.8884,125.8369,27.7,0,,,,,,,011117999999
2101578,2017-11-02T12:30:00Z,22.8869,125.8405,27.69,0,,,,,,,011117999999
2101578,2017-11-02T13:00:00Z,22.8851,125.8434,27.68,0,,,,,,,011117999999
2101578,2017-11-02T13:30:00Z,22.8829,125.8471,27.68,0,,,,,,,011117999999
2101578,2017-11-02T14:00:00Z,22.8818,125.8508,27.67,0,,,,,,,011117999999
2101578,2017-11-02T14:32:00Z,22.8800,125.8543,27.67,0,,,,,,,011117999999
2101578,2017-11-02T15:00:00Z,22.8760,125.8600,,,27.67,0.5,311,15,0.256,-0.159,011199171111
2101578,2017-11-02T15:00:00Z,22.8760,125.8600,27.68,0,,,,,,,011117999999
2101578,2017-11-02T15:31:00Z,22.8736,125.8647,27.68,0,,,,,,,011117999999
2101578,2017-11-02T16:00:00Z,22.8716,125.8699,27.68,0,,,,,,,011117999999
2101578,2017-11-02T16:30:00Z,22.8675,125.8750,27.68,0,,,,,,,011117999999
2101578,2017-11-02T17:00:00Z,22.8635,125.8792,27.64,0,,,,,,,011117999999
