PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),QC
2101716,2017-11-01T00:00:00Z,39.6340,142.9970,16.4,1021.5,0,1.3,01111171
2101716,2017-11-01T01:00:00Z,39.6420,143.0050,16.5,1021.1,0,1.6,01111171
2101716,2017-11-01T02:00:00Z,39.6510,143.0130,16.5,1020.4,0,1.6,01111171
2101716,2017-11-01T03:00:00Z,39.6630,143.0210,16.7,1018.6,0,1.7,01111171
2101716,2017-11-01T04:00:00Z,39.6750,143.0340,16.7,1018.2,0,1.9,01111171
2101716,2017-11-01T05:00:00Z,39.6860,143.0470,16.6,1017.5,0,2,01111171
2101716,2017-11-01T06:00:00Z,39.6950,143.0590,16.4,1017.4,0,1.9,01111171
2101716,2017-11-01T07:00:00Z,39.7030,143.0740,16.7,1016.9,0,2.1,01111171
2101716,2017-11-01T08:00:00Z,39.7100,143.0890,16.6,1017.2,0,2.1,01111171
2101716,2017-11-01T09:00:00Z,39.7130,143.1070,16.7,1017.2,0,1.7,01111171
2101716,2017-11-01T10:00:00Z,39.7150,143.1230,16.6,1016.8,0,1.5,01111171
2101716,2017-11-01T11:00:00Z,39.7170,143.1380,16.5,1016.5,0,1.4,01111171
2101716,2017-11-01T12:00:00Z,39.7160,143.1510,16.6,1016.2,0,1.6,01111171
2101716,2017-11-01T13:00:00Z,39.7150,143.1660,16.8,1016.1,0,1.5,01111171
2101716,2017-11-01T14:00:00Z,39.7130,143.1790,16.9,1016,0,1.5,01111171
2101716,2017-11-01T15:00:00Z,39.7100,143.1910,16.7,1015.8,0,1.5,01111171
2101716,2017-11-01T16:00:00Z,39.7090,143.2000,16.6,1016.1,0,1.5,01111171
2101716,2017-11-01T17:00:00Z,39.7100,143.2080,16.4,1016.3,0,1.5,01111171
2101716,2017-11-01T18:00:00Z,39.7100,143.2170,16.4,1016.4,0,1.3,01111171
2101716,2017-11-01T19:00:00Z,39.7090,143.2290,16.4,1016.8,0,1.2,01111171
2101716,2017-11-01T20:00:00Z,39.7100,143.2370,16.4,1017.5,0,1.3,01111171
2101716,2017-11-01T21:00:00Z,39.7110,143.2470,16.2,1018,0,1.2,01111171
2101716,2017-11-01T22:00:00Z,39.7090,143.2580,16.2,1019.4,0,1.2,01111171
