PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2101648,2019-09-27T00:00:00Z,25.3980,123.2230,,0,-6.9,-3.4,-0.09,-0.06,27.92,0.5,312,15,0.544,0.129,0111971111171111
2101648,2019-09-27T00:00:00Z,25.3958,123.2218,27.92,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T01:00:00Z,25.4020,123.2410,,0,-6.9,-3.4,-0.09,-0.06,27.93,0.5,312,15,0.567,0.179,0111971111171111
2101648,2019-09-27T01:00:00Z,25.4015,123.2420,27.93,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T02:00:00Z,25.4080,123.2630,,0,-5.9,-3.1,-0.08,-0.04,27.9,0.5,312,15,0.569,0.17,0111971111171111
2101648,2019-09-27T02:04:00Z,25.4078,123.2644,27.93,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T03:00:00Z,25.4100,123.2830,,0,-5.9,-3.1,-0.08,-0.04,27.86,0.5,312,15,0.588,0.125,0111971111171111
2101648,2019-09-27T03:04:00Z,25.4111,123.2801,27.87,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T04:00:00Z,25.4140,123.3050,,0,-5.8,-3.1,-0.08,-0.04,27.86,0.5,312,15,0.596,0.106,0111971111171111
2101648,2019-09-27T04:04:00Z,25.4140,123.3069,27.85,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T05:00:00Z,25.4230,123.3240,,0,-3.6,-2.1,-0.05,-0.02,27.87,0.5,312,15,0.638,0.142,0111971111171111
2101648,2019-09-27T06:00:00Z,25.4310,123.3440,,0,-3.6,-2.1,-0.05,-0.02,27.88,0.5,312,15,0.684,0.182,0111971111171111
2101648,2019-09-27T07:00:00Z,25.4410,123.3620,,0,-3.7,-2,-0.05,-0.02,27.89,0.5,312,15,0.729,0.221,0111971111171111
2101648,2019-09-27T08:00:00Z,25.4500,123.3820,,0,-5,-3.8,-0.03,-0.02,27.9,0.5,312,15,0.775,0.261,0111971111171111
2101648,2019-09-27T09:00:00Z,25.4590,123.4010,,0,-5.1,-3.9,-0.04,-0.02,27.9,0.5,312,15,0.82,0.301,0111971111171111
2101648,2019-09-27T09:04:00Z,25.4600,123.4019,27.91,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T10:00:00Z,25.4690,123.4300,,0,-5.1,-4.1,-0.04,-0.02,27.89,0.5,312,15,0.812,0.274,0111971111171111
2101648,2019-09-27T10:00:00Z,25.4751,123.4336,27.89,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T11:00:00Z,25.4800,123.4590,,0,-4.5,-5,-0.04,-0.03,27.89,0.5,312,15,0.753,0.216,0111971111171111
2101648,2019-09-27T11:00:00Z,25.4802,123.4603,27.89,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T12:00:00Z,25.4860,123.4870,,0,-4.6,-4.9,-0.04,-0.03,27.89,0.5,312,15,0.781,0.17,0111971111171111
2101648,2019-09-27T12:00:00Z,25.4870,123.4873,27.89,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T13:00:00Z,25.4900,123.5140,,0,-4.6,-4.9,-0.04,-0.03,27.88,0.5,312,15,0.78,0.124,0111971111171111
2101648,2019-09-27T13:00:00Z,25.4912,123.5164,27.88,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T14:00:00Z,25.4950,123.5420,,0,-4.9,-2.4,-0.04,-0.03,27.88,0.5,312,15,0.725,0.108,0111971111171111
2101648,2019-09-27T14:00:00Z,25.4950,123.5426,27.88,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T15:00:00Z,25.4970,123.5680,,0,-4.9,-2.3,-0.04,-0.03,27.87,0.5,312,15,0.707,0.061,0111971111171111
2101648,2019-09-27T15:00:00Z,25.4981,123.5680,27.87,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T16:00:00Z,25.4990,123.5950,,0,-4.9,-2.3,-0.04,-0.03,27.87,0.5,312,15,0.764,0.017,0111971111171111
2101648,2019-09-27T16:03:00Z,25.4990,123.5949,27.87,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T17:00:00Z,25.4990,123.6230,,0,-4.9,-4.1,-0.04,-0.03,27.87,0.5,312,15,0.822,-0.016,0111971111171111
2101648,2019-09-27T17:00:00Z,25.4986,123.6226,27.87,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T18:00:00Z,25.4970,123.6530,,0,-4.8,-4,-0.04,-0.03,27.87,0.5,312,15,0.836,-0.045,0111971111171111
2101648,2019-09-27T18:01:00Z,25.4979,123.6526,27.87,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T19:00:00Z,25.4960,123.6820,,0,-4.8,-4,-0.03,-0.02,27.86,0.5,312,15,0.85,-0.06,0111971111171111
2101648,2019-09-27T19:02:00Z,25.4964,123.6845,27.87,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T20:00:00Z,25.4990,123.7080,,0,-4.8,-2.3,-0.03,-0.02,27.85,0.5,312,15,0.703,0.073,0111971111171111
2101648,2019-09-27T20:04:00Z,25.4986,123.7127,27.85,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T21:00:00Z,25.5040,123.7340,,0,-4.8,-2.3,-0.03,-0.02,27.85,0.5,312,15,0.649,0.006,0111971111171111
2101648,2019-09-27T21:04:00Z,25.4714,123.7417,27.86,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T22:00:00Z,25.5040,123.7580,,0,-4.8,-2.2,-0.03,-0.02,27.83,0.5,312,15,0.646,0,0111971111171111
2101648,2019-09-27T22:03:00Z,25.5037,123.7591,27.83,0,,,,,,,,,,,0111179999999999
2101648,2019-09-27T23:00:00Z,25.5040,123.7800,,0,-6.2,-2.4,-0.04,-0.02,27.83,0.5,312,15,0.641,0.032,0111971111171111
2101648,2019-09-27T23:00:00Z,25.5044,123.7809,27.83,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T00:00:00Z,25.5060,123.8050,,0,-6.3,-2.4,-0.04,-0.02,27.82,0.5,312,15,0.681,0.046,0111971111171111
2101648,2019-09-28T00:03:00Z,25.5064,123.8050,27.82,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T01:00:00Z,25.5070,123.8290,,0,-6.3,-2.3,-0.04,-0.02,27.82,0.5,312,15,0.701,0.047,0111971111171111
2101648,2019-09-28T01:00:00Z,25.5068,123.8298,27.82,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T02:00:00Z,25.5090,123.8550,,0,-6.5,-0.8,-0.05,-0.02,27.84,0.5,312,15,0.725,0.077,0111971111171111
2101648,2019-09-28T02:00:00Z,25.5092,123.8544,27.83,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T03:00:00Z,25.5130,123.8820,,0,-6.5,-0.7,-0.05,-0.02,27.85,0.5,312,15,0.758,0.112,0111971111171111
2101648,2019-09-28T03:00:00Z,25.5119,123.8817,27.85,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T04:00:00Z,25.5170,123.9100,,0,-6.5,-0.6,-0.05,-0.01,27.85,0.5,312,15,0.776,0.141,0111971111171111
2101648,2019-09-28T04:04:00Z,25.5166,123.9110,27.85,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T05:00:00Z,25.5230,123.9380,,0,-3.8,-2.2,-0.05,-0.01,27.85,0.5,312,15,0.782,0.195,0111971111171111
2101648,2019-09-28T06:00:00Z,25.5280,123.9670,,0,-4,-2.1,-0.05,-0.01,27.86,0.5,312,15,0.787,0.251,0111971111171111
2101648,2019-09-28T06:04:00Z,25.5268,123.9690,27.85,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T07:00:00Z,25.5370,123.9950,,0,-4.3,-2,-0.05,-0.01,27.88,0.5,312,15,0.758,0.346,0111971111171111
2101648,2019-09-28T07:00:00Z,25.5365,123.9946,27.88,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T08:00:00Z,25.5490,124.0210,,0,-3.5,-3,-0.03,-0.01,27.88,0.5,312,15,0.727,0.369,0111971111171111
2101648,2019-09-28T08:04:00Z,25.5493,124.0239,27.88,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T09:00:00Z,25.5590,124.0470,,0,-3.6,-2.8,-0.03,-0.01,27.87,0.5,312,15,0.721,0.352,0111971111171111
2101648,2019-09-28T09:00:00Z,25.5609,124.0471,27.87,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T10:00:00Z,25.5720,124.0740,,0,-3.7,-2.7,-0.03,-0.01,27.85,0.5,312,15,0.78,0.339,0111971111171111
2101648,2019-09-28T10:00:00Z,25.5715,124.0739,27.86,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T11:00:00Z,25.5820,124.1030,,0,-7.5,-4,-0.02,-0.02,27.82,0.5,312,15,0.864,0.34,0111971111171111
2101648,2019-09-28T11:00:00Z,25.5828,124.1032,27.83,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T12:00:00Z,25.5930,124.1360,,0,-7.3,-4.1,-0.02,-0.02,27.81,0.5,312,15,0.895,0.302,0111971111171111
2101648,2019-09-28T12:00:00Z,25.5925,124.1356,27.81,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T13:00:00Z,25.6010,124.1670,,0,-7.2,-4.1,-0.02,-0.02,27.82,0.5,312,15,0.87,0.265,0111971111171111
2101648,2019-09-28T13:00:00Z,25.6015,124.1677,27.82,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T14:00:00Z,25.6080,124.1950,,0,-5.7,-2,-0.04,-0.01,27.81,0.5,312,15,0.796,0.234,0111971111171111
2101648,2019-09-28T15:00:00Z,25.6170,124.2240,,0,-5.8,-2,-0.04,-0.01,27.8,0.5,312,15,0.723,0.204,0111971111171111
2101648,2019-09-28T15:00:00Z,25.6167,124.2271,27.8,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T16:00:00Z,25.6220,124.2500,,0,-5.9,-2,-0.04,-0.01,27.79,0.5,312,15,0.639,0.188,0111971111171111
2101648,2019-09-28T16:00:00Z,25.6230,124.2511,27.79,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T17:00:00Z,25.6290,124.2730,,0,-6.2,-1.1,-0.07,-0.02,27.79,0.5,312,15,0.626,0.2,0111971111171111
2101648,2019-09-28T17:00:00Z,25.6293,124.2732,27.79,0,,,,,,,,,,,0111179999999999
2101648,2019-09-28T18:00:00Z,25.6380,124.2950,,0,-6.3,-1.1,-0.07,-0.02,27.79,0.5,312,15,0.627,0.294,0111971111171111
2101648,2019-09-28T18:00:00Z,25.6364,124.2958,27.79,0,,,,,,,,,,,0111179999999999
