PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),QC
2901502,105349,2011-11-09T23:21:34Z,19.3880,122.9760,00111
2901502,105349,2011-11-10T00:18:12Z,19.3890,122.9760,00111
2901502,105349,2011-11-10T01:01:10Z,19.3930,122.9740,00111
2901502,105349,2011-11-10T01:13:21Z,19.3950,122.9680,00111
2901502,105349,2011-11-10T02:55:12Z,19.3930,122.9810,00111
2901502,105349,2011-11-10T03:43:21Z,19.3820,122.9910,00111
2901502,105349,2011-11-10T04:42:21Z,19.3790,122.9920,00111
2901502,105349,2011-11-10T05:24:08Z,19.3770,122.9800,00111
2901502,105349,2011-11-10T06:23:35Z,19.3730,122.9750,00111
2901502,105349,2011-11-10T07:01:05Z,19.3640,122.9790,00111
2901502,105349,2011-11-20T00:25:31Z,19.3910,122.7910,00111
2901502,105349,2011-11-20T01:06:25Z,19.3930,122.7880,00111
2901502,105349,2011-11-20T01:42:27Z,19.3910,122.7930,00111
2901502,105349,2011-11-20T02:44:37Z,19.3890,122.7910,00111
2901502,105349,2011-11-20T03:42:31Z,19.3770,122.7990,00111
2901502,105349,2011-11-20T04:38:13Z,19.3670,122.8060,00111
2901502,105349,2011-11-20T05:21:37Z,19.3690,122.8000,00111
2901502,105349,2011-11-20T06:21:04Z,19.3540,122.8000,00111
2901502,105349,2011-11-29T23:41:18Z,19.3240,122.7320,00111
2901502,105349,2011-11-29T23:50:17Z,19.3260,122.7330,00111
2901502,105349,2011-11-30T00:59:37Z,19.3270,122.7520,00111
2901502,105349,2011-11-30T01:22:27Z,19.3290,122.7580,00111
2901502,105349,2011-11-30T01:33:41Z,19.3290,122.7590,00111
2901502,105349,2011-11-30T02:40:59Z,19.3250,122.7800,00111
2901502,105349,2011-11-30T03:37:42Z,19.3170,122.8120,00111
2901502,105349,2011-11-30T04:31:02Z,19.3120,122.8370,00111
2901502,105349,2011-11-30T05:16:43Z,19.3010,122.8290,00111
2901502,105349,2011-11-30T06:09:13Z,19.2890,122.8440,00111
2901502,105349,2011-12-09T23:16:13Z,19.3730,122.7510,00111
2901502,105349,2011-12-09T23:21:35Z,19.3750,122.7460,00111
2901502,105349,2011-12-10T00:53:08Z,19.3780,122.7310,00111
2901502,105349,2011-12-10T00:56:34Z,19.3750,122.7300,00111
2901502,105349,2011-12-10T01:04:31Z,19.3750,122.7270,00111
2901502,105349,2011-12-10T02:32:38Z,19.3690,122.7020,00111
2901502,105349,2011-12-10T03:33:15Z,19.3570,122.7050,00111
2901502,105349,2011-12-10T05:11:02Z,19.3680,122.6420,00111
2901502,105349,2011-12-10T06:35:55Z,19.3750,122.6180,00111
2901502,105349,2011-12-19T23:05:07Z,18.8580,122.7340,00111
2901502,105349,2011-12-20T00:20:06Z,18.8700,122.7090,00111
2901502,105349,2011-12-20T00:45:23Z,18.8700,122.7070,00111
2901502,105349,2011-12-20T00:45:49Z,18.8730,122.7030,00111
2901502,105349,2011-12-20T02:25:48Z,18.8940,122.6810,00111
2901502,105349,2011-12-20T05:51:45Z,18.9310,122.6300,00111
2901502,105349,2011-12-30T00:24:54Z,17.7410,122.6300,00111
2901502,105349,2011-12-30T00:40:24Z,17.7480,122.6410,00111
2901502,105349,2011-12-30T01:27:09Z,17.7680,122.6370,00111
2901502,105349,2011-12-30T02:22:59Z,17.7910,122.6310,00111
2901502,105349,2011-12-30T04:56:55Z,17.8750,122.5600,00111
2901502,105349,2011-12-30T05:42:47Z,17.9070,122.5570,00111
2901502,105349,2011-12-30T06:44:43Z,17.9570,122.5500,00111
2901502,105349,2011-12-30T06:51:49Z,17.9540,122.5420,00111
2901502,105349,2011-12-30T07:24:13Z,17.9960,122.5320,00111
