PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2901394,103571,2011-12-31T19:19:56Z,24.6710,129.9300,5.6,22.709,34.76,5,22.709,34.76,00111111111,3959,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.60 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:17:54,Primary sampling: discrete [],1,1
2901394,103571,2011-12-31T19:19:56Z,24.6710,129.9300,10.2,22.707,34.76,9.6,22.707,34.76,00111111111,3959,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.60 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:17:54,Primary sampling: discrete [],1,1
2901394,103571,2011-12-31T19:19:56Z,24.6710,129.9300,15.4,22.717,34.759,14.8,22.717,34.759,00111111111,3959,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.60 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:17:54,Primary sampling: discrete [],1,1
2901394,103571,2011-12-31T19:19:56Z,24.6710,129.9300,20.6,22.718,34.759,20,22.718,34.759,00111111111,3959,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.60 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:17:54,Primary sampling: discrete [],1,1
2901394,103571,2011-12-31T19:19:56Z,24.6710,129.9300,25.5,22.72,34.758,24.9,22.72,34.758,00111111111,3959,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.60 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:17:54,Primary sampling: discrete [],1,1
2901394,103571,2011-12-31T19:19:56Z,24.6710,129.9300,30.6,22.722,34.759,30,22.722,34.759,00111111111,3959,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.60 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:17:54,Primary sampling: discrete [],1,1
2901394,103571,2011-12-31T19:19:56Z,24.6710,129.9300,35.5,22.721,34.759,34.9,22.721,34.759,00111111111,3959,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.60 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:17:54,Primary sampling: discrete [],1,1
2901394,103571,2011-12-31T19:19:56Z,24.6710,129.9300,40.5,22.724,34.759,39.9,22.724,34.759,00111111111,3959,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.60 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:17:54,Primary sampling: discrete [],1,1
2901394,103571,2011-12-31T19:19:56Z,24.6710,129.9300,45.1,22.719,34.758,44.5,22.719,34.758,00111111111,3959,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.60 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:17:54,Primary sampling: discrete [],1,1
2901394,103571,2011-12-31T19:19:56Z,24.6710,129.9300,49.9,22.721,34.758,49.3,22.721,34.758,00111111111,3959,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.60 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:17:54,Primary sampling: discrete [],1,1
