PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),QC
2901379,84289,2011-11-04T12:48:30Z,21.3700,120.4580,00111
2901379,84289,2011-11-04T12:52:30Z,21.3640,120.4700,00111
2901379,84289,2011-11-04T12:55:26Z,21.3720,120.4630,00111
2901379,84289,2011-11-04T14:31:10Z,21.3340,120.4630,00111
2901379,84289,2011-11-04T17:24:46Z,21.3010,120.4540,00111
2901379,84289,2011-11-04T18:25:02Z,21.2950,120.4390,00111
2901379,84289,2011-11-04T19:05:18Z,21.2900,120.4320,00111
2901379,84289,2011-11-04T20:05:34Z,21.2990,120.4170,00111
2901379,84289,2011-11-04T20:13:34Z,21.2980,120.4110,00111
2901379,84289,2011-11-04T21:52:46Z,21.3070,120.3780,00111
2901379,84289,2011-11-04T23:38:06Z,21.3280,120.3550,00111
2901379,84289,2011-11-04T23:40:30Z,21.3250,120.3570,00111
2901379,84289,2011-11-08T12:59:45Z,21.4220,120.2910,00111
2901379,84289,2011-11-08T13:10:25Z,21.3720,120.3320,00111
2901379,84289,2011-11-08T16:43:13Z,21.4080,120.3170,00111
2901379,84289,2011-11-08T17:42:41Z,21.4130,120.3200,00111
2901379,84289,2011-11-08T18:24:01Z,21.4180,120.3230,00111
2901379,84289,2011-11-08T19:23:45Z,21.4170,120.3270,00111
2901379,84289,2011-11-08T20:16:01Z,21.4210,120.3310,00111
2901379,84289,2011-11-08T21:56:49Z,21.4200,120.3320,00111
2901379,84289,2011-11-08T22:53:05Z,21.4240,120.3320,00111
2901379,84289,2011-11-12T12:54:28Z,21.4800,120.2210,00111
2901379,84289,2011-11-12T13:25:24Z,21.5140,120.2310,00111
2901379,84289,2011-11-12T16:00:36Z,21.5180,120.1540,00111
2901379,84289,2011-11-12T17:41:40Z,21.5540,120.1130,00111
2901379,84289,2011-11-12T19:21:40Z,21.5630,120.0980,00111
2901379,84289,2011-11-12T20:19:32Z,21.5620,120.0770,00111
2901379,84289,2011-11-12T21:59:32Z,21.5610,120.0590,00111
2901379,84289,2011-11-16T13:43:08Z,21.5640,119.8970,00111
2901379,84289,2011-11-16T16:58:52Z,21.5690,119.8120,00111
2901379,84289,2011-11-16T17:56:12Z,21.5710,119.7800,00111
2901379,84289,2011-11-16T18:39:56Z,21.5730,119.7660,00111
2901379,84289,2011-11-16T19:36:28Z,21.5840,119.7320,00111
2901379,84289,2011-11-16T20:23:24Z,21.6000,119.7100,00111
2901379,84289,2011-11-16T22:03:24Z,21.6410,119.6540,00111
2901379,84289,2011-11-16T22:57:16Z,21.6640,119.6520,00111
2901379,84289,2011-11-20T14:01:11Z,21.6240,119.5200,00111
2901379,84289,2011-11-20T16:17:11Z,21.6690,119.4660,00111
2901379,84289,2011-11-20T17:14:15Z,21.6950,119.4450,00111
2901379,84289,2011-11-20T17:56:55Z,21.7170,119.4170,00111
2901379,84289,2011-11-20T18:53:43Z,21.7390,119.4110,00111
2901379,84289,2011-11-20T20:25:43Z,21.7840,119.4090,00111
2901379,84289,2011-11-20T22:05:27Z,21.8300,119.4050,00111
2901379,84289,2011-11-24T12:38:16Z,21.7740,119.3980,00111
