PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,9.1,28.435,34.591,9.1,28.435,34.591,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,19.3,28.437,34.59,19.3,28.437,34.59,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,29.6,28.423,34.594,29.6,28.423,34.594,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,39.5,28.4,34.605,39.5,28.4,34.605,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,49.5,27.999,34.614,49.5,27.999,34.614,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,59.5,26.333,34.742,59.5,26.333,34.742,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,69.1,25.298,34.855,69.1,25.298,34.855,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,79.7,24.632,34.87,79.7,24.632,34.87,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,89.5,23.862,34.918,89.5,23.862,34.918,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,99,23.094,34.889,99,23.094,34.889,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,109.4,22.385,34.874,109.4,22.385,34.874,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,119.5,21.981,34.861,119.5,21.981,34.861,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,129.4,21.484,34.852,129.4,21.484,34.852,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,139.1,21.236,34.847,139.1,21.236,34.847,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,149.1,20.862,34.838,149.1,20.862,34.838,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,159,20.281,34.813,159,20.281,34.813,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,169.5,19.819,34.798,169.5,19.819,34.798,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,179.1,19.377,34.786,179.1,19.377,34.786,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,189.4,19.189,34.779,189.4,19.189,34.779,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,199.4,18.947,34.779,199.4,18.947,34.779,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,219.3,18.203,34.756,219.3,18.203,34.756,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
2900891,30188,2011-11-02T09:45:58Z,19.0590,125.9800,239.4,17.679,34.728,239.4,17.679,34.728,00111111111,A0_01864_006,PRES,none,none,Pressures(PRES) are adjusted by using SURFACE PRESSURE(SP) values,PRES,17/04/2015 11:39:00,Primary sampling: discrete [],1,1,D
