PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),QC
2901017,064012,2011-11-04T05:47:46Z,21.6050,129.4930,00111
2901017,064012,2011-11-04T07:43:58Z,21.6290,129.4970,00111
2901017,064012,2011-11-04T09:25:47Z,21.5990,129.4610,00111
2901017,064012,2011-11-04T11:04:51Z,21.6620,129.4580,00133
2901017,064012,2011-11-04T11:11:28Z,21.6500,129.4470,00133
2901017,064012,2011-11-04T11:18:06Z,21.6590,129.4330,00111
2901017,064012,2011-11-04T12:52:08Z,21.6710,129.4280,00111
2901017,064012,2011-11-04T15:41:37Z,21.6930,129.4130,00111
2901017,064012,2011-11-04T16:42:23Z,21.7080,129.4040,00111
2901017,064012,2011-11-04T17:23:25Z,21.7150,129.3980,00111
2901017,064012,2011-11-09T07:24:40Z,21.9030,129.3600,00111
2901017,064012,2011-11-09T10:08:07Z,21.9390,129.3800,00111
2901017,064012,2011-11-09T11:00:14Z,21.9580,129.4050,00133
2901017,064012,2011-11-09T11:08:01Z,21.9480,129.3940,00111
2901017,064012,2011-11-09T11:51:13Z,21.9560,129.3740,00111
2901017,064012,2011-11-09T12:48:49Z,21.9640,129.3920,00111
2901017,064012,2011-11-09T16:29:43Z,21.9580,129.4150,00111
2901017,064012,2011-11-09T17:29:20Z,21.9530,129.4150,00111
2901017,064012,2011-11-09T18:09:48Z,21.9480,129.4190,00111
2901017,064012,2011-11-14T08:44:44Z,22.1610,129.4120,00111
2901017,064012,2011-11-14T10:34:19Z,22.1770,129.3990,00111
2901017,064012,2011-11-14T10:43:58Z,22.1800,129.3990,00111
2901017,064012,2011-11-14T15:38:10Z,22.2260,129.3650,00111
2901017,064012,2011-11-14T16:34:45Z,22.2370,129.3720,00111
2901017,064012,2011-11-14T17:16:57Z,22.2530,129.3690,00111
2901017,064012,2011-11-14T18:15:33Z,22.2590,129.3780,00111
2901017,064012,2011-11-19T06:29:48Z,22.4270,129.3400,00111
2901017,064012,2011-11-19T06:41:11Z,22.4200,129.3420,00111
2901017,064012,2011-11-19T08:18:40Z,22.4500,129.3520,00111
2901017,064012,2011-11-19T09:47:23Z,22.4490,129.3570,00111
2901017,064012,2011-11-19T10:16:02Z,22.4700,129.3600,00111
2901017,064012,2011-11-19T11:27:10Z,22.4860,129.3560,00111
2901017,064012,2011-11-19T12:42:37Z,22.5060,129.3780,00111
2901017,064012,2011-11-19T16:25:41Z,22.5390,129.3810,00111
2901017,064012,2011-11-19T17:21:16Z,22.5440,129.3900,00111
2901017,064012,2011-11-19T18:04:54Z,22.5480,129.3980,00111
2901017,064012,2011-11-24T06:22:45Z,22.6240,129.4170,00111
2901017,064012,2011-11-24T07:57:48Z,22.6570,129.3970,00111
2901017,064012,2011-11-24T09:59:54Z,22.6640,129.3940,00111
2901017,064012,2011-11-24T10:26:24Z,22.6690,129.3920,00111
2901017,064012,2011-11-24T10:30:00Z,22.6740,129.3990,00133
2901017,064012,2011-11-24T10:57:39Z,22.6790,129.3940,00111
2901017,064012,2011-11-24T11:40:42Z,22.6860,129.3940,00111
2901017,064012,2011-11-24T12:08:21Z,22.6900,129.3950,00111
2901017,064012,2011-11-24T15:32:24Z,22.7280,129.3990,00111
2901017,064012,2011-11-24T16:28:25Z,22.7280,129.4020,00111
2901017,064012,2011-11-24T17:12:03Z,22.7330,129.3960,00111
2901017,064012,2011-11-24T18:07:21Z,22.7420,129.3870,00111
2901017,064012,2011-11-29T06:25:55Z,22.7930,129.4460,00111
2901017,064012,2011-11-29T09:47:40Z,22.7880,129.4420,00111
2901017,064012,2011-11-29T10:54:46Z,22.7940,129.4320,00111
2901017,064012,2011-11-29T11:06:00Z,22.7850,129.4390,00111
2901017,064012,2011-11-29T11:29:11Z,22.7870,129.4370,00111
2901017,064012,2011-11-29T12:35:08Z,22.7830,129.4330,00111
2901017,064012,2011-11-29T14:13:47Z,22.7670,129.4330,00111
2901017,064012,2011-11-29T16:20:21Z,22.7830,129.4240,00111
2901017,064012,2011-11-29T17:15:13Z,22.7880,129.4180,00111
2901017,064012,2011-11-29T18:00:17Z,22.8000,129.4140,00111
2901017,064012,2011-12-04T07:24:40Z,22.7780,129.4960,00111
2901017,064012,2011-12-04T07:24:40Z,22.7790,129.4950,00133
2901017,064012,2011-12-04T07:25:15Z,22.7780,129.4970,00111
2901017,064012,2011-12-04T09:30:06Z,22.7450,129.5240,00133
2901017,064012,2011-12-04T09:32:15Z,22.7450,129.5240,00111
2901017,064012,2011-12-04T10:04:57Z,22.7640,129.5270,00111
2901017,064012,2011-12-04T10:07:06Z,22.7640,129.5270,00133
2901017,064012,2011-12-04T11:03:16Z,22.7550,129.5200,00111
2901017,064012,2011-12-04T11:46:11Z,22.7480,129.5180,00111
2901017,064012,2011-12-04T11:52:13Z,22.7480,129.5180,00111
2901017,064012,2011-12-04T12:31:15Z,22.7450,129.5210,00111
2901017,064012,2011-12-04T15:28:22Z,22.7060,129.5160,00111
2901017,064012,2011-12-04T17:08:18Z,22.7080,129.5260,00111
2901017,064012,2011-12-04T17:58:51Z,22.7010,129.5200,00111
2901017,064012,2011-12-09T06:58:54Z,22.6180,129.5390,00111
2901017,064012,2011-12-09T08:38:41Z,22.6150,129.5240,00111
2901017,064012,2011-12-09T10:46:16Z,22.5950,129.5380,00111
2901017,064012,2011-12-09T10:54:46Z,22.5920,129.5320,00111
2901017,064012,2011-12-09T12:27:48Z,22.5840,129.5400,00111
2901017,064012,2011-12-09T16:16:28Z,22.5480,129.5430,00111
2901017,064012,2011-12-09T17:06:17Z,22.5420,129.5380,00111
2901017,064012,2011-12-09T17:55:41Z,22.5300,129.5360,00111
2901017,064012,2011-12-14T06:37:18Z,22.4060,129.5650,00111
2901017,064012,2011-12-14T08:14:04Z,22.4000,129.5650,00111
2901017,064012,2011-12-14T09:50:33Z,22.3690,129.5590,00111
2901017,064012,2011-12-14T10:29:00Z,22.3780,129.5600,00111
2901017,064012,2011-12-14T11:29:11Z,22.3640,129.5550,00111
2901017,064012,2011-12-14T12:24:12Z,22.3530,129.5520,00111
2901017,064012,2011-12-14T15:23:46Z,22.3050,129.5390,00111
2901017,064012,2011-12-14T17:03:33Z,22.3100,129.5270,00111
2901017,064012,2011-12-14T17:53:14Z,22.3040,129.5280,00111
2901017,064012,2011-12-19T06:02:01Z,22.2530,129.5420,00111
2901017,064012,2011-12-19T06:18:35Z,22.2460,129.5530,00111
2901017,064012,2011-12-19T07:58:48Z,22.2400,129.5170,00111
2901017,064012,2011-12-19T10:16:28Z,22.2280,129.5060,00111
2901017,064012,2011-12-19T10:27:07Z,22.2280,129.5080,00111
2901017,064012,2011-12-19T11:55:58Z,22.2180,129.5050,00111
2901017,064012,2011-12-19T12:20:18Z,22.2200,129.5020,00111
2901017,064012,2011-12-19T16:14:18Z,22.1940,129.4880,00111
2901017,064012,2011-12-19T16:59:31Z,22.1890,129.4870,00111
2901017,064012,2011-12-19T17:50:30Z,22.1820,129.4820,00111
2901017,064012,2011-12-24T07:41:14Z,22.1440,129.4970,00111
2901017,064012,2011-12-24T09:31:24Z,22.1180,129.4610,00111
2901017,064012,2011-12-24T09:53:00Z,22.1190,129.4610,00111
2901017,064012,2011-12-24T11:08:10Z,22.1110,129.4400,00111
