PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,97,23.435,34.906,97,23.435,34.9108,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,106,22.86,34.896,106,22.86,34.9,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,116,22.325,34.899,116,22.325,34.9028,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,126,21.819,34.871,126,21.819,34.8745,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,136,21.36,34.849,136,21.36,34.852,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,146,20.972,34.839,146,20.972,34.842,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,156,20.58,34.826,156,20.58,34.8293,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,166,20.158,34.803,166,20.158,34.8074,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,177,19.531,34.775,177,19.531,34.7784,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,186,19.137,34.761,186,19.137,34.7631,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,196,18.869,34.75,196,18.869,34.7512,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,213,18.618,34.74,213,18.618,34.7419,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,239,18.007,34.724,239,18.007,34.7264,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,264,17.246,34.697,264,17.246,34.6991,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,288,16.631,34.666,288,16.631,34.6685,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,313,15.866,34.617,313,15.866,34.6195,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,339,15.09,34.565,339,15.09,34.568,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,363,14.225,34.493,363,14.225,34.4961,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,388,13.314,34.427,388,13.314,34.4315,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,413,11.978,34.339,413,11.978,34.3422,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,438,11.046,34.284,438,11.046,34.2862,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,464,10.382,34.253,464,10.382,34.2549,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,488,9.859,34.245,488,9.859,34.2471,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,515,9.224,34.229,515,9.224,34.2315,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,538,8.58,34.202,538,8.58,34.2038,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,564,8.075,34.202,564,8.075,34.2034,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,589,7.678,34.197,589,7.678,34.1988,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,613,7.21,34.203,613,7.21,34.2045,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,638,6.794,34.222,638,6.794,34.2232,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,663,6.462,34.228,663,6.462,34.2293,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,689,6.106,34.238,689,6.106,34.239,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,714,5.849,34.246,714,5.849,34.247,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,739,5.586,34.264,739,5.586,34.265,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
2901588,55384,2011-11-07T05:15:04Z,18.8850,126.4110,764,5.334,34.286,764,5.334,34.2868,00111111111,0208_55384_055,PRES,PRES = PRES - [PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar]; PRES_ADJUSTED = PRES,PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetCorrectedNotResetNegative_1dbarResolution_dbar; Pressure drift corrected onboard the float; Manufacturers sensor accuracy,PRES,13/10/2019 22:57:19,Primary sampling: averaged [],1,1,D
