PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,9.5,27.456,34.676,9.5,27.456,34.676,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,19.4,27.459,34.675,19.4,27.459,34.675,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,29.1,27.459,34.676,29.1,27.459,34.676,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,39.3,27.456,34.676,39.3,27.456,34.676,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,49.5,27.459,34.676,49.5,27.459,34.676,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,59.5,27.439,34.673,59.5,27.439,34.673,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,69.7,26.785,34.709,69.7,26.785,34.709,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,79.3,25.261,34.821,79.3,25.261,34.821,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,89.6,24.037,34.836,89.6,24.037,34.836,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,99,23.461,34.833,99,23.461,34.833,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,108.9,23.107,34.841,108.9,23.107,34.841,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,119.1,22.664,34.867,119.1,22.664,34.867,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,129.5,21.882,34.854,129.5,21.882,34.854,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,139.6,21.289,34.845,139.6,21.289,34.845,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,149.5,20.894,34.842,149.5,20.894,34.842,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,159.1,20.577,34.837,159.1,20.577,34.837,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,169.5,20.1,34.825,169.5,20.1,34.825,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
2900894,30192,2011-11-22T21:14:01Z,20.0190,125.6660,179.1,19.672,34.814,179.1,19.672,34.814,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,11/10/2017 17:28:00,Primary sampling: discrete [],1,1,D
