PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),QC
2901178,87523,2011-11-07T13:31:40Z,22.0340,124.6380,00111
2901178,87523,2011-11-07T16:50:21Z,22.0170,124.6360,00111
2901178,87523,2011-11-07T17:50:56Z,22.0050,124.6360,00111
2901178,87523,2011-11-07T18:29:57Z,21.9990,124.6410,00111
2901178,87523,2011-11-07T18:59:25Z,21.9940,124.6390,00111
2901178,87523,2011-11-07T19:29:55Z,21.9900,124.6380,00111
2901178,87523,2011-11-07T20:36:24Z,21.9700,124.6430,00111
2901178,87523,2011-11-07T22:28:43Z,21.9430,124.6340,00111
2901178,87523,2011-11-07T23:01:20Z,21.9330,124.6330,00111
2901178,87523,2011-11-08T00:04:17Z,21.9180,124.6360,00111
2901178,87523,2011-11-08T00:15:03Z,21.9150,124.6330,00111
2901178,87523,2011-11-08T00:40:57Z,21.9110,124.6340,00111
2901178,87523,2011-11-17T12:49:37Z,21.6110,124.4840,00111
2901178,87523,2011-11-17T13:24:18Z,21.6140,124.4730,00111
2901178,87523,2011-11-17T16:46:24Z,21.6140,124.4400,00111
2901178,87523,2011-11-17T17:43:45Z,21.6120,124.4340,00111
2901178,87523,2011-11-17T18:25:41Z,21.6030,124.4350,00111
2901178,87523,2011-11-17T19:22:59Z,21.6010,124.4260,00111
2901178,87523,2011-11-17T19:57:19Z,21.5980,124.4170,00111
2901178,87523,2011-11-17T21:37:13Z,21.5820,124.4010,00111
2901178,87523,2011-11-17T21:55:00Z,21.5830,124.4040,00111
2901178,87523,2011-11-17T22:42:47Z,21.5750,124.3870,00111
2901178,87523,2011-11-17T23:34:15Z,21.5680,124.3780,00111
2901178,87523,2011-11-18T00:07:43Z,21.5640,124.3710,00144
2901178,87523,2011-11-18T00:23:05Z,21.5590,124.3730,00111
2901178,87523,2011-11-18T01:12:23Z,21.5520,124.3530,00111
2901178,87523,2011-11-27T13:16:56Z,21.5830,124.4290,00111
2901178,87523,2011-11-27T16:42:29Z,21.5770,124.3950,00111
2901178,87523,2011-11-27T17:34:20Z,21.5730,124.3820,00111
2901178,87523,2011-11-27T18:21:05Z,21.5760,124.3710,00111
2901178,87523,2011-11-27T19:15:46Z,21.5860,124.3610,00111
2901178,87523,2011-11-27T19:16:16Z,21.5770,124.3560,00111
2901178,87523,2011-11-27T20:52:50Z,21.5830,124.3360,00111
2901178,87523,2011-11-27T22:23:41Z,21.5870,124.3180,00111
2901178,87523,2011-11-27T22:57:08Z,21.5790,124.3090,00111
2901178,87523,2011-11-28T00:00:25Z,21.5800,124.2990,00111
2901178,87523,2011-11-28T00:01:39Z,21.5800,124.3000,00111
2901178,87523,2011-11-28T00:36:13Z,21.5800,124.2930,00111
2901178,87523,2011-11-28T01:39:48Z,21.5780,124.2760,00111
2901178,87523,2011-12-07T12:55:28Z,21.5240,124.5310,00111
2901178,87523,2011-12-07T13:10:14Z,21.5340,124.5370,00111
2901178,87523,2011-12-07T16:37:07Z,21.5310,124.4860,00111
2901178,87523,2011-12-07T17:27:17Z,21.5320,124.4760,00111
2901178,87523,2011-12-07T18:15:25Z,21.5330,124.4650,00111
2901178,87523,2011-12-07T19:08:01Z,21.5340,124.4510,00111
2901178,87523,2011-12-07T20:12:03Z,21.5440,124.4310,00111
2901178,87523,2011-12-07T21:58:46Z,21.5560,124.4150,00111
2901178,87523,2011-12-07T22:05:00Z,21.5580,124.4210,00111
2901178,87523,2011-12-07T22:23:00Z,21.5540,124.4090,00111
2901178,87523,2011-12-07T23:45:05Z,21.5610,124.3990,00111
2901178,87523,2011-12-07T23:53:58Z,21.5600,124.3980,00111
2901178,87523,2011-12-08T00:02:24Z,21.5620,124.3980,00144
2901178,87523,2011-12-08T01:24:28Z,21.5750,124.3860,00111
2901178,87523,2011-12-08T01:33:08Z,21.5750,124.3930,00111
2901178,87523,2011-12-17T11:21:17Z,21.4250,124.7160,00111
2901178,87523,2011-12-17T12:38:26Z,21.4040,124.7080,00111
2901178,87523,2011-12-17T12:44:00Z,21.4000,124.7020,00111
2901178,87523,2011-12-17T13:03:39Z,21.3970,124.6960,00111
2901178,87523,2011-12-17T16:31:37Z,21.3810,124.6680,00111
2901178,87523,2011-12-17T17:20:14Z,21.3840,124.6570,00111
2901178,87523,2011-12-17T18:11:49Z,21.3760,124.6570,00111
2901178,87523,2011-12-17T18:59:38Z,21.3700,124.6500,00111
2901178,87523,2011-12-17T19:31:54Z,21.3660,124.6430,00111
2901178,87523,2011-12-17T21:09:01Z,21.3560,124.6360,00111
2901178,87523,2011-12-17T23:23:06Z,21.3500,124.6080,00111
2901178,87523,2011-12-17T23:27:31Z,21.3500,124.6090,00111
2901178,87523,2011-12-17T23:48:07Z,21.3520,124.6100,00111
2901178,87523,2011-12-18T01:05:52Z,21.3410,124.5940,00111
2901178,87523,2011-12-18T01:09:46Z,21.3410,124.5920,00111
2901178,87523,2011-12-18T01:27:11Z,21.3380,124.5930,00111
2901178,87523,2011-12-27T16:27:24Z,21.3200,124.8810,00111
2901178,87523,2011-12-27T17:11:23Z,21.3160,124.8800,00111
2901178,87523,2011-12-27T18:06:56Z,21.3110,124.8790,00111
2901178,87523,2011-12-27T18:49:08Z,21.3010,124.8800,00111
2901178,87523,2011-12-27T18:51:07Z,21.3100,124.8770,00111
2901178,87523,2011-12-27T22:52:36Z,21.2810,124.8340,00111
2901178,87523,2011-12-27T23:09:32Z,21.2780,124.8300,00111
2901178,87523,2011-12-27T23:42:34Z,21.2770,124.8270,00111
2901178,87523,2011-12-28T00:30:16Z,21.2710,124.8100,00111
2901178,87523,2011-12-28T00:47:06Z,21.2690,124.8100,00111
2901178,87523,2011-12-28T01:22:10Z,21.2700,124.8090,00111
2901178,87523,2012-01-06T11:52:55Z,21.8240,125.0380,00111
2901178,87523,2012-01-06T12:49:51Z,21.8320,125.0290,00111
2901178,87523,2012-01-06T14:27:59Z,21.8490,125.0270,00111
2901178,87523,2012-01-06T16:22:01Z,21.8690,125.0450,00111
2901178,87523,2012-01-06T17:03:49Z,21.8760,125.0480,00111
2901178,87523,2012-01-06T18:03:04Z,21.8840,125.0460,00111
2901178,87523,2012-01-06T18:43:13Z,21.8880,125.0440,00111
2901178,87523,2012-01-06T19:46:19Z,21.8950,125.0470,00111
2901178,87523,2012-01-06T21:24:43Z,21.9130,125.0400,00111
2901178,87523,2012-01-06T22:16:27Z,21.9210,125.0410,00111
2901178,87523,2012-01-06T22:48:40Z,21.9210,125.0400,00111
2901178,87523,2012-01-06T23:34:36Z,21.9310,125.0390,00111
2901178,87523,2012-01-06T23:55:00Z,21.9340,125.0350,00111
2901178,87523,2012-01-07T00:28:39Z,21.9400,125.0370,00111
2901178,87523,2012-01-07T01:14:27Z,21.9410,125.0340,00111
2901178,87523,2012-01-16T16:17:12Z,22.5740,125.2250,00111
2901178,87523,2012-01-16T16:56:57Z,22.5760,125.2230,00111
2901178,87523,2012-01-16T17:57:45Z,22.5960,125.2090,00111
2901178,87523,2012-01-16T18:35:43Z,22.6030,125.2080,00111
2901178,87523,2012-01-16T19:04:54Z,22.6120,125.2040,00111
2901178,87523,2012-01-16T20:44:00Z,22.6350,125.1830,00111
2901178,87523,2012-01-16T22:28:25Z,22.6620,125.1890,00111
2901178,87523,2012-01-16T23:20:37Z,22.6780,125.1850,00111
2901178,87523,2012-01-16T23:28:24Z,22.6770,125.1870,00111
2901178,87523,2012-01-17T00:08:41Z,22.6920,125.1840,00111
2901178,87523,2012-01-17T01:00:15Z,22.7020,125.1850,00111
2901178,87523,2012-01-17T01:07:29Z,22.7060,125.1930,00111
2901178,87523,2012-01-26T11:15:17Z,23.2230,125.2230,00111
2901178,87523,2012-01-26T11:56:30Z,23.2390,125.2600,00111
2901178,87523,2012-01-26T12:35:42Z,23.2470,125.2480,00111
2901178,87523,2012-01-26T13:01:10Z,23.2340,125.2500,00111
