PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,0.1,23.774,,0.2,23.774,,00111129129,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,7.3,23.8,34.463,7.4,23.8,34.463,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,10.6,23.801,34.462,10.7,23.801,34.462,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,11.8,23.802,34.462,11.9,23.802,34.462,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,21,23.801,34.462,21.1,23.801,34.462,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,25,23.802,34.462,25.1,23.802,34.462,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,26.3,23.803,34.462,26.4,23.803,34.462,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,36.3,23.808,34.463,36.4,23.808,34.463,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,40.2,23.809,34.464,40.3,23.809,34.464,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,41.5,23.81,34.463,41.6,23.81,34.463,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,53.4,23.809,34.463,53.5,23.809,34.463,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,54.6,23.812,34.463,54.7,23.812,34.463,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,56.2,23.812,34.464,56.3,23.812,34.464,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,67.3,23.816,34.465,67.4,23.816,34.465,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,68.8,23.816,34.464,68.9,23.816,34.464,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,77.3,23.813,34.463,77.4,23.813,34.463,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
2901990,300034013026610,2011-12-19T23:57:02Z,26.4050,126.3210,80.9,23.81,34.462,81,23.81,34.462,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],1,1
