PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,4.5,28.824,34.348,4.2,28.824,34.331,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,8.9,28.791,34.347,8.6,28.791,34.33,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,19.1,28.784,34.347,18.8,28.784,34.33,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,29.3,28.782,34.347,29,28.782,34.33,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,39.2,28.783,34.349,38.9,28.783,34.332,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,49.7,28.805,34.394,49.4,28.805,34.379,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,59.3,28.269,34.631,59,28.269,34.616,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,69.1,27.648,34.682,68.8,27.648,34.668,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,79.5,26.675,34.855,79.2,26.675,34.84,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,89.4,26.029,34.982,89.1,26.029,34.966,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,99.5,25.519,35.003,99.2,25.519,34.987,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,109.6,25.073,35.066,109.3,25.073,35.051,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,119.2,24.491,35.062,118.9,24.491,35.046,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,129.2,24.024,35.161,128.9,24.024,35.146,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
5901603,28203,2011-11-09T01:42:53Z,18.2260,126.3330,139.6,23.285,35.064,139.3,23.285,35.051,00111111111,0028_28203_197,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.3 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,16/02/2012 03:17:37,Primary sampling: discrete [],1,1,D
