PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
53576,2012-01-07T00:00:00Z,17.5010,125.6540,0,-9.2,-2,-0.15,-0.04,313,15,0.255,0.376,0111711111111
53576,2012-01-07T00:34:00Z,17.5010,125.6520,0,,,,,,,,,0144799999999
53576,2012-01-07T01:17:00Z,17.5010,125.6510,0,,,,,,,,,0111799999999
53576,2012-01-07T01:24:00Z,17.5010,125.6510,0,,,,,,,,,0111799999999
53576,2012-01-07T03:00:00Z,17.5350,125.6850,0,-8.1,-2.9,-0.12,-0.04,313,15,0.186,0.144,0111711111111
53576,2012-01-07T03:40:00Z,17.5350,125.6850,0,,,,,,,,,0111799999999
53576,2012-01-07T04:22:00Z,17.5350,125.6850,0,,,,,,,,,0111799999999
53576,2012-01-07T05:18:00Z,17.5310,125.6930,0,,,,,,,,,0111799999999
53576,2012-01-07T05:24:00Z,17.5270,125.6860,0,,,,,,,,,0144799999999
53576,2012-01-07T06:00:00Z,17.5290,125.6920,0,-7.9,-3.5,-0.11,-0.05,313,15,-0.005,-0.051,0111711111111
53576,2012-01-07T06:04:00Z,17.5270,125.6860,0,,,,,,,,,0111799999999
53576,2012-01-07T07:02:00Z,17.5270,125.6860,0,,,,,,,,,0111799999999
53576,2012-01-07T08:39:00Z,17.5260,125.6880,0,,,,,,,,,0111799999999
53576,2012-01-07T09:00:00Z,17.5250,125.6840,0,-8.4,-4.1,-0.13,-0.06,313,15,0,0.057,0111711111111
53576,2012-01-07T09:29:00Z,17.5260,125.6880,0,,,,,,,,,0111799999999
53576,2012-01-07T10:05:00Z,17.5260,125.6880,0,,,,,,,,,0111799999999
53576,2012-01-07T11:04:00Z,17.5260,125.6880,0,,,,,,,,,0111799999999
53576,2012-01-07T11:10:00Z,17.5280,125.6790,0,,,,,,,,,0144799999999
53576,2012-01-07T11:46:00Z,17.5280,125.6790,0,,,,,,,,,0111799999999
53576,2012-01-07T11:50:00Z,17.5360,125.6910,0,,,,,,,,,0144799999999
53576,2012-01-07T12:00:00Z,17.5400,125.6920,0,-7.6,-4.7,-0.15,-0.08,313,15,0.074,0.134,0111711111111
53576,2012-01-07T12:32:00Z,17.5400,125.6940,0,,,,,,,,,0111799999999
53576,2012-01-07T12:33:00Z,17.5390,125.6950,0,,,,,,,,,0144799999999
53576,2012-01-07T14:09:00Z,17.5470,125.6990,0,,,,,,,,,0111799999999
53576,2012-01-07T15:00:00Z,17.5510,125.6990,0,-8.7,-4.3,-0.15,-0.07,313,15,0.074,0.057,0111711111111
53576,2012-01-07T16:16:00Z,17.5470,125.6990,0,,,,,,,,,0111799999999
53576,2012-01-07T16:18:00Z,17.5540,125.6990,0,,,,,,,,,0144799999999
53576,2012-01-07T16:54:00Z,17.5540,125.6990,0,,,,,,,,,0111799999999
53576,2012-01-07T17:53:00Z,17.5540,125.7120,0,,,,,,,,,0111799999999
53576,2012-01-07T18:00:00Z,17.5510,125.7070,0,-9.3,-4.3,-0.17,-0.06,313,15,0.128,-0.031,0111711111111
53576,2012-01-07T18:36:00Z,17.5510,125.7070,0,,,,,,,,,0111799999999
53576,2012-01-07T19:24:00Z,17.5510,125.7070,0,,,,,,,,,0111799999999
53576,2012-01-07T21:00:00Z,17.5450,125.7250,0,-9.9,-2.8,-0.18,-0.05,313,15,0.054,0.021,0111711111111
53576,2012-01-07T21:03:00Z,17.5510,125.7070,0,,,,,,,,,0111799999999
53576,2012-01-07T21:06:00Z,17.5450,125.7260,0,,,,,,,,,0144799999999
53576,2012-01-07T21:54:00Z,17.5450,125.7260,0,,,,,,,,,0111799999999
53576,2012-01-07T22:00:00Z,17.5440,125.7310,0,,,,,,,,,0111799999999
53576,2012-01-07T22:40:00Z,17.5480,125.7270,0,,,,,,,,,0111799999999
53576,2012-01-07T23:36:00Z,17.5490,125.7260,0,,,,,,,,,0111799999999
53576,2012-01-07T23:39:00Z,17.5500,125.7210,0,,,,,,,,,0144799999999
53576,2012-01-08T00:00:00Z,17.5550,125.7180,0,-8.4,-2,-0.15,-0.04,313,15,-0.02,0.149,0111711111111
53576,2012-01-08T00:22:00Z,17.5500,125.7210,0,,,,,,,,,0111799999999
53576,2012-01-08T00:25:00Z,17.5550,125.7170,0,,,,,,,,,0144799999999
53576,2012-01-08T00:53:00Z,17.5550,125.7170,0,,,,,,,,,0111799999999
53576,2012-01-08T01:02:00Z,17.5620,125.7200,0,,,,,,,,,0144799999999
53576,2012-01-08T02:40:00Z,17.5620,125.7200,0,,,,,,,,,0111799999999
53576,2012-01-08T03:00:00Z,17.5740,125.7210,0,-8.3,-1.8,-0.11,-0.02,313,15,-0.02,0.165,0111711111111
53576,2012-01-08T03:33:00Z,17.5620,125.7200,0,,,,,,,,,0111799999999
53576,2012-01-08T04:10:00Z,17.5620,125.7200,0,,,,,,,,,0111799999999
53576,2012-01-08T05:08:00Z,17.5850,125.7210,0,,,,,,,,,0111799999999
53576,2012-01-08T05:45:00Z,17.5850,125.7210,0,,,,,,,,,0111799999999
53576,2012-01-08T05:54:00Z,17.5850,125.7210,0,,,,,,,,,0111799999999
