PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),QC
2900985,095349,2011-12-12T09:10:39Z,25.9130,125.7510,00111
2900985,095349,2011-12-12T09:43:03Z,25.9310,125.7690,00111
2900985,095349,2011-12-16T19:09:24Z,26.0320,125.8580,00111
2900985,095349,2011-12-16T19:53:54Z,26.0320,125.8660,00111
2900985,095349,2011-12-16T21:31:32Z,26.0430,125.8840,00111
2900985,095349,2011-12-16T22:12:17Z,26.0510,125.8910,00111
2900985,095349,2011-12-16T23:37:41Z,26.0600,125.9140,00111
2900985,095349,2011-12-16T23:49:47Z,26.0640,125.9100,00111
2900985,095349,2011-12-17T00:08:30Z,26.0680,125.9220,00111
2900985,095349,2011-12-17T01:19:38Z,26.0650,125.9330,00111
2900985,095349,2011-12-17T01:46:42Z,26.0830,125.9410,00111
2900985,095349,2011-12-17T03:56:10Z,26.0870,125.9600,00111
2900985,095349,2011-12-17T04:44:15Z,26.0990,125.9700,00111
2900985,095349,2011-12-17T05:37:49Z,26.1030,125.9700,00111
2900985,095349,2011-12-17T06:33:16Z,26.1120,125.9770,00111
2900985,095349,2011-12-17T07:06:32Z,26.1130,125.9810,00111
2900985,095349,2011-12-17T08:49:03Z,26.1320,126.0040,00111
2900985,095349,2011-12-21T19:33:27Z,26.2580,126.0480,00111
2900985,095349,2011-12-21T21:12:49Z,26.2700,126.0490,00111
2900985,095349,2011-12-21T21:53:08Z,26.2750,126.0490,00111
2900985,095349,2011-12-21T22:38:30Z,26.2770,126.0470,00111
2900985,095349,2011-12-21T23:32:56Z,26.2860,126.0570,00111
2900985,095349,2011-12-22T00:04:28Z,26.2940,126.0480,00111
2900985,095349,2011-12-22T00:18:35Z,26.2950,126.0460,00111
2900985,095349,2011-12-22T01:14:01Z,26.3110,126.0410,00111
2900985,095349,2011-12-22T01:44:07Z,26.3100,126.0430,00111
2900985,095349,2011-12-22T03:08:38Z,26.3200,126.0350,00111
2900985,095349,2011-12-22T05:31:21Z,26.3580,126.0260,00111
2900985,095349,2011-12-22T06:47:05Z,26.3760,126.0240,00111
2900985,095349,2011-12-22T08:22:51Z,26.3970,126.0450,00111
2900985,095349,2011-12-26T23:15:13Z,26.4730,126.1570,00111
2900985,095349,2011-12-26T23:18:06Z,26.4720,126.1580,00111
2900985,095349,2011-12-27T00:03:36Z,26.4770,126.1560,00111
2900985,095349,2011-12-27T00:52:25Z,26.4810,126.1580,00111
2900985,095349,2011-12-27T01:40:48Z,26.4880,126.1590,00111
2900985,095349,2011-12-27T03:51:42Z,26.5160,126.1600,00111
2900985,095349,2011-12-27T04:42:14Z,26.5270,126.1650,00111
2900985,095349,2011-12-27T06:18:17Z,26.5580,126.1800,00111
2900985,095349,2011-12-27T06:26:56Z,26.5610,126.1720,00111
2900985,095349,2011-12-27T08:07:18Z,26.5920,126.1980,00111
2900985,095349,2011-12-31T22:19:47Z,26.6880,126.2880,00111
2900985,095349,2011-12-31T23:56:50Z,26.7020,126.2970,00111
2900985,095349,2012-01-01T00:05:54Z,26.7020,126.2980,00111
2900985,095349,2012-01-01T00:37:00Z,26.7050,126.3020,00111
2900985,095349,2012-01-01T01:37:55Z,26.7190,126.3090,00111
2900985,095349,2012-01-01T03:03:19Z,26.7370,126.3280,00111
2900985,095349,2012-01-01T05:23:08Z,26.7590,126.3480,00111
2900985,095349,2012-01-01T07:10:16Z,26.7810,126.3810,00111
2900985,095349,2012-01-01T09:24:55Z,26.8220,126.4050,00111
2900985,095349,2012-01-01T09:37:35Z,26.8160,126.3980,00111
2900985,095349,2012-01-05T21:50:59Z,26.8250,126.4640,00111
2900985,095349,2012-01-05T22:38:56Z,26.8350,126.4700,00111
2900985,095349,2012-01-05T22:59:48Z,26.8380,126.4710,00111
2900985,095349,2012-01-05T23:52:39Z,26.8470,126.4850,00111
2900985,095349,2012-01-06T00:18:52Z,26.8550,126.4790,00111
2900985,095349,2012-01-06T00:38:53Z,26.8600,126.4840,00111
2900985,095349,2012-01-06T01:33:45Z,26.8740,126.4840,00111
2900985,095349,2012-01-06T03:46:48Z,26.8920,126.4930,00111
2900985,095349,2012-01-06T04:32:01Z,26.8990,126.5050,00111
2900985,095349,2012-01-06T05:36:14Z,26.9200,126.5080,00111
2900985,095349,2012-01-06T06:09:48Z,26.9330,126.5190,00111
2900985,095349,2012-01-06T07:21:39Z,26.9490,126.5260,00111
2900985,095349,2012-01-06T09:05:28Z,26.9660,126.5490,00111
2900985,095349,2012-01-10T21:27:30Z,27.0500,126.6050,00111
2900985,095349,2012-01-10T22:22:05Z,27.0590,126.5960,00111
2900985,095349,2012-01-10T23:40:25Z,27.0650,126.6070,00111
2900985,095349,2012-01-10T23:50:56Z,27.0620,126.6040,00111
2900985,095349,2012-01-11T00:01:44Z,27.0650,126.6100,00111
2900985,095349,2012-01-11T01:21:13Z,27.0550,126.6100,00133
2900985,095349,2012-01-11T01:31:00Z,27.0720,126.6150,00111
2900985,095349,2012-01-11T04:35:02Z,27.0930,126.6060,00111
2900985,095349,2012-01-11T05:16:22Z,27.1010,126.6070,00111
2900985,095349,2012-01-11T06:18:17Z,27.1090,126.5950,00111
2900985,095349,2012-01-11T07:01:47Z,27.1120,126.6020,00111
2900985,095349,2012-01-11T07:05:31Z,27.1100,126.5980,00111
2900985,095349,2012-01-11T08:42:09Z,27.1270,126.6140,00111
2900985,095349,2012-01-11T09:36:17Z,27.1410,126.6010,00111
2900985,095349,2012-01-15T22:03:13Z,27.3070,126.6870,00111
2900985,095349,2012-01-15T22:40:05Z,27.2970,126.6870,00111
2900985,095349,2012-01-15T23:43:00Z,27.3050,126.6950,00111
2900985,095349,2012-01-15T23:47:20Z,27.3020,126.6930,00111
2900985,095349,2012-01-16T00:21:19Z,27.3090,126.6990,00111
2900985,095349,2012-01-16T01:28:08Z,27.3110,126.7170,00111
2900985,095349,2012-01-16T03:46:13Z,27.3140,126.7240,00111
2900985,095349,2012-01-16T04:24:14Z,27.3130,126.7260,00111
2900985,095349,2012-01-16T05:24:26Z,27.3160,126.7230,00111
2900985,095349,2012-01-16T06:01:35Z,27.3210,126.7240,00111
2900985,095349,2012-01-16T06:44:04Z,27.3230,126.7200,00111
2900985,095349,2012-01-16T08:23:08Z,27.3410,126.7240,00111
2900985,095349,2012-01-16T09:18:35Z,27.3520,126.7220,00111
2900985,095349,2012-01-20T21:45:30Z,27.4880,126.7980,00111
2900985,095349,2012-01-20T23:21:59Z,27.5080,126.8090,00111
2900985,095349,2012-01-20T23:27:53Z,27.5110,126.8130,00111
2900985,095349,2012-01-20T23:43:35Z,27.5070,126.8170,00111
2900985,095349,2012-01-21T01:00:37Z,27.5440,126.8210,00133
2900985,095349,2012-01-21T01:03:56Z,27.5440,126.8210,00111
2900985,095349,2012-01-21T01:23:31Z,27.5490,126.8310,00111
2900985,095349,2012-01-21T04:32:53Z,27.6050,126.8690,00111
2900985,095349,2012-01-21T05:14:12Z,27.6150,126.8860,00111
2900985,095349,2012-01-21T06:16:25Z,27.6190,126.9010,00111
2900985,095349,2012-01-21T06:21:45Z,27.6230,126.9030,00111
2900985,095349,2012-01-21T06:48:58Z,27.6300,126.9160,00111
2900985,095349,2012-01-21T07:56:21Z,27.6440,126.9360,00111
2900985,095349,2012-01-25T22:20:47Z,27.7070,127.0170,00111
2900985,095349,2012-01-25T23:08:01Z,27.7100,127.0330,00111
2900985,095349,2012-01-25T23:41:00Z,27.7200,127.0330,00111
2900985,095349,2012-01-26T00:02:27Z,27.7170,127.0410,00111
2900985,095349,2012-01-26T01:20:56Z,27.7290,127.0570,00111
2900985,095349,2012-01-26T02:59:08Z,27.7490,127.0790,00111
2900985,095349,2012-01-26T03:42:29Z,27.7490,127.0830,00111
2900985,095349,2012-01-26T04:15:19Z,27.7540,127.0890,00111
2900985,095349,2012-01-26T05:19:24Z,27.7640,127.1050,00111
2900985,095349,2012-01-26T05:53:31Z,27.7700,127.1130,00111
2900985,095349,2012-01-26T06:00:17Z,27.7710,127.1080,00111
2900985,095349,2012-01-26T07:35:46Z,27.7880,127.1190,00111
2900985,095349,2012-01-26T09:19:35Z,27.8230,127.1530,00111
2900985,095349,2012-01-26T09:38:53Z,27.8210,127.1510,00111
2900985,095349,2012-01-30T22:50:36Z,27.8570,127.1490,00111
2900985,095349,2012-01-30T23:03:59Z,27.8650,127.1460,00111
2900985,095349,2012-01-30T23:37:15Z,27.8650,127.1540,00111
2900985,095349,2012-01-31T00:27:22Z,27.8670,127.1470,00111
2900985,095349,2012-01-31T00:41:11Z,27.8680,127.1520,00111
2900985,095349,2012-01-31T01:16:54Z,27.8760,127.1520,00111
2900985,095349,2012-01-31T02:49:03Z,27.8720,127.1480,00133
2900985,095349,2012-01-31T02:57:24Z,27.8830,127.1590,00111
2900985,095349,2012-01-31T04:25:24Z,27.9060,127.1570,00111
2900985,095349,2012-01-31T04:58:48Z,27.9120,127.1670,00111
2900985,095349,2012-01-31T06:16:08Z,27.9320,127.1780,00111
2900985,095349,2012-01-31T06:44:04Z,27.9350,127.1770,00111
2900985,095349,2012-01-31T07:21:22Z,27.9380,127.1700,00111
