PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
53606,2012-01-11T06:00:00Z,17.5080,128.1610,0,-8.1,-3.7,-0.12,-0.05,313,15,0.186,0.432,0111711111111
53606,2012-01-11T07:04:00Z,17.5080,128.1620,0,,,,,,,,,0144799999999
53606,2012-01-11T08:44:00Z,17.5080,128.1640,0,,,,,,,,,0111799999999
53606,2012-01-11T09:00:00Z,17.5470,128.1900,0,-7.6,-3.8,-0.12,-0.06,313,15,0.284,0.386,0111711111111
53606,2012-01-11T09:35:00Z,17.5360,128.1810,0,,,,,,,,,0111799999999
53606,2012-01-11T10:53:00Z,17.5360,128.1810,0,,,,,,,,,0111799999999
53606,2012-01-11T10:58:00Z,17.5570,128.1990,0,,,,,,,,,0144799999999
53606,2012-01-11T11:16:00Z,17.5630,128.2080,0,,,,,,,,,0111799999999
53606,2012-01-11T12:00:00Z,17.5830,128.2190,0,-8.9,-4.8,-0.14,-0.07,313,15,0.324,0.381,0111711111111
53606,2012-01-11T12:32:00Z,17.5630,128.2080,0,,,,,,,,,0111799999999
53606,2012-01-11T12:46:00Z,17.5630,128.2080,0,,,,,,,,,0111799999999
53606,2012-01-11T14:23:00Z,17.5830,128.2190,0,,,,,,,,,0111799999999
53606,2012-01-11T15:00:00Z,17.6210,128.2560,0,-9.5,-4,-0.18,-0.09,313,15,0.324,0.345,0111711111111
53606,2012-01-11T15:31:00Z,17.5830,128.2190,0,,,,,,,,,0111799999999
53606,2012-01-11T15:35:00Z,17.5830,128.2190,0,,,,,,,,,0111799999999
53606,2012-01-11T17:14:00Z,17.6430,128.2780,0,,,,,,,,,0111799999999
53606,2012-01-11T17:19:00Z,17.6430,128.2780,0,,,,,,,,,0111799999999
53606,2012-01-11T17:50:00Z,17.6430,128.2780,0,,,,,,,,,0111799999999
