PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2901399,103597,2011-12-08T23:52:18Z,25.9180,129.9950,5.4,24.733,34.701,5.8,24.733,34.701,00111111111,3965,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=-0.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:18:28,Primary sampling: discrete [],1,1
2901399,103597,2011-12-08T23:52:18Z,25.9180,129.9950,9.9,24.738,34.701,10.3,24.738,34.701,00111111111,3965,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=-0.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:18:28,Primary sampling: discrete [],1,1
2901399,103597,2011-12-08T23:52:18Z,25.9180,129.9950,14.7,24.739,34.701,15.1,24.739,34.701,00111111111,3965,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=-0.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:18:28,Primary sampling: discrete [],1,1
2901399,103597,2011-12-08T23:52:18Z,25.9180,129.9950,20.5,24.739,34.701,20.9,24.739,34.701,00111111111,3965,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=-0.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:18:28,Primary sampling: discrete [],1,1
2901399,103597,2011-12-08T23:52:18Z,25.9180,129.9950,25.2,24.738,34.7,25.6,24.738,34.7,00111111111,3965,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=-0.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:18:28,Primary sampling: discrete [],1,1
2901399,103597,2011-12-08T23:52:18Z,25.9180,129.9950,30.1,24.735,34.7,30.5,24.735,34.7,00111111111,3965,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=-0.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:18:28,Primary sampling: discrete [],1,1
2901399,103597,2011-12-08T23:52:18Z,25.9180,129.9950,35,24.735,34.699,35.4,24.735,34.699,00111111111,3965,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=-0.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:18:28,Primary sampling: discrete [],1,1
2901399,103597,2011-12-08T23:52:18Z,25.9180,129.9950,40.3,24.723,34.698,40.7,24.723,34.698,00111111111,3965,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=-0.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:18:28,Primary sampling: discrete [],1,1
2901399,103597,2011-12-08T23:52:18Z,25.9180,129.9950,45.2,24.717,34.697,45.6,24.717,34.697,00111111111,3965,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=-0.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:18:28,Primary sampling: discrete [],1,1
2901399,103597,2011-12-08T23:52:18Z,25.9180,129.9950,50.1,24.697,34.696,50.5,24.697,34.696,00111111111,3965,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=-0.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:18:28,Primary sampling: discrete [],1,1
2901399,103597,2011-12-08T23:52:18Z,25.9180,129.9950,55.1,24.564,34.686,55.5,24.564,34.686,00111111111,3965,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=-0.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,23/10/2018 16:18:28,Primary sampling: discrete [],1,1
