PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),VGTA LEVEL0 (second),QC
21641,2012-01-13T01:00:00Z,28.5210,126.5070,20.5,0,0.8,8,01111711
21641,2012-01-13T02:00:00Z,28.5200,126.4980,20.7,0,,,01111799
21641,2012-01-13T03:00:00Z,28.5190,126.4900,20.4,0,0.9,8,01111711
21641,2012-01-13T06:00:00Z,28.5100,126.5030,20.5,0,0.8,8,01111711
21641,2012-01-13T09:00:00Z,28.4750,126.5390,20.5,0,0.7,7,01111711
21641,2012-01-13T12:00:00Z,28.4430,126.5490,20.5,0,0.7,8,01111711
21641,2012-01-13T15:00:00Z,28.4320,126.5500,20.5,0,0.7,8,01111711
21641,2012-01-13T18:00:00Z,28.4180,126.5770,20.6,0,0.7,8,01111711
21641,2012-01-13T21:00:00Z,28.3910,126.6000,20.5,0,0.7,7,01111711
21641,2012-01-14T00:00:00Z,28.3790,126.5870,20.4,0,0.7,8,01111711
21641,2012-01-14T03:00:00Z,28.3840,126.5590,20.4,0,0.8,8,01111711
21641,2012-01-14T06:00:00Z,28.3950,126.5640,20.5,0,0.9,7,01111711
21641,2012-01-14T09:00:00Z,28.3710,126.5730,20.5,0,1.2,6,01111711
21641,2012-01-14T12:00:00Z,28.3430,126.5460,20.5,0,1.2,7,01111711
21641,2012-01-14T15:00:00Z,28.3390,126.4990,20.4,0,1.5,7,01111711
21641,2012-01-14T18:00:00Z,28.3380,126.4750,20.2,0,1.6,7,01111711
21641,2012-01-14T21:00:00Z,28.3270,126.4700,20.1,0,1.7,6,01111711
21641,2012-01-15T00:00:00Z,28.3170,126.4440,20.3,0,2,7,01111711
21641,2012-01-15T03:00:00Z,28.3120,126.3920,20.2,0,2.6,7,01111711
21641,2012-01-15T06:00:00Z,28.2940,126.3610,19.6,0,2.7,7,01111711
21641,2012-01-15T09:00:00Z,28.2530,126.3650,19.7,0,2.4,7,01111711
21641,2012-01-15T12:00:00Z,28.2120,126.3550,19.9,0,2.3,7,01111711
21641,2012-01-15T15:00:00Z,28.1880,126.3330,20.3,0,2.3,7,01111711
21641,2012-01-15T18:00:00Z,28.1770,126.3240,20.4,0,2.9,7,01111711
21641,2012-01-15T21:00:00Z,28.1600,126.3300,20.1,0,2.4,7,01111711
21641,2012-01-16T00:00:00Z,28.1660,126.3340,20.5,0,2.2,7,01111711
21641,2012-01-16T03:00:00Z,28.1850,126.3290,20.8,0,2.1,7,01111711
21641,2012-01-16T06:00:00Z,28.2210,126.3570,21.2,0,1.9,7,01111711
21641,2012-01-16T09:00:00Z,28.2160,126.4280,21.8,0,2.6,7,01111711
21641,2012-01-16T10:00:00Z,28.2070,126.4550,21.8,0,2.9,7,01111711
21641,2012-01-16T11:00:00Z,28.1970,126.4780,22,0,2.9,7,01111711
21641,2012-01-16T12:00:00Z,28.1890,126.4940,22,0,3,7,01111711
