Total Number of Records            256.
             DATA SET: http://ddo-aviso.vlandata.cls.fr:41080/thredds/dodsC/dataset-duacs-rep-global-merged-allsat-phy-l4
             DT merged all satellites Global Ocean Gridded SSALTO/DUACS Sea Surface Height L4 product and derived variables
             X: 0.5 to 256.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 01-JAN-1950 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: ADT is Absolute dynamic topography (m)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,ADT
"13-AUG-2018",25061,123.375,23.625,1.5775  
"13-AUG-2018",25061,123.625,23.625,1.5587  
"13-AUG-2018",25061,123.875,23.625,1.5356  
"13-AUG-2018",25061,124.125,23.625,1.5346  
"13-AUG-2018",25061,124.375,23.625,1.576  
"13-AUG-2018",25061,124.625,23.625,1.6318  
"13-AUG-2018",25061,124.875,23.625,1.659  
"13-AUG-2018",25061,121.125,23.875,-1.E+34  
"13-AUG-2018",25061,121.375,23.875,-1.E+34  
"13-AUG-2018",25061,121.625,23.875,1.1258  
"13-AUG-2018",25061,121.875,23.875,1.166  
"13-AUG-2018",25061,122.125,23.875,1.2791  
"13-AUG-2018",25061,122.375,23.875,1.4035  
"13-AUG-2018",25061,122.625,23.875,1.494  
"13-AUG-2018",25061,122.875,23.875,1.5422  
"13-AUG-2018",25061,123.125,23.875,1.558  
"13-AUG-2018",25061,123.375,23.875,1.562  
"13-AUG-2018",25061,123.625,23.875,1.5636  
"13-AUG-2018",25061,123.875,23.875,1.5591  
"13-AUG-2018",25061,124.125,23.875,1.5616  
"13-AUG-2018",25061,124.375,23.875,1.5869  
"13-AUG-2018",25061,124.625,23.875,1.6172  
"13-AUG-2018",25061,124.875,23.875,1.6272  
"13-AUG-2018",25061,121.125,24.125,-1.E+34  
"13-AUG-2018",25061,121.375,24.125,-1.E+34  
"13-AUG-2018",25061,121.625,24.125,1.065  
"13-AUG-2018",25061,121.875,24.125,1.0969  
