Total Number of Records            256.
             DATA SET: http://ddo-aviso.vlandata.cls.fr:41080/thredds/dodsC/dataset-duacs-rep-global-merged-allsat-phy-l4
             DT merged all satellites Global Ocean Gridded SSALTO/DUACS Sea Surface Height L4 product and derived variables
             X: 0.5 to 256.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 01-JAN-1950 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: SLA is Sea level anomaly (m)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,SLA
"15-JAN-2018",24851,121.125,22.125,-0.0928  
"15-JAN-2018",24851,121.375,22.125,-0.1502  
"15-JAN-2018",24851,121.625,22.125,-0.177  
"15-JAN-2018",24851,121.875,22.125,-0.1819  
"15-JAN-2018",24851,122.125,22.125,-0.1832  
"15-JAN-2018",24851,122.375,22.125,-0.2  
"15-JAN-2018",24851,122.625,22.125,-0.224  
"15-JAN-2018",24851,122.875,22.125,-0.2273  
"15-JAN-2018",24851,123.125,22.125,-0.2121  
"15-JAN-2018",24851,123.375,22.125,-0.2031  
"15-JAN-2018",24851,123.625,22.125,-0.2095  
"15-JAN-2018",24851,123.875,22.125,-0.2172  
"15-JAN-2018",24851,124.125,22.125,-0.2147  
"15-JAN-2018",24851,124.375,22.125,-0.1872  
"15-JAN-2018",24851,124.625,22.125,-0.1356  
"15-JAN-2018",24851,124.875,22.125,-0.0921  
"15-JAN-2018",24851,121.125,22.375,-0.0755  
"15-JAN-2018",24851,121.375,22.375,-0.1332  
"15-JAN-2018",24851,121.625,22.375,-0.1694  
"15-JAN-2018",24851,121.875,22.375,-0.1834  
"15-JAN-2018",24851,122.125,22.375,-0.193  
"15-JAN-2018",24851,122.375,22.375,-0.2096  
"15-JAN-2018",24851,122.625,22.375,-0.2245  
"15-JAN-2018",24851,122.875,22.375,-0.2254  
"15-JAN-2018",24851,123.125,22.375,-0.2121  
"15-JAN-2018",24851,123.375,22.375,-0.2004  
"15-JAN-2018",24851,123.625,22.375,-0.2038  
"15-JAN-2018",24851,123.875,22.375,-0.2105  
"15-JAN-2018",24851,124.125,22.375,-0.2016  
"15-JAN-2018",24851,124.375,22.375,-0.1589  
"15-JAN-2018",24851,124.625,22.375,-0.0941  
"15-JAN-2018",24851,124.875,22.375,-0.0476  
"15-JAN-2018",24851,121.125,22.625,-0.0474  
"15-JAN-2018",24851,121.375,22.625,-0.0947  
"15-JAN-2018",24851,121.625,22.625,-0.1358  
"15-JAN-2018",24851,121.875,22.625,-0.1628  
"15-JAN-2018",24851,122.125,22.625,-0.1841  
"15-JAN-2018",24851,122.375,22.625,-0.2005  
"15-JAN-2018",24851,122.625,22.625,-0.2093  
"15-JAN-2018",24851,122.875,22.625,-0.216  
"15-JAN-2018",24851,123.125,22.625,-0.2124  
"15-JAN-2018",24851,123.375,22.625,-0.1987  
"15-JAN-2018",24851,123.625,22.625,-0.1928  
"15-JAN-2018",24851,123.875,22.625,-0.1939  
"15-JAN-2018",24851,124.125,22.625,-0.1827  
"15-JAN-2018",24851,124.375,22.625,-0.1328  
"15-JAN-2018",24851,124.625,22.625,-0.0587  
"15-JAN-2018",24851,124.875,22.625,-0.0079  
"15-JAN-2018",24851,121.125,22.875,-0.0202  
"15-JAN-2018",24851,121.375,22.875,-0.0486  
"15-JAN-2018",24851,121.625,22.875,-0.0788  
"15-JAN-2018",24851,121.875,22.875,-0.1095  
"15-JAN-2018",24851,122.125,22.875,-0.1423  
"15-JAN-2018",24851,122.375,22.875,-0.1678  
"15-JAN-2018",24851,122.625,22.875,-0.1827  
"15-JAN-2018",24851,122.875,22.875,-0.1973  
"15-JAN-2018",24851,123.125,22.875,-0.2024  
"15-JAN-2018",24851,123.375,22.875,-0.1916  
"15-JAN-2018",24851,123.625,22.875,-0.1783  
"15-JAN-2018",24851,123.875,22.875,-0.1686  
"15-JAN-2018",24851,124.125,22.875,-0.1523  
"15-JAN-2018",24851,124.375,22.875,-0.1033  
"15-JAN-2018",24851,124.625,22.875,-0.03  
"15-JAN-2018",24851,124.875,22.875,0.023  
"15-JAN-2018",24851,121.125,23.125,-1.E+34  
"15-JAN-2018",24851,121.375,23.125,-0.008  
"15-JAN-2018",24851,121.625,23.125,-0.019  
"15-JAN-2018",24851,121.875,23.125,-0.0462  
"15-JAN-2018",24851,122.125,23.125,-0.089  
"15-JAN-2018",24851,122.375,23.125,-0.1275  
"15-JAN-2018",24851,122.625,23.125,-0.1513  
"15-JAN-2018",24851,122.875,23.125,-0.1666  
"15-JAN-2018",24851,123.125,23.125,-0.1726  
"15-JAN-2018",24851,123.375,23.125,-0.1682  
"15-JAN-2018",24851,123.625,23.125,-0.1559  
"15-JAN-2018",24851,123.875,23.125,-0.1379  
"15-JAN-2018",24851,124.125,23.125,-0.1146  
"15-JAN-2018",24851,124.375,23.125,-0.0678  
"15-JAN-2018",24851,124.625,23.125,-0.0016  
"15-JAN-2018",24851,124.875,23.125,0.0503  
"15-JAN-2018",24851,121.125,23.375,-1.E+34  
"15-JAN-2018",24851,121.375,23.375,0.0092  
"15-JAN-2018",24851,121.625,23.375,0.0168  
"15-JAN-2018",24851,121.875,23.375,-0.0038  
"15-JAN-2018",24851,122.125,23.375,-0.0506  
"15-JAN-2018",24851,122.375,23.375,-0.0949  
"15-JAN-2018",24851,122.625,23.375,-0.1193  
"15-JAN-2018",24851,122.875,23.375,-0.1293  
"15-JAN-2018",24851,123.125,23.375,-0.1331  
"15-JAN-2018",24851,123.375,23.375,-0.1353  
"15-JAN-2018",24851,123.625,23.375,-0.1286  
"15-JAN-2018",24851,123.875,23.375,-0.1058  
"15-JAN-2018",24851,124.125,23.375,-0.0718  
"15-JAN-2018",24851,124.375,23.375,-0.0212  
"15-JAN-2018",24851,124.625,23.375,0.0406  
"15-JAN-2018",24851,124.875,23.375,0.0912  
"15-JAN-2018",24851,121.125,23.625,-1.E+34  
"15-JAN-2018",24851,121.375,23.625,-1.E+34  
"15-JAN-2018",24851,121.625,23.625,0.025  
"15-JAN-2018",24851,121.875,23.625,0.0145  
"15-JAN-2018",24851,122.125,23.625,-0.0266  
"15-JAN-2018",24851,122.375,23.625,-0.0677  
"15-JAN-2018",24851,122.625,23.625,-0.0895  
"15-JAN-2018",24851,122.875,23.625,-0.0978  
"15-JAN-2018",24851,123.125,23.625,-0.1014  
"15-JAN-2018",24851,123.375,23.625,-0.1053  
"15-JAN-2018",24851,123.625,23.625,-0.1015  
