Total Number of Records            256.
             DATA SET: http://ddo-aviso.vlandata.cls.fr:41080/thredds/dodsC/dataset-duacs-rep-global-merged-allsat-phy-l4
             DT merged all satellites Global Ocean Gridded SSALTO/DUACS Sea Surface Height L4 product and derived variables
             X: 0.5 to 256.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 01-JAN-1950 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: SLA is Sea level anomaly (m)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,SLA
"13-AUG-2018",25061,123.375,23.625,0.244  
"13-AUG-2018",25061,123.625,23.625,0.2152  
"13-AUG-2018",25061,123.875,23.625,0.1887  
"13-AUG-2018",25061,124.125,23.625,0.188  
"13-AUG-2018",25061,124.375,23.625,0.2244  
"13-AUG-2018",25061,124.625,23.625,0.2733  
"13-AUG-2018",25061,124.875,23.625,0.296  
"13-AUG-2018",25061,121.125,23.875,-1.E+34  
"13-AUG-2018",25061,121.375,23.875,-1.E+34  
"13-AUG-2018",25061,121.625,23.875,0.1829  
"13-AUG-2018",25061,121.875,23.875,0.2084  
"13-AUG-2018",25061,122.125,23.875,0.2393  
"13-AUG-2018",25061,122.375,23.875,0.2699  
"13-AUG-2018",25061,122.625,23.875,0.2879  
"13-AUG-2018",25061,122.875,23.875,0.2831  
"13-AUG-2018",25061,123.125,23.875,0.2659  
"13-AUG-2018",25061,123.375,23.875,0.2529  
"13-AUG-2018",25061,123.625,23.875,0.2414  
"13-AUG-2018",25061,123.875,23.875,0.2279  
"13-AUG-2018",25061,124.125,23.875,0.2254  
"13-AUG-2018",25061,124.375,23.875,0.243  
"13-AUG-2018",25061,124.625,23.875,0.267  
"13-AUG-2018",25061,124.875,23.875,0.2737  
"13-AUG-2018",25061,121.125,24.125,-1.E+34  
"13-AUG-2018",25061,121.375,24.125,-1.E+34  
"13-AUG-2018",25061,121.625,24.125,0.1569  
"13-AUG-2018",25061,121.875,24.125,0.1715  
"13-AUG-2018",25061,122.125,24.125,0.1961  
"13-AUG-2018",25061,122.375,24.125,0.2247  
"13-AUG-2018",25061,122.625,24.125,0.2435  
"13-AUG-2018",25061,122.875,24.125,0.242  
"13-AUG-2018",25061,123.125,24.125,0.2301  
"13-AUG-2018",25061,123.375,24.125,0.2254  
"13-AUG-2018",25061,123.625,24.125,0.2285  
"13-AUG-2018",25061,123.875,24.125,0.2287  
"13-AUG-2018",25061,124.125,24.125,0.2244  
"13-AUG-2018",25061,124.375,24.125,0.2241  
"13-AUG-2018",25061,124.625,24.125,0.2287  
"13-AUG-2018",25061,124.875,24.125,0.2288  
"13-AUG-2018",25061,121.125,24.375,-1.E+34  
"13-AUG-2018",25061,121.375,24.375,-1.E+34  
"13-AUG-2018",25061,121.625,24.375,-1.E+34  
"13-AUG-2018",25061,121.875,24.375,0.1421  
"13-AUG-2018",25061,122.125,24.375,0.148  
"13-AUG-2018",25061,122.375,24.375,0.1598  
"13-AUG-2018",25061,122.625,24.375,0.1704  
"13-AUG-2018",25061,122.875,24.375,0.1757  
"13-AUG-2018",25061,123.125,24.375,0.1822  
"13-AUG-2018",25061,123.375,24.375,0.1977  
"13-AUG-2018",25061,123.625,24.375,0.2165  
"13-AUG-2018",25061,123.875,24.375,0.2242  
"13-AUG-2018",25061,124.125,24.375,0.2183  
"13-AUG-2018",25061,124.375,24.375,0.2108  
"13-AUG-2018",25061,124.625,24.375,0.2084  
"13-AUG-2018",25061,124.875,24.375,0.2056  
"13-AUG-2018",25061,121.125,24.625,-1.E+34  
"13-AUG-2018",25061,121.375,24.625,-1.E+34  
"13-AUG-2018",25061,121.625,24.625,-1.E+34  
"13-AUG-2018",25061,121.875,24.625,0.1427  
"13-AUG-2018",25061,122.125,24.625,0.1271  
"13-AUG-2018",25061,122.375,24.625,0.1072  
"13-AUG-2018",25061,122.625,24.625,0.0929  
"13-AUG-2018",25061,122.875,24.625,0.0998  
"13-AUG-2018",25061,123.125,24.625,0.1311  
"13-AUG-2018",25061,123.375,24.625,0.1757  
"13-AUG-2018",25061,123.625,24.625,0.214  
"13-AUG-2018",25061,123.875,24.625,0.23  
"13-AUG-2018",25061,124.125,24.625,0.2271  
"13-AUG-2018",25061,124.375,24.625,0.2209  
"13-AUG-2018",25061,124.625,24.625,0.2181  
"13-AUG-2018",25061,124.875,24.625,0.2131  
"13-AUG-2018",25061,121.125,24.875,-1.E+34  
"13-AUG-2018",25061,121.375,24.875,-1.E+34  
"13-AUG-2018",25061,121.625,24.875,-1.E+34  
"13-AUG-2018",25061,121.875,24.875,0.1697  
"13-AUG-2018",25061,122.125,24.875,0.1414  
"13-AUG-2018",25061,122.375,24.875,0.0924  
"13-AUG-2018",25061,122.625,24.875,0.0462  
"13-AUG-2018",25061,122.875,24.875,0.0391  
"13-AUG-2018",25061,123.125,24.875,0.0774  
"13-AUG-2018",25061,123.375,24.875,0.1388  
"13-AUG-2018",25061,123.625,24.875,0.1947  
"13-AUG-2018",25061,123.875,24.875,0.2239  
"13-AUG-2018",25061,124.125,24.875,0.2287  
"13-AUG-2018",25061,124.375,24.875,0.228  
"13-AUG-2018",25061,124.625,24.875,0.2301  
"13-AUG-2018",25061,124.875,24.875,0.2275  
"13-AUG-2018",25061,121.125,25.125,0.1848  
"13-AUG-2018",25061,121.375,25.125,0.1909  
"13-AUG-2018",25061,121.625,25.125,0.2034  
"13-AUG-2018",25061,121.875,25.125,0.2025  
"13-AUG-2018",25061,122.125,25.125,0.1737  
"13-AUG-2018",25061,122.375,25.125,0.1125  
"13-AUG-2018",25061,122.625,25.125,0.0415  
