PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMP LEVEL0 (hectopascal),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),VGTA LEVEL0 (second),QC
21596,2016-03-12T01:00:00Z,40.9010,142.9660,8.5,1023.8,1023.8,0,1.1,7,0111111711
21596,2016-03-12T02:00:00Z,40.8830,142.9630,8.6,1024,1024,0,,,0111111799
21596,2016-03-12T03:00:00Z,40.8630,142.9610,8.6,1024,1024,0,1.1,8,0111111711
21596,2016-03-12T04:00:00Z,40.8440,142.9620,8.5,1023.8,1023.8,0,1.2,8,0111111711
21596,2016-03-12T05:00:00Z,40.8230,142.9620,8.3,1023.7,1023.7,0,1.1,7,0111111711
21596,2016-03-12T06:00:00Z,40.8010,142.9620,2.1,1023.8,1023.8,0,1.1,8,0111111711
21596,2016-03-12T07:00:00Z,40.7780,142.9600,1.8,1024,1024,0,1.1,8,0111111711
21596,2016-03-12T08:00:00Z,40.7560,142.9580,1.6,1024.3,1024.3,0,1,8,0111111711
21596,2016-03-12T09:00:00Z,40.7340,142.9570,2.2,1024.8,1024.8,0,0.9,8,0111111711
21596,2016-03-12T10:00:00Z,40.7140,142.9640,8.3,1025.4,1025.4,0,1,8,0111111711
21596,2016-03-12T11:00:00Z,40.6940,142.9720,8.3,1025.9,1025.9,0,0.9,9,0111111711
21596,2016-03-12T12:00:00Z,40.6770,142.9820,8.2,1026.2,1026.2,0,0.9,9,0111111711
21596,2016-03-12T13:00:00Z,40.6670,142.9980,8.2,1026.9,1026.9,0,1,9,0111111711
21596,2016-03-12T14:00:00Z,40.6580,143.0130,3.9,1026.8,1026.8,0,0.9,9,0111111711
21596,2016-03-12T15:00:00Z,40.6510,143.0220,4.8,1026.8,1026.8,0,0.8,9,0111111711
21596,2016-03-12T16:00:00Z,40.6440,143.0370,7.4,1026.8,1026.8,0,0.9,8,0111111711
21596,2016-03-12T17:00:00Z,40.6350,143.0500,7.3,1026.9,1026.9,0,0.8,9,0111111711
21596,2016-03-12T18:00:00Z,40.6260,143.0620,7.2,1026.5,1026.5,0,0.8,9,0111111711
21596,2016-03-12T19:00:00Z,40.6150,143.0670,6.9,1026.6,1026.6,0,0.8,9,0111111711
21596,2016-03-12T20:00:00Z,40.6040,143.0730,6.6,1027.1,1027.1,0,0.9,9,0111111711
21596,2016-03-12T21:00:00Z,40.5940,143.0810,4.3,1026.9,1026.9,0,0.8,9,0111111711
21596,2016-03-12T22:00:00Z,40.5840,143.0890,3.1,1027.2,1027.2,0,0.9,9,0111111711
21596,2016-03-12T23:00:00Z,40.5770,143.0970,3.2,1027.3,1027.3,0,0.9,9,0111111711
21596,2016-03-13T00:00:00Z,40.5710,143.1030,3.7,1027.3,1027.3,0,0.9,9,0111111711
21596,2016-03-13T01:00:00Z,40.5670,143.1100,4.8,1026.9,1026.9,0,0.9,9,0111111711
21596,2016-03-13T02:00:00Z,40.5640,143.1180,5.4,1026.6,1026.6,0,0.8,9,0111111711
21596,2016-03-13T03:00:00Z,40.5620,143.1270,5.1,1025.6,1025.6,0,0.7,9,0111111711
21596,2016-03-13T04:00:00Z,40.5630,143.1400,5.2,1024.7,1024.7,0,0.8,9,0111111711
21596,2016-03-13T05:00:00Z,40.5660,143.1540,5.2,1024.6,1024.6,0,0.8,9,0111111711
21596,2016-03-13T06:00:00Z,40.5720,143.1560,1.2,1024.3,1024.3,0,0.8,9,0111111711
