PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
5200620,127422,2015-11-01T01:00:00Z,29.3265,132.0571,25.75,0,0011117
5200620,127422,2015-11-01T02:00:00Z,29.3342,132.0513,25.75,0,0011117
5200620,127422,2015-11-01T03:00:00Z,29.3233,132.0488,25.8,0,0011117
5200620,127422,2015-11-01T04:00:00Z,29.3233,132.0488,25.8,0,0011117
5200620,127422,2015-11-01T05:00:00Z,29.3233,132.0488,25.8,0,0011117
5200620,127422,2015-11-01T06:00:00Z,29.3316,132.0922,25.8,0,0011117
5200620,127422,2015-11-01T07:00:00Z,29.3316,132.0922,25.8,0,0011117
5200620,127422,2015-11-01T08:00:00Z,29.3300,132.0382,25.75,0,0011117
5200620,127422,2015-11-01T09:00:00Z,29.3361,132.0530,25.75,0,0011117
5200620,127422,2015-11-01T10:00:00Z,29.3456,132.0495,25.7,0,0011117
5200620,127422,2015-11-01T12:00:00Z,29.3600,132.0397,25.7,0,0011117
5200620,127422,2015-11-01T13:00:00Z,29.3653,132.0377,25.65,0,0011117
5200620,127422,2015-11-01T14:00:00Z,29.3743,132.0399,25.65,0,0011117
5200620,127422,2015-11-01T15:00:00Z,29.3743,132.0399,25.65,0,0011117
5200620,127422,2015-11-01T16:00:00Z,29.4098,132.0780,25.65,0,0011117
5200620,127422,2015-11-01T18:00:00Z,29.4097,132.0778,25.65,0,0011117
5200620,127422,2015-11-01T19:00:00Z,29.4163,132.1025,25.65,0,0011117
5200620,127422,2015-11-01T20:00:00Z,29.4163,132.1025,25.65,0,0011117
5200620,127422,2015-11-01T22:00:00Z,29.4100,132.1214,25.6,0,0011117
5200620,127422,2015-11-01T23:00:00Z,29.4100,132.1214,25.6,0,0011117
5200620,127422,2015-11-02T00:00:00Z,29.4100,132.1214,25.6,0,0011117
5200620,127422,2015-11-02T01:00:00Z,29.4044,132.1459,25.65,0,0011117
5200620,127422,2015-11-02T02:00:00Z,29.4054,132.1442,25.6,0,0011117
5200620,127422,2015-11-02T03:00:00Z,29.4054,132.1442,25.6,0,0011117
5200620,127422,2015-11-02T04:00:00Z,29.4054,132.1442,25.6,0,0011117
5200620,127422,2015-11-02T05:00:00Z,29.4054,132.1442,25.6,0,0011117
5200620,127422,2015-11-02T06:00:00Z,29.4053,132.1652,25.6,0,0011117
5200620,127422,2015-11-02T07:00:00Z,29.4053,132.1652,25.6,0,0011117
5200620,127422,2015-11-02T08:00:00Z,29.4120,132.1831,25.6,0,0011117
5200620,127422,2015-11-02T09:00:00Z,29.4200,132.1957,25.65,0,0011117
5200620,127422,2015-11-02T11:00:00Z,29.4231,132.1939,25.6,0,0011117
5200620,127422,2015-11-02T12:00:00Z,29.4205,132.1961,25.6,0,0011117
5200620,127422,2015-11-02T13:00:00Z,29.4421,132.1944,25.6,0,0011117
5200620,127422,2015-11-02T14:00:00Z,29.4421,132.1944,25.6,0,0011117
5200620,127422,2015-11-02T15:00:00Z,29.4421,132.1944,25.6,0,0011117
