PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5200811,127025,2015-11-07T07:00:00Z,21.7036,141.5854,0,001117
5200811,127025,2015-11-07T08:00:00Z,21.7132,141.6222,0,001117
5200811,127025,2015-11-07T09:00:00Z,21.7122,141.5677,0,001447
5200811,127025,2015-11-07T11:00:00Z,21.7110,141.5728,0,001117
5200811,127025,2015-11-07T12:00:00Z,21.7106,141.5735,0,001117
5200811,127025,2015-11-07T13:00:00Z,21.7075,141.5638,0,001117
5200811,127025,2015-11-07T14:00:00Z,21.7075,141.5638,0,001117
5200811,127025,2015-11-07T15:00:00Z,21.6645,141.4752,0,001447
5200811,127025,2015-11-07T16:00:00Z,21.6645,141.4752,0,001117
5200811,127025,2015-11-07T17:00:00Z,21.6641,141.4754,0,001117
5200811,127025,2015-11-07T18:00:00Z,21.6384,141.4505,0,001117
5200811,127025,2015-11-07T19:00:00Z,21.6384,141.4505,0,001117
5200811,127025,2015-11-07T20:00:00Z,21.6136,141.4125,0,001117
5200811,127025,2015-11-07T21:00:00Z,21.6097,141.3868,0,001117
5200811,127025,2015-11-07T22:00:00Z,21.6097,141.3868,0,001117
5200811,127025,2015-11-08T00:00:00Z,21.5912,141.3424,0,001117
5200811,127025,2015-11-08T01:00:00Z,21.5912,141.3424,0,001117
5200811,127025,2015-11-08T02:00:00Z,21.6073,141.3250,0,001117
5200811,127025,2015-11-08T03:00:00Z,21.5796,141.3173,0,001117
5200811,127025,2015-11-08T04:00:00Z,21.5789,141.3171,0,001117
5200811,127025,2015-11-08T05:00:00Z,21.5718,141.3074,0,001117
5200811,127025,2015-11-08T06:00:00Z,21.5718,141.3074,0,001117
5200811,127025,2015-11-08T07:00:00Z,21.5718,141.3074,0,001117
5200811,127025,2015-11-08T08:00:00Z,21.5465,141.2718,0,001117
5200811,127025,2015-11-08T09:00:00Z,21.5465,141.2718,0,001117
5200811,127025,2015-11-08T10:00:00Z,21.5504,141.2719,0,001117
5200811,127025,2015-11-08T11:00:00Z,21.5443,141.2638,0,001117
5200811,127025,2015-11-08T12:00:00Z,21.5478,141.2750,0,001117
5200811,127025,2015-11-08T13:00:00Z,21.5363,141.2444,0,001117
5200811,127025,2015-11-08T14:00:00Z,21.5363,141.2444,0,001117
5200811,127025,2015-11-08T15:00:00Z,21.5252,141.2185,0,001117
5200811,127025,2015-11-08T16:00:00Z,21.5252,141.2185,0,001117
5200811,127025,2015-11-08T17:00:00Z,21.5248,141.2184,0,001117
5200811,127025,2015-11-08T18:00:00Z,21.5132,141.2134,0,001117
5200811,127025,2015-11-08T19:00:00Z,21.5132,141.2134,0,001117
5200811,127025,2015-11-08T20:00:00Z,21.5004,141.2091,0,001117
5200811,127025,2015-11-08T21:00:00Z,21.4992,141.1842,0,001117
5200811,127025,2015-11-08T22:00:00Z,21.4992,141.1842,0,001117
5200811,127025,2015-11-08T23:00:00Z,21.5143,141.1785,0,001117
5200811,127025,2015-11-09T00:00:00Z,21.5143,141.1785,0,001117
5200811,127025,2015-11-09T02:00:00Z,21.5022,141.1193,0,001117
5200811,127025,2015-11-09T03:00:00Z,21.5022,141.1193,0,001117
5200811,127025,2015-11-09T04:00:00Z,21.5022,141.1193,0,001117
5200811,127025,2015-11-09T05:00:00Z,21.5197,141.1022,0,001117
5200811,127025,2015-11-09T06:00:00Z,21.5202,141.1016,0,001117
5200811,127025,2015-11-09T07:00:00Z,21.5227,141.0891,0,001117
5200811,127025,2015-11-09T08:00:00Z,21.5257,141.0945,0,001117
5200811,127025,2015-11-09T09:00:00Z,21.5252,141.0759,0,001117
5200811,127025,2015-11-09T10:00:00Z,21.5252,141.0759,0,001117
5200811,127025,2015-11-09T11:00:00Z,21.5256,141.0708,0,001117
5200811,127025,2015-11-09T12:00:00Z,21.5244,141.0694,0,001117
