PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),VGTA LEVEL0 (second),QC
21637,2015-11-01T00:00:00Z,33.8420,144.8130,23.3,0,2.7,8,01111711
21637,2015-11-01T01:00:00Z,33.8220,144.8010,23.3,0,2.6,8,01111711
21637,2015-11-01T02:00:00Z,33.8010,144.7900,23.4,0,2.4,9,01111711
21637,2015-11-01T03:00:00Z,33.7800,144.7810,23.4,0,2.4,9,01111711
21637,2015-11-01T04:00:00Z,33.7590,144.7710,23.4,0,2.2,9,01111711
21637,2015-11-01T05:00:00Z,33.7410,144.7550,23.3,0,1.9,9,01111711
21637,2015-11-01T06:00:00Z,33.7250,144.7380,23.3,0,2,10,01111711
21637,2015-11-01T07:00:00Z,33.7120,144.7200,23.2,0,1.9,11,01111711
21637,2015-11-01T08:00:00Z,33.7040,144.7020,23.1,0,1.8,10,01111711
21637,2015-11-01T09:00:00Z,33.6990,144.6850,23.1,0,2,10,01111711
21637,2015-11-01T10:00:00Z,33.6970,144.6720,23.1,0,1.8,10,01111711
21637,2015-11-01T11:00:00Z,33.6950,144.6630,23.1,0,1.8,10,01111711
21637,2015-11-01T12:00:00Z,33.6950,144.6540,23.1,0,1.9,10,01111711
21637,2015-11-01T15:00:00Z,33.6920,144.6340,23.1,0,1.6,10,01111711
21637,2015-11-01T18:00:00Z,33.6900,144.6180,23,0,1.7,9,01111711
21637,2015-11-01T21:00:00Z,33.6790,144.5940,23.1,0,1.9,8,01111711
21637,2015-11-02T00:00:00Z,33.6650,144.5620,23.2,0,2.3,7,01111711
21637,2015-11-02T01:00:00Z,33.6630,144.5490,23.2,0,2.7,7,01111711
21637,2015-11-02T02:00:00Z,33.6640,144.5370,23.2,0,3,7,01111711
21637,2015-11-02T03:00:00Z,33.6680,144.5240,23.2,0,2.7,7,01111711
21637,2015-11-02T04:00:00Z,33.6740,144.5170,23.3,0,3,7,01111711
21637,2015-11-02T05:00:00Z,33.6830,144.5120,23.3,0,2.8,7,01111711
21637,2015-11-02T06:00:00Z,33.6880,144.5090,23.3,0,3.1,7,01111711
21637,2015-11-02T07:00:00Z,33.6950,144.5060,23.3,0,2.6,7,01111711
21637,2015-11-02T08:00:00Z,33.7030,144.5050,23.3,0,2.6,7,01111711
21637,2015-11-02T09:00:00Z,33.7110,144.5060,23.3,0,2.6,7,01111711
21637,2015-11-02T10:00:00Z,33.7160,144.5090,23.3,0,2.6,7,01111711
21637,2015-11-02T11:00:00Z,33.7210,144.5170,23.3,0,2.6,7,01111711
21637,2015-11-02T12:00:00Z,33.7240,144.5260,23.3,0,2.3,7,01111711
21637,2015-11-02T13:00:00Z,33.7260,144.5350,23.3,0,2.2,7,01111711
21637,2015-11-02T14:00:00Z,33.7280,144.5510,23.3,0,2.7,7,01111711
21637,2015-11-02T15:00:00Z,33.7220,144.5700,23.3,0,2.6,7,01111711
21637,2015-11-02T16:00:00Z,33.7100,144.5910,23.2,0,2.3,7,01111711
21637,2015-11-02T17:00:00Z,33.6980,144.6120,23.2,0,2.3,6,01111711
21637,2015-11-02T18:00:00Z,33.6830,144.6290,23.2,0,2.3,6,01111711
21637,2015-11-02T19:00:00Z,33.6690,144.6410,23.2,0,2,7,01111711
21637,2015-11-02T20:00:00Z,33.6550,144.6520,23.2,0,2.3,7,01111711
21637,2015-11-02T21:00:00Z,33.6390,144.6580,23.2,0,2.2,7,01111711
21637,2015-11-02T22:00:00Z,33.6250,144.6590,23.2,0,2.2,6,01111711
21637,2015-11-02T23:00:00Z,33.6110,144.6590,23.1,0,2.2,7,01111711
21637,2015-11-03T00:00:00Z,33.6000,144.6580,23.1,0,1.9,7,01111711
21637,2015-11-03T03:00:00Z,33.5880,144.6450,23.1,0,2.3,7,01111711
21637,2015-11-03T04:00:00Z,33.5900,144.6470,23.1,0,2.3,7,01111711
21637,2015-11-03T05:00:00Z,33.5910,144.6540,23.1,0,2.1,7,01111711
21637,2015-11-03T06:00:00Z,33.5920,144.6630,23.1,0,2.1,7,01111711
21637,2015-11-03T07:00:00Z,33.5940,144.6730,23.1,0,2,6,01111711
21637,2015-11-03T08:00:00Z,33.5920,144.6870,23.1,0,2,7,01111711
21637,2015-11-03T09:00:00Z,33.5870,144.7020,23,0,2.1,7,01111711
21637,2015-11-03T10:00:00Z,33.5750,144.7170,23,0,2,7,01111711
21637,2015-11-03T11:00:00Z,33.5550,144.7260,23,0,2.2,7,01111711
21637,2015-11-03T12:00:00Z,33.5330,144.7260,23,0,2.3,7,01111711
21637,2015-11-03T13:00:00Z,33.5130,144.7200,23.1,0,2.2,7,01111711
21637,2015-11-03T14:00:00Z,33.4960,144.7080,23,0,2.2,7,01111711
21637,2015-11-03T15:00:00Z,33.4800,144.6920,23,0,2.5,7,01111711
21637,2015-11-03T16:00:00Z,33.4660,144.6750,23,0,2.3,7,01111711
21637,2015-11-03T17:00:00Z,33.4550,144.6570,22.9,0,2.2,7,01111711
21637,2015-11-03T18:00:00Z,33.4470,144.6390,23,0,2.2,7,01111711
21637,2015-11-03T19:00:00Z,33.4380,144.6190,23,0,2.2,7,01111711
21637,2015-11-03T20:00:00Z,33.4280,144.6010,22.9,0,2.3,8,01111711
21637,2015-11-03T21:00:00Z,33.4180,144.5880,22.9,0,2,7,01111711
21637,2015-11-03T22:00:00Z,33.4070,144.5750,22.9,0,2.1,7,01111711
21637,2015-11-03T23:00:00Z,33.3980,144.5600,22.9,0,1.8,7,01111711
21637,2015-11-04T00:00:00Z,33.3900,144.5460,22.9,0,1.9,7,01111711
21637,2015-11-04T03:00:00Z,33.3770,144.5080,23,0,1.7,7,01111711
21637,2015-11-04T06:00:00Z,33.3640,144.4720,22.9,0,1.7,7,01111711
21637,2015-11-04T09:00:00Z,33.3580,144.4540,22.8,0,1.8,7,01111711
21637,2015-11-04T12:00:00Z,33.3300,144.4500,22.9,0,1.4,7,01111711
21637,2015-11-04T15:00:00Z,33.2860,144.4230,23,0,1.5,7,01111711
21637,2015-11-04T18:00:00Z,33.2570,144.3660,23,0,1.5,7,01111711
21637,2015-11-04T21:00:00Z,33.2510,144.3150,23,0,1.6,7,01111711
21637,2015-11-05T00:00:00Z,33.2390,144.2780,23,0,1.5,7,01111711
21637,2015-11-05T03:00:00Z,33.2240,144.2340,23.1,0,1.4,7,01111711
21637,2015-11-05T06:00:00Z,33.2210,144.1870,23,0,1.8,7,01111711
21637,2015-11-05T09:00:00Z,33.2170,144.1390,23,0,1.9,7,01111711
21637,2015-11-05T12:00:00Z,33.2110,144.0870,22.9,0,1.9,7,01111711
21637,2015-11-05T15:00:00Z,33.2030,144.0390,22.9,0,1.8,7,01111711
21637,2015-11-05T18:00:00Z,33.1900,144.0030,22.9,0,1.5,7,01111711
21637,2015-11-05T21:00:00Z,33.1730,143.9660,22.9,0,1.5,8,01111711
21637,2015-11-06T00:00:00Z,33.1620,143.9270,23,0,1.3,8,01111711
21637,2015-11-06T03:00:00Z,33.1450,143.8950,23.1,0,1.3,8,01111711
21637,2015-11-06T06:00:00Z,33.1250,143.8560,23.1,0,1.2,7,01111711
21637,2015-11-06T09:00:00Z,33.1060,143.8140,22.9,0,1.4,7,01111711
21637,2015-11-06T12:00:00Z,33.0770,143.7750,22.9,0,1.4,7,01111711
21637,2015-11-06T15:00:00Z,33.0430,143.7270,22.9,0,1.5,8,01111711
21637,2015-11-06T18:00:00Z,33.0300,143.6820,22.9,0,1.6,8,01111711
21637,2015-11-06T21:00:00Z,33.0250,143.6560,23,0,1.7,8,01111711
21637,2015-11-07T00:00:00Z,33.0120,143.6340,23.2,0,1.5,8,01111711
21637,2015-11-07T03:00:00Z,33.0000,143.5860,23.3,0,1.4,8,01111711
21637,2015-11-07T06:00:00Z,33.0010,143.5420,23.3,0,1.4,8,01111711
21637,2015-11-07T09:00:00Z,33.0050,143.4990,23.3,0,1.9,8,01111711
21637,2015-11-07T12:00:00Z,33.0050,143.4590,23.2,0,1.9,8,01111711
21637,2015-11-07T15:00:00Z,33.0080,143.4090,23.2,0,1.8,7,01111711
21637,2015-11-07T18:00:00Z,33.0150,143.3590,23.1,0,1.5,8,01111711
21637,2015-11-07T21:00:00Z,33.0290,143.3150,23.1,0,1.5,8,01111711
21637,2015-11-08T00:00:00Z,33.0620,143.2690,23.1,0,1.5,9,01111711
21637,2015-11-08T03:00:00Z,33.0950,143.2440,23.1,0,1.9,8,01111711
21637,2015-11-08T06:00:00Z,33.1140,143.2190,23.1,0,1.9,8,01111711
21637,2015-11-08T09:00:00Z,33.1340,143.1800,23,0,1.7,8,01111711
21637,2015-11-08T12:00:00Z,33.1680,143.1470,22.9,0,1.6,9,01111711
21637,2015-11-08T15:00:00Z,33.2090,143.1170,22.9,0,1.5,9,01111711
21637,2015-11-08T18:00:00Z,33.2390,143.0950,22.9,0,1.5,9,01111711
21637,2015-11-08T21:00:00Z,33.2660,143.0790,23,0,1.5,8,01111711
21637,2015-11-09T00:00:00Z,33.2900,143.0700,23.1,0,1.6,8,01111711
21637,2015-11-09T03:00:00Z,33.3110,143.0570,23.2,0,1.7,8,01111711
21637,2015-11-09T06:00:00Z,33.3200,143.0410,23.2,0,1.7,7,01111711
21637,2015-11-09T09:00:00Z,33.3370,143.0160,23.2,0,1.8,7,01111711
21637,2015-11-09T12:00:00Z,33.3680,143.0090,23.2,0,1.9,7,01111711
21637,2015-11-09T15:00:00Z,33.4030,143.0160,23.2,0,2.1,7,01111711
21637,2015-11-09T16:00:00Z,33.4160,143.0210,23.2,0,2.1,7,01111711
21637,2015-11-09T17:00:00Z,33.4260,143.0280,23.1,0,2.2,7,01111711
21637,2015-11-09T18:00:00Z,33.4310,143.0410,23.2,0,2.1,8,01111711
21637,2015-11-09T19:00:00Z,33.4370,143.0540,23.1,0,2.1,7,01111711
21637,2015-11-09T20:00:00Z,33.4420,143.0650,23.2,0,2.5,7,01111711
21637,2015-11-09T21:00:00Z,33.4470,143.0780,23.1,0,2.2,7,01111711
21637,2015-11-09T22:00:00Z,33.4510,143.0940,23.1,0,2.4,8,01111711
21637,2015-11-09T23:00:00Z,33.4460,143.1100,23,0,2.2,7,01111711
21637,2015-11-10T00:00:00Z,33.4410,143.1230,23.1,0,1.8,7,01111711
21637,2015-11-10T03:00:00Z,33.4350,143.1380,23.1,0,1.8,7,01111711
21637,2015-11-10T06:00:00Z,33.4270,143.1480,22.9,0,2,7,01111711
21637,2015-11-10T07:00:00Z,33.4240,143.1530,22.9,0,1.9,8,01111711
21637,2015-11-10T08:00:00Z,33.4220,143.1550,22.8,0,1.8,7,01111711
21637,2015-11-10T09:00:00Z,33.4250,143.1540,22.8,0,2.1,7,01111711
