PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMP LEVEL0 (hectopascal),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),VGTA LEVEL0 (second),QC
21598,2016-03-22T01:00:00Z,29.8140,138.9920,19.8,1018,1018,0,2.7,9,0111111711
21598,2016-03-22T02:00:00Z,29.8230,138.9930,19.8,1017.9,1017.9,0,2.6,8,0111111711
21598,2016-03-22T03:00:00Z,29.8320,138.9910,19.9,1017.7,1017.7,0,2.3,8,0111111711
21598,2016-03-22T04:00:00Z,29.8430,138.9900,20,1017,1017,0,2.5,8,0111111711
21598,2016-03-22T05:00:00Z,29.8540,138.9880,20.1,1016.6,1016.6,0,2.4,9,0111111711
21598,2016-03-22T06:00:00Z,29.8650,138.9860,20.1,1016.8,1016.8,0,2.3,9,0111111711
21598,2016-03-22T07:00:00Z,29.8770,138.9840,20.1,1017.1,1017.1,0,2.3,9,0111111711
21598,2016-03-22T09:00:00Z,29.9000,138.9880,19.9,1016.9,1016.9,0,2.2,9,0111111711
21598,2016-03-22T10:00:00Z,29.9110,138.9940,19.9,1017.3,1017.3,0,2.3,9,0111111711
21598,2016-03-22T11:00:00Z,29.9220,139.0020,19.8,1017.6,1017.6,0,2.3,9,0111111711
21598,2016-03-22T12:00:00Z,29.9320,139.0130,19.8,1018,1018,0,2.2,9,0111111711
21598,2016-03-22T13:00:00Z,29.9400,139.0260,19.8,1018.1,1018.1,0,2,9,0111111711
21598,2016-03-22T14:00:00Z,29.9460,139.0380,19.9,1018.2,1018.2,0,2,9,0111111711
21598,2016-03-22T15:00:00Z,29.9530,139.0480,19.8,1018,1018,0,1.8,9,0111111711
21598,2016-03-22T18:00:00Z,29.9690,139.0640,19.8,1017.3,1017.3,0,1.6,10,0111111711
21598,2016-03-22T21:00:00Z,29.9930,139.0720,19.8,1017.1,1017.1,0,1.6,10,0111111711
21598,2016-03-23T00:00:00Z,30.0220,139.0880,20,1018.5,1018.5,0,1.5,11,0111111711
21598,2016-03-23T03:00:00Z,30.0530,139.1110,20.1,1017.3,1017.3,0,1.4,11,0111111711
21598,2016-03-23T06:00:00Z,30.0800,139.1370,20.3,1015.5,1015.5,0,1.4,11,0111111711
21598,2016-03-23T09:00:00Z,30.1020,139.1660,20.1,1015.5,1015.5,0,1.3,11,0111111711
