PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2100951,67879,2015-11-08T00:00:00Z,44.4130,149.4440,,0,4,-0.9,0.04,-0.01,7.32,0.5,313,15,0.07,-0.015,00111971111171111
2100951,67879,2015-11-08T03:00:00Z,44.4120,149.4600,,0,4.6,2.1,0.03,0.01,7.34,0.5,313,15,0.125,-0.031,00111971111171111
2100951,67879,2015-11-08T06:00:00Z,44.4070,149.4780,,0,3.1,3.1,0.02,0.02,7.32,0.5,313,15,0.085,-0.021,00111971111171111
2100951,67879,2015-11-08T09:00:00Z,44.4080,149.4830,,0,0.4,4.9,0,0.05,7.25,0.5,313,15,-0.022,0.031,00111971111171111
2100951,67879,2015-11-08T12:00:00Z,44.4130,149.4720,,0,-1.1,7.1,-0.02,0.09,7.23,0.5,313,15,0.066,0.103,00111971111171111
2100951,67879,2015-11-08T15:00:00Z,44.4280,149.5010,,0,-4.4,7.3,-0.1,0.13,7.21,0.5,313,15,0.173,0.103,00111971111171111
2100951,67879,2015-11-08T18:00:00Z,44.4330,149.5190,,0,-8.4,5.3,-0.23,0.1,7.14,0.5,313,15,0.059,0.103,00111971111171111
2100951,67879,2015-11-08T21:00:00Z,44.4480,149.5170,,0,-13.2,0.3,-0.47,0.03,7.05,0.5,313,15,0.007,0.185,00111971111171111
2100951,67879,2015-11-09T00:00:00Z,44.4690,149.5210,,0,-14.7,-2.3,-0.71,-0.09,6.98,0.5,313,15,-0.044,0.221,00111971111171111
2100951,67879,2015-11-09T03:00:00Z,44.4910,149.5050,,0,-14.5,-5.4,-0.74,-0.3,6.91,0.5,313,15,-0.165,0.211,00111971111171111
2100951,67879,2015-11-09T06:00:00Z,44.5100,149.4760,,0,-13.1,-11.2,-0.63,-0.64,6.86,0.5,313,15,-0.282,0.17,00111971111171111
2100951,67879,2015-11-09T09:00:00Z,44.5240,149.4280,,0,-8.9,-16.8,-0.55,-1,6.79,0.5,313,15,-0.389,0.139,00111971111171111
2100951,67879,2015-11-09T12:00:00Z,44.5370,149.3700,,0,-6.9,-15.1,-0.4,-0.94,6.71,0.5,313,15,-0.385,0.113,00111971111171111
2100951,67879,2015-11-09T15:00:00Z,44.5460,149.3230,,0,-5.5,-13.5,-0.22,-0.51,6.63,0.5,313,15,-0.33,0.072,00111971111171111
2100951,67879,2015-11-09T18:00:00Z,44.5510,149.2800,,0,-6.6,-11.6,-0.14,-0.29,6.59,0.5,313,15,-0.301,-0.062,00111971111171111
2100951,67879,2015-11-09T21:00:00Z,44.5340,149.2410,,0,-5.6,-9,-0.13,-0.19,6.56,0.5,313,15,-0.268,-0.134,00111971111171111
2100951,67879,2015-11-10T00:00:00Z,44.5250,149.2070,,0,-6.4,-7.7,-0.13,-0.15,6.54,0.5,313,15,-0.257,-0.18,00111971111171111
2100951,67879,2015-11-10T03:00:00Z,44.4990,149.1710,,0,-7.5,-6.4,-0.13,-0.12,6.53,0.5,313,15,-0.231,-0.201,00111971111171111
