PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),VGTA LEVEL0 (second),QC
21708,2016-01-28T14:00:00Z,37.3070,135.4100,13,0,1.3,7,01111711
21708,2016-01-28T15:00:00Z,37.2980,135.4000,13.1,0,1.1,7,01111711
21708,2016-01-28T16:00:00Z,37.2890,135.3930,13.1,0,1,7,01111711
21708,2016-01-28T17:00:00Z,37.2800,135.3830,13.2,0,1.1,7,01111711
21708,2016-01-28T18:00:00Z,37.2710,135.3680,13.2,0,1.1,7,01111711
21708,2016-01-28T19:00:00Z,37.2660,135.3480,13.2,0,1.2,7,01111711
21708,2016-01-28T20:00:00Z,37.2630,135.3230,13.3,0,1.5,6,01111711
21708,2016-01-28T21:00:00Z,37.2620,135.2970,13.3,0,1.9,7,01111711
21708,2016-01-28T22:00:00Z,37.2620,135.2700,13.2,0,2,6,01111711
21708,2016-01-28T23:00:00Z,37.2610,135.2420,13.2,0,2.1,6,01111711
21708,2016-01-29T00:00:00Z,37.2630,135.2100,13.1,0,2.4,6,01111711
21708,2016-01-29T03:00:00Z,37.2770,135.1120,12.8,0,2.8,7,01111711
21708,2016-01-29T04:00:00Z,37.2790,135.0870,12.8,0,2.7,7,01111711
21708,2016-01-29T05:00:00Z,37.2800,135.0620,12.7,0,2.6,7,01111711
21708,2016-01-29T06:00:00Z,37.2790,135.0390,12.8,0,2.4,7,01111711
21708,2016-01-29T07:00:00Z,37.2780,135.0190,12.7,0,2.7,6,01111711
21708,2016-01-29T08:00:00Z,37.2740,135.0000,12.7,0,2.7,7,01111711
21708,2016-01-29T09:00:00Z,37.2700,134.9790,12.7,0,2.7,7,01111711
21708,2016-01-29T10:00:00Z,37.2650,134.9570,12.7,0,2.6,7,01111711
21708,2016-01-29T11:00:00Z,37.2590,134.9360,12.7,0,3,7,01111711
21708,2016-01-29T12:00:00Z,37.2520,134.9150,12.7,0,2.9,7,01111711
21708,2016-01-29T13:00:00Z,37.2430,134.8940,12.7,0,3.1,7,01111711
21708,2016-01-29T14:00:00Z,37.2330,134.8720,12.7,0,2.7,7,01111711
21708,2016-01-29T15:00:00Z,37.2260,134.8520,12.9,0,3.1,7,01111711
21708,2016-01-29T16:00:00Z,37.2170,134.8310,12.9,0,3,7,01111711
21708,2016-01-29T17:00:00Z,37.2050,134.8130,12.9,0,2.7,7,01111711
21708,2016-01-29T18:00:00Z,37.1920,134.7980,12.9,0,2.4,7,01111711
21708,2016-01-29T19:00:00Z,37.1800,134.7840,12.8,0,2.3,7,01111711
21708,2016-01-29T20:00:00Z,37.1690,134.7780,12.9,0,2,7,01111711
21708,2016-01-29T21:00:00Z,37.1590,134.7720,13,0,2,7,01111711
21708,2016-01-29T22:00:00Z,37.1510,134.7660,13.1,0,2.2,7,01111711
21708,2016-01-29T23:00:00Z,37.1430,134.7630,13,0,1.9,7,01111711
21708,2016-01-30T00:00:00Z,37.1360,134.7610,13,0,1.9,7,01111711
21708,2016-01-30T03:00:00Z,37.1140,134.7610,13,0,1.8,7,01111711
21708,2016-01-30T06:00:00Z,37.0710,134.7660,13,0,1.7,6,01111711
21708,2016-01-30T09:00:00Z,37.0270,134.7790,12.9,0,1.6,7,01111711
21708,2016-01-30T12:00:00Z,36.9870,134.7750,12.9,0,1.7,7,01111711
21708,2016-01-30T15:00:00Z,36.9560,134.7510,12.6,0,1.6,7,01111711
21708,2016-01-30T18:00:00Z,36.9430,134.7440,12.7,0,1.6,6,01111711
21708,2016-01-30T21:00:00Z,36.9340,134.7410,12.6,0,1.4,6,01111711
21708,2016-01-31T00:00:00Z,36.9270,134.7360,12.6,0,1.1,6,01111711
21708,2016-01-31T03:00:00Z,36.9150,134.7290,12.7,0,0.9,7,01111711
21708,2016-01-31T06:00:00Z,36.8880,134.7060,12.9,0,1,7,01111711
21708,2016-01-31T09:00:00Z,36.8710,134.6980,12.8,0,1.1,8,01111711
21708,2016-01-31T12:00:00Z,36.8330,134.6710,12.7,0,1.9,7,01111711
21708,2016-01-31T15:00:00Z,36.7970,134.6390,12.6,0,2.1,7,01111711
21708,2016-01-31T16:00:00Z,36.7840,134.6290,12.6,0,2.1,7,01111711
21708,2016-01-31T17:00:00Z,36.7690,134.6200,12.6,0,2.1,7,01111711
21708,2016-01-31T18:00:00Z,36.7530,134.6120,12.6,0,2.3,7,01111711
21708,2016-01-31T19:00:00Z,36.7370,134.6020,12.6,0,2.3,7,01111711
21708,2016-01-31T20:00:00Z,36.7200,134.5930,12.6,0,2.1,7,01111711
21708,2016-01-31T21:00:00Z,36.7020,134.5830,12.6,0,2.1,7,01111711
21708,2016-01-31T22:00:00Z,36.6850,134.5700,12.6,0,2.1,7,01111711
21708,2016-01-31T23:00:00Z,36.6690,134.5570,12.6,0,2,7,01111711
21708,2016-02-01T00:00:00Z,36.6520,134.5410,12.6,0,2.1,7,01111711
21708,2016-02-01T01:00:00Z,36.6360,134.5250,12.6,0,1.8,7,01111711
21708,2016-02-01T02:00:00Z,36.6180,134.5100,12.5,0,1.8,8,01111711
21708,2016-02-01T03:00:00Z,36.6000,134.4920,12.5,0,2,7,01111711
