PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2100891,116480,2015-11-01T00:00:00Z,36.9580,161.0220,,0,4.6,1.4,0,0,20.71,0.5,312,15,0.144,0.041,00111971111171111
2100891,116480,2015-11-01T01:00:00Z,36.9588,161.0314,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T02:00:00Z,36.9560,161.0412,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T03:00:00Z,36.9530,161.0490,,0,2.3,-1.4,0.02,-0.01,20.72,0.5,312,15,0.152,-0.103,00111971111171111
2100891,116480,2015-11-01T04:00:00Z,36.9493,161.0544,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T05:00:00Z,36.9436,161.0582,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T06:00:00Z,36.9380,161.0590,,0,1.6,-3.5,0.01,-0.03,20.69,0.5,312,15,0.004,-0.134,00111971111171111
2100891,116480,2015-11-01T07:00:00Z,36.9328,161.0593,20.69,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T08:00:00Z,36.9303,161.0538,20.66,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T09:00:00Z,36.9270,161.0500,,0,1.7,-6.6,0.02,-0.05,20.66,0.5,312,15,-0.078,-0.185,00111971111171111
2100891,116480,2015-11-01T10:00:00Z,36.9208,161.0453,20.63,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T11:00:00Z,36.9113,161.0444,20.63,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T12:00:00Z,36.9020,161.0400,,0,-2.3,3.5,0.03,-0.07,20.65,0.5,312,15,-0.091,-0.185,00111971111171111
2100891,116480,2015-11-01T13:00:00Z,36.8942,161.0267,20.66,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T14:00:00Z,36.8936,161.0298,20.66,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T15:00:00Z,36.8910,161.0280,,0,0.9,-9.1,0.01,-0.09,20.69,0.5,312,15,0.004,-0.103,00111971111171111
2100891,116480,2015-11-01T16:00:00Z,36.8880,161.0297,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T17:00:00Z,36.8849,161.0340,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T18:00:00Z,36.8820,161.0410,,0,1.9,-9.5,0.02,-0.14,20.72,0.5,312,15,0.189,-0.118,00111971111171111
2100891,116480,2015-11-01T19:00:00Z,36.8787,161.0505,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T20:00:00Z,36.8743,161.0617,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T21:00:00Z,36.8680,161.0740,,0,1.4,-9.1,0.03,-0.13,20.73,0.5,312,15,0.222,-0.247,00111971111171111
2100891,116480,2015-11-01T22:00:00Z,36.8571,161.0847,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-01T23:00:00Z,36.8464,161.0912,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T00:00:00Z,36.8340,161.0950,,0,2.7,-7.5,0.03,-0.1,20.72,0.5,312,15,0.087,-0.396,00111971111171111
2100891,116480,2015-11-02T01:00:00Z,36.8198,161.0965,20.69,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T02:00:00Z,36.8056,161.0960,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T03:00:00Z,36.7910,161.0950,,0,2.1,-6.6,0.02,-0.07,20.72,0.5,312,15,-0.082,-0.391,00111971111171111
2100891,116480,2015-11-02T04:00:00Z,36.7790,161.0918,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T05:00:00Z,36.7667,161.0850,20.73,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T06:00:00Z,36.7580,161.0750,,0,-0.2,-5.3,0,-0.04,20.69,0.5,312,15,-0.206,-0.226,00111971111171111
2100891,116480,2015-11-02T07:00:00Z,36.7508,161.0639,20.66,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T08:00:00Z,36.7470,161.0535,20.66,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T09:00:00Z,36.7470,161.0450,,0,-2.6,-3,-0.01,-0.02,20.67,0.5,312,15,-0.173,-0.015,00111971111171111
2100891,116480,2015-11-02T10:00:00Z,36.7480,161.0371,20.66,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T11:00:00Z,36.7509,161.0323,20.63,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T12:00:00Z,36.7550,161.0330,,0,-3,-0.3,-0.01,0,20.66,0.5,312,15,0.025,0.082,00111971111171111
2100891,116480,2015-11-02T13:00:00Z,36.7580,161.0377,20.69,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T14:00:00Z,36.7619,161.0439,20.66,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T15:00:00Z,36.7630,161.0510,,0,-2.2,1,-0.01,0.01,20.64,0.5,312,15,0.194,0.026,00111971111171111
2100891,116480,2015-11-02T16:00:00Z,36.7650,161.0581,20.63,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T17:00:00Z,36.7642,161.0678,20.63,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T18:00:00Z,36.7600,161.0800,,0,-2.3,3.7,-0.02,0.03,20.62,0.5,312,15,0.194,-0.103,00111971111171111
2100891,116480,2015-11-02T19:00:00Z,36.7542,161.0904,20.63,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T20:00:00Z,36.7479,161.0971,20.59,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T21:00:00Z,36.7430,161.0980,,0,-1.8,6.2,-0.02,0.08,20.62,0.5,312,15,0,-0.144,00111971111171111
2100891,116480,2015-11-02T22:00:00Z,36.7366,161.0926,20.63,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-02T23:00:00Z,36.7335,161.0863,20.63,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-03T00:00:00Z,36.7320,161.0800,,0,-1.3,8.3,-0.01,0.15,20.64,0.5,312,15,-0.181,-0.021,00111971111171111
2100891,116480,2015-11-03T01:00:00Z,36.7309,161.0730,20.66,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-03T02:00:00Z,36.7331,161.0634,20.66,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-03T03:00:00Z,36.7390,161.0540,,0,1.5,9.8,0.04,0.2,20.65,0.5,312,15,-0.161,0.175,00111971111171111
2100891,116480,2015-11-03T04:00:00Z,36.7475,161.0487,20.63,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-03T06:00:00Z,36.7660,161.0410,,0,4,9.8,0.08,0.21,20.64,0.5,312,15,-0.021,0.36,00111971111171111
2100891,116480,2015-11-03T07:00:00Z,36.7801,161.0393,20.66,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-03T08:00:00Z,36.7954,161.0427,20.63,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-03T09:00:00Z,36.8090,161.0490,,0,4.4,10.4,0.09,0.22,20.64,0.5,312,15,0.218,0.401,00111971111171111
2100891,116480,2015-11-03T10:00:00Z,36.8249,161.0607,20.66,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-03T11:00:00Z,36.8364,161.0756,20.63,0,,,,,,,,,,,00111179999999999
2100891,116480,2015-11-03T12:00:00Z,36.8440,161.0940,,0,3,12,0.11,0.26,20.6,0.5,312,15,0.424,0.237,00111971111171111
