PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2100740,151017,2015-11-01T00:00:00Z,33.0260,154.9040,0,5.1,5.7,0.06,0.06,0.5,312,15,0.13,-1.024,001117111171111
2100740,151017,2015-11-01T03:00:00Z,32.9260,154.9190,0,7,5,0.08,0.06,0.5,312,15,0.156,-1.003,001117111171111
2100740,151017,2015-11-01T06:00:00Z,32.8310,154.9400,0,7.3,2.8,0.08,0.04,0.5,312,15,0.212,-1.029,001117111171111
2100740,151017,2015-11-01T09:00:00Z,32.7260,154.9680,0,6.8,2.8,0.09,0.02,0.5,312,15,0.221,-1.06,001117111171111
2100740,151017,2015-11-01T12:00:00Z,32.6250,154.9910,0,6.3,-1.7,0.07,-0.02,0.5,312,15,0.282,-1.013,001117111171111
2100740,151017,2015-11-01T15:00:00Z,32.5290,155.0330,0,-2.2,-8,0,-0.08,0.5,312,15,0.408,-0.926,001117111171111
2100740,151017,2015-11-01T18:00:00Z,32.4450,155.0850,0,-2.1,-8.4,-0.03,-0.11,0.5,312,15,0.517,-0.89,001117111171111
2100740,151017,2015-11-01T21:00:00Z,32.3560,155.1520,0,-4.6,-7.8,-0.06,-0.11,0.5,312,15,0.496,-0.905,001117111171111
2100740,151017,2015-11-02T00:00:00Z,32.2690,155.1990,0,-5.4,-5.9,-0.08,-0.08,0.5,312,15,0.47,-0.782,001117111171111
2100740,151017,2015-11-02T03:00:00Z,32.2040,155.2600,0,-6.9,-3.7,-0.09,-0.05,0.5,312,15,0.61,-0.52,001117111171111
2100740,151017,2015-11-02T06:00:00Z,32.1680,155.3390,0,-8.1,-1.7,-0.1,-0.02,0.5,312,15,0.754,-0.381,001117111171111
2100740,151017,2015-11-02T09:00:00Z,32.1300,155.4330,0,-7.7,0.3,-0.09,0.01,0.5,312,15,0.893,-0.345,001117111171111
2100740,151017,2015-11-02T12:00:00Z,32.1010,155.5440,0,-7.1,2.3,-0.08,0.02,0.5,312,15,0.924,-0.324,001117111171111
2100740,151017,2015-11-02T15:00:00Z,32.0670,155.6450,0,-6.5,3.6,-0.08,0.05,0.5,312,15,0.842,-0.34,001117111171111
2100740,151017,2015-11-02T18:00:00Z,32.0350,155.7370,0,-5.5,6.4,-0.07,0.07,0.5,312,15,0.776,-0.118,001117111171111
2100740,151017,2015-11-02T21:00:00Z,32.0440,155.8230,0,-4.6,6.3,-0.04,0.07,0.5,312,15,0.781,0.036,001117111171111
2100740,151017,2015-11-03T00:00:00Z,32.0420,155.9160,0,-2.6,6.9,-0.02,0.07,0.5,312,15,0.789,-0.057,001117111171111
2100740,151017,2015-11-03T03:00:00Z,32.0330,156.0040,0,-0.1,6.3,-0.01,0.07,0.5,312,15,0.728,0.051,001117111171111
2100740,151017,2015-11-03T06:00:00Z,32.0520,156.0830,0,0.8,7.1,0.01,0.05,0.5,312,15,0.689,0.185,001117111171111
2100740,151017,2015-11-03T09:00:00Z,32.0690,156.1620,0,2.1,5.7,0.02,0.05,0.5,312,15,0.702,0.093,001117111171111
2100740,151017,2015-11-03T12:00:00Z,32.0700,156.2440,0,3.7,5.8,0.05,0.04,0.5,312,15,0.693,0.067,001117111171111
2100740,151017,2015-11-03T15:00:00Z,32.0820,156.3210,0,7.1,3.3,0.08,0.03,0.5,312,15,0.536,0.134,001117111171111
2100740,151017,2015-11-03T18:00:00Z,32.0960,156.3670,0,5,,,,0.5,312,15,0.309,0.165,001117199971111
2100740,151017,2015-11-03T21:00:00Z,32.1140,156.3920,0,-0.8,,,,0.5,312,15,0.301,0.211,001117199971111
2100740,151017,2015-11-04T00:00:00Z,32.1370,156.4360,0,-3.1,,-0.03,,0.5,312,15,0.435,0.252,001117191971111
2100740,151017,2015-11-04T03:00:00Z,32.1630,156.4920,0,-4.5,,-0.04,,0.5,312,15,0.414,0.242,001117191971111
2100740,151017,2015-11-04T06:00:00Z,32.1840,156.5310,0,-6.5,,,,0.5,312,15,0.244,0.216,001117199971111
2100740,151017,2015-11-04T09:00:00Z,32.2050,156.5480,0,-8.4,,,,0.5,312,15,0.122,0.18,001117199971111
2100740,151017,2015-11-04T12:00:00Z,32.2190,156.5590,0,-9.4,,,,0.5,312,15,0.113,0.257,001117199971111
2100740,151017,2015-11-04T15:00:00Z,32.2550,156.5740,0,-10.1,,,,0.5,312,15,0.157,0.468,001117199971111
2100740,151017,2015-11-04T18:00:00Z,32.3100,156.5950,0,-7.7,,,,0.5,312,15,0.209,0.473,001117199971111
2100740,151017,2015-11-04T21:00:00Z,32.3470,156.6220,0,-10.9,,,,0.5,312,15,0.2,0.334,001117199971111
2100740,151017,2015-11-05T00:00:00Z,32.3750,156.6410,0,-12.3,-3.7,-0.27,-0.09,0.5,312,15,0.048,0.376,001117111171111
2100740,151017,2015-11-05T03:00:00Z,32.4200,156.6330,0,-10.7,-3.3,-0.23,-0.06,0.5,312,15,-0.1,0.468,001117111171111
2100740,151017,2015-11-05T06:00:00Z,32.4660,156.6180,0,-10.7,-0.8,-0.19,-0.03,0.5,312,15,-0.1,0.509,001117111171111
2100740,151017,2015-11-05T09:00:00Z,32.5190,156.6100,0,-10.8,0.5,-0.19,0,0.5,312,15,-0.035,0.545,001117111171111
2100740,151017,2015-11-05T12:00:00Z,32.5720,156.6100,0,-11.7,1.6,-0.19,0.02,0.5,312,15,-0.043,0.545,001117111171111
