PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2100525,132598,2015-11-01T00:00:00Z,42.1590,152.2430,0,7.5,1.9,0.12,0.03,10.39,0.5,313,15,0.118,-0.021,0011171111171111
2100525,132598,2015-11-01T03:00:00Z,42.1610,152.2630,0,9.8,2.3,0.14,0.03,10.47,0.5,313,15,0.183,0.072,0011171111171111
2100525,132598,2015-11-01T06:00:00Z,42.1730,152.2910,0,9.4,0.6,0.13,0.01,10.5,0.5,313,15,0.263,0.098,0011171111171111
2100525,132598,2015-11-01T09:00:00Z,42.1800,152.3320,0,6.5,-2.8,0.1,-0.02,10.45,0.5,313,15,0.259,-0.077,0011171111171111
2100525,132598,2015-11-01T12:00:00Z,42.1580,152.3590,0,7.3,-3.5,0.08,-0.04,10.35,0.5,313,15,0.191,-0.278,0011171111171111
2100525,132598,2015-11-01T15:00:00Z,42.1260,152.3820,0,6.7,-2.6,0.07,-0.03,10.25,0.5,313,15,0.122,-0.293,0011171111171111
2100525,132598,2015-11-01T18:00:00Z,42.1010,152.3910,0,5.8,-0.9,0.05,-0.01,10.2,0.5,313,15,0.019,-0.087,0011171111171111
2100525,132598,2015-11-01T21:00:00Z,42.1090,152.3870,0,3.9,1.6,0.03,0.01,10.19,0.5,313,15,0.088,0.134,0011171111171111
2100525,132598,2015-11-02T00:00:00Z,42.1270,152.4140,0,1.8,6.1,0.02,0.05,10.23,0.5,313,15,0.252,0.067,0011171111171111
2100525,132598,2015-11-02T03:00:00Z,42.1220,152.4530,0,2.1,7,0.02,0.08,10.29,0.5,313,15,0.218,-0.062,0011171111171111
2100525,132598,2015-11-02T06:00:00Z,42.1150,152.4710,0,2.5,6.3,0.03,0.07,10.34,0.5,313,15,0.183,-0.072,0011171111171111
2100525,132598,2015-11-02T09:00:00Z,42.1080,152.5010,0,1.9,6.1,0.02,0.06,10.36,0.5,313,15,0.157,-0.123,0011171111171111
2100525,132598,2015-11-02T12:00:00Z,42.0910,152.5120,0,0.1,6.7,0.01,0.05,10.37,0.5,313,15,0.053,-0.087,0011171111171111
2100525,132598,2015-11-02T15:00:00Z,42.0910,152.5150,0,-0.9,3.6,-0.01,0.02,10.35,0.5,313,15,0.019,-0.026,0011171111171111
2100525,132598,2015-11-02T18:00:00Z,42.0860,152.5170,0,-7.1,0.6,-0.08,-0.01,10.34,0.5,313,15,-0.011,0.041,0011171111171111
2100525,132598,2015-11-02T21:00:00Z,42.0990,152.5120,0,-9.9,-2.5,-0.2,-0.05,10.36,0.5,313,15,0.019,0.134,0011171111171111
2100525,132598,2015-11-03T00:00:00Z,42.1120,152.5220,0,-7.9,-12,-0.18,-0.25,10.34,0.5,313,15,-0.015,0.077,0011171111171111
2100525,132598,2015-11-03T03:00:00Z,42.1140,152.5080,0,0.4,-11.6,-0.02,-0.34,10.32,0.5,313,15,-0.08,0.005,0011171111171111
2100525,132598,2015-11-03T06:00:00Z,42.1130,152.5010,0,3.9,-10,0.08,-0.21,10.31,0.5,313,15,-0.011,0.067,0011171111171111
2100525,132598,2015-11-03T09:00:00Z,42.1270,152.5050,0,6.2,-7.7,0.1,-0.14,10.31,0.5,313,15,-0.011,0.139,0011171111171111
2100525,132598,2015-11-03T12:00:00Z,42.1400,152.4980,0,4.1,-7.8,0.08,-0.13,10.31,0.5,313,15,0.072,0.098,0011171111171111
2100525,132598,2015-11-03T15:00:00Z,42.1460,152.5240,0,3.3,-8.7,0.05,-0.13,10.31,0.5,313,15,0.206,0.113,0011171111171111
2100525,132598,2015-11-03T18:00:00Z,42.1620,152.5520,0,3.5,,,,10.3,0.5,313,15,0.099,0.118,0011171999171111
2100525,132598,2015-11-03T21:00:00Z,42.1690,152.5500,0,4.1,,,,10.3,0.5,313,15,0.072,0.113,0011171999171111
2100525,132598,2015-11-04T00:00:00Z,42.1840,152.5710,0,3.7,,0.03,,10.33,0.5,313,15,0.175,0.165,0011171919171111
