PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
2200679,94148,2016-03-10T19:00:00Z,12.5848,118.3077,0,001447
2200679,94148,2016-03-10T20:00:00Z,12.5848,118.3077,0,001117
2200679,94148,2016-03-10T21:00:00Z,12.5848,118.3077,0,001117
2200679,94148,2016-03-10T22:00:00Z,12.7422,118.5854,0,001447
2200679,94148,2016-03-10T23:00:00Z,12.7430,118.5984,0,001117
2200679,94148,2016-03-11T03:00:00Z,12.8768,118.8305,0,001117
2200679,94148,2016-03-11T04:00:00Z,13.0035,119.0920,0,001447
2200679,94148,2016-03-11T05:00:00Z,13.0035,119.0920,0,001117
2200679,94148,2016-03-11T06:00:00Z,13.0035,119.0920,0,001117
2200679,94148,2016-03-11T07:00:00Z,13.0552,119.2198,0,001117
2200679,94148,2016-03-11T08:00:00Z,13.0552,119.2198,0,001117
2200679,94148,2016-03-11T09:00:00Z,13.1124,119.3418,0,001117
2200679,94148,2016-03-11T10:00:00Z,13.1337,119.3934,0,001117
2200679,94148,2016-03-11T12:00:00Z,13.2069,119.5284,0,001117
2200679,94148,2016-03-11T14:00:00Z,13.3137,119.7967,0,001117
2200679,94148,2016-03-11T15:00:00Z,13.3137,119.7967,0,001117
2200679,94148,2016-03-11T16:00:00Z,13.3137,119.7967,0,001117
2200679,94148,2016-03-11T17:00:00Z,13.3137,119.7967,0,001117
2200679,94148,2016-03-11T18:00:00Z,13.3137,119.7967,0,001117
2200679,94148,2016-03-11T19:00:00Z,13.4455,120.0817,0,001447
2200679,94148,2016-03-11T21:00:00Z,13.4986,120.1795,0,001117
2200679,94148,2016-03-11T22:00:00Z,13.5444,120.2975,0,001117
2200679,94148,2016-03-11T23:00:00Z,13.5444,120.2975,0,001117
2200679,94148,2016-03-12T00:00:00Z,13.5940,120.3719,0,001117
2200679,94148,2016-03-12T02:00:00Z,13.7254,120.5930,0,001117
2200679,94148,2016-03-12T03:00:00Z,13.7734,120.6614,0,001117
2200679,94148,2016-03-12T04:00:00Z,13.7734,120.6614,0,001117
2200679,94148,2016-03-12T05:00:00Z,13.9253,120.7246,0,001117
2200679,94148,2016-03-12T06:00:00Z,13.9253,120.7246,0,001117
2200679,94148,2016-03-12T07:00:00Z,13.9253,120.7246,0,001117
2200679,94148,2016-03-12T08:00:00Z,13.9325,120.7327,0,001117
2200679,94148,2016-03-12T09:00:00Z,13.9313,120.7346,0,001117
2200679,94148,2016-03-12T10:00:00Z,13.9276,120.7379,0,001117
2200679,94148,2016-03-12T11:00:00Z,13.9279,120.7229,0,001117
2200679,94148,2016-03-12T12:00:00Z,13.9266,120.7226,0,001117
2200679,94148,2016-03-12T13:00:00Z,13.9266,120.7226,0,001117
2200679,94148,2016-03-12T14:00:00Z,13.9285,120.7207,0,001117
2200679,94148,2016-03-12T15:00:00Z,13.9197,120.7122,0,001117
2200679,94148,2016-03-12T16:00:00Z,13.9197,120.7122,0,001117
2200679,94148,2016-03-12T19:00:00Z,13.9197,120.7122,0,001117
2200679,94148,2016-03-12T21:00:00Z,13.9276,120.7167,0,001117
2200679,94148,2016-03-12T22:00:00Z,13.9257,120.7235,0,001117
2200679,94148,2016-03-12T23:00:00Z,13.9188,120.7074,0,001117
2200679,94148,2016-03-13T01:00:00Z,13.9216,120.7076,0,001117
2200679,94148,2016-03-13T02:00:00Z,13.9255,120.7209,0,001117
2200679,94148,2016-03-13T04:00:00Z,13.9269,120.7193,0,001117
2200679,94148,2016-03-13T05:00:00Z,13.9269,120.7193,0,001117
2200679,94148,2016-03-13T06:00:00Z,13.9269,120.7193,0,001117
2200679,94148,2016-03-13T07:00:00Z,13.9281,120.7184,0,001117
2200679,94148,2016-03-13T09:00:00Z,13.9281,120.7184,0,001117
2200679,94148,2016-03-13T10:00:00Z,13.9308,120.7208,0,001117
2200679,94148,2016-03-13T11:00:00Z,13.9282,120.7221,0,001117
2200679,94148,2016-03-13T12:00:00Z,13.9274,120.7259,0,001117
2200679,94148,2016-03-13T13:00:00Z,13.9270,120.7214,0,001117
2200679,94148,2016-03-13T14:00:00Z,13.9210,120.7179,0,001117
2200679,94148,2016-03-13T15:00:00Z,13.9230,120.7150,0,001117
2200679,94148,2016-03-13T16:00:00Z,13.9230,120.7150,0,001117
2200679,94148,2016-03-13T17:00:00Z,13.9230,120.7150,0,001117
2200679,94148,2016-03-13T18:00:00Z,13.9286,120.7189,0,001117
2200679,94148,2016-03-13T19:00:00Z,13.9230,120.7150,0,001117
2200679,94148,2016-03-13T20:00:00Z,13.9279,120.7184,0,001117
2200679,94148,2016-03-13T21:00:00Z,13.9279,120.7184,0,001117
2200679,94148,2016-03-13T22:00:00Z,13.9215,120.7126,0,001117
2200679,94148,2016-03-13T23:00:00Z,13.9262,120.7120,0,001117
2200679,94148,2016-03-14T00:00:00Z,13.9275,120.7220,0,001117
2200679,94148,2016-03-14T01:00:00Z,13.9262,120.7120,0,001117
2200679,94148,2016-03-14T02:00:00Z,13.9258,120.7359,0,001117
2200679,94148,2016-03-14T03:00:00Z,13.9331,120.7119,0,001117
2200679,94148,2016-03-14T05:00:00Z,13.9331,120.7119,0,001117
2200679,94148,2016-03-14T09:00:00Z,13.9331,120.7119,0,001117
2200679,94148,2016-03-14T10:00:00Z,13.9271,120.7234,0,001117
2200679,94148,2016-03-14T11:00:00Z,13.9426,120.7215,0,001117
2200679,94148,2016-03-14T12:00:00Z,13.9360,120.7147,0,001117
2200679,94148,2016-03-14T13:00:00Z,13.9276,120.7199,0,001117
2200679,94148,2016-03-14T14:00:00Z,13.9260,120.7201,0,001117
2200679,94148,2016-03-14T15:00:00Z,13.9260,120.7201,0,001117
2200679,94148,2016-03-14T16:00:00Z,13.9261,120.7197,0,001117
2200679,94148,2016-03-14T17:00:00Z,13.9260,120.7201,0,001117
2200679,94148,2016-03-14T18:00:00Z,13.9261,120.7197,0,001117
2200679,94148,2016-03-14T19:00:00Z,13.9261,120.7197,0,001117
2200679,94148,2016-03-14T20:00:00Z,13.9268,120.7188,0,001117
2200679,94148,2016-03-14T21:00:00Z,13.9247,120.7215,0,001117
2200679,94148,2016-03-14T22:00:00Z,13.9253,120.7184,0,001117
2200679,94148,2016-03-14T23:00:00Z,13.9274,120.7192,0,001117
2200679,94148,2016-03-15T00:00:00Z,13.9274,120.7192,0,001117
2200679,94148,2016-03-15T03:00:00Z,13.9242,120.7308,0,001117
2200679,94148,2016-03-15T04:00:00Z,13.9242,120.7308,0,001117
2200679,94148,2016-03-15T05:00:00Z,13.9273,120.7215,0,001117
2200679,94148,2016-03-15T07:00:00Z,13.9273,120.7215,0,001117
2200679,94148,2016-03-15T08:00:00Z,13.9273,120.7215,0,001117
2200679,94148,2016-03-15T09:00:00Z,13.9245,120.7097,0,001117
2200679,94148,2016-03-15T10:00:00Z,13.9245,120.7097,0,001117
2200679,94148,2016-03-15T11:00:00Z,13.9286,120.7219,0,001117
2200679,94148,2016-03-15T12:00:00Z,13.9279,120.7190,0,001117
2200679,94148,2016-03-15T13:00:00Z,13.9279,120.7190,0,001117
2200679,94148,2016-03-15T14:00:00Z,13.9270,120.7212,0,001117
2200679,94148,2016-03-15T15:00:00Z,13.9270,120.7212,0,001117
2200679,94148,2016-03-15T16:00:00Z,13.9303,120.7213,0,001117
2200679,94148,2016-03-15T17:00:00Z,13.9270,120.7212,0,001117
2200679,94148,2016-03-15T18:00:00Z,13.9303,120.7213,0,001117
2200679,94148,2016-03-15T19:00:00Z,13.9303,120.7213,0,001117
2200679,94148,2016-03-15T20:00:00Z,13.9286,120.7182,0,001117
2200679,94148,2016-03-15T21:00:00Z,13.9291,120.7214,0,001117
2200679,94148,2016-03-15T22:00:00Z,13.9269,120.7213,0,001117
2200679,94148,2016-03-15T23:00:00Z,13.9272,120.7185,0,001117
2200679,94148,2016-03-16T00:00:00Z,13.9272,120.7185,0,001117
2200679,94148,2016-03-16T01:00:00Z,13.9272,120.7185,0,001117
2200679,94148,2016-03-16T02:00:00Z,13.9264,120.7207,0,001117
2200679,94148,2016-03-16T03:00:00Z,13.9250,120.7123,0,001117
2200679,94148,2016-03-16T04:00:00Z,13.9250,120.7123,0,001117
2200679,94148,2016-03-16T05:00:00Z,13.9250,120.7123,0,001117
2200679,94148,2016-03-16T06:00:00Z,13.9250,120.7123,0,001117
2200679,94148,2016-03-16T07:00:00Z,13.9246,120.7106,0,001117
2200679,94148,2016-03-16T08:00:00Z,13.9246,120.7106,0,001117
