PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5200680,116328,2015-11-01T04:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-01T05:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-01T06:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-01T07:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-01T09:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-01T18:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-01T20:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-02T00:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-02T01:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-02T03:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-02T04:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-02T05:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-02T06:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-02T08:00:00Z,30.9655,133.3932,0,001117
5200680,116328,2015-11-02T11:00:00Z,31.2556,133.4951,0,001447
5200680,116328,2015-11-02T12:00:00Z,31.2556,133.4951,0,001117
5200680,116328,2015-11-02T14:00:00Z,31.3529,133.5454,0,001447
5200680,116328,2015-11-02T15:00:00Z,31.3529,133.5454,0,001117
5200680,116328,2015-11-02T17:00:00Z,31.3529,133.5454,0,001117
5200680,116328,2015-11-02T19:00:00Z,31.3529,133.5454,0,001117
5200680,116328,2015-11-02T21:00:00Z,31.3529,133.5454,0,001117
5200680,116328,2015-11-02T23:00:00Z,31.3529,133.5454,0,001117
5200680,116328,2015-11-03T01:00:00Z,31.4048,133.6016,0,001117
5200680,116328,2015-11-03T04:00:00Z,31.4047,133.6016,0,001117
5200680,116328,2015-11-03T07:00:00Z,31.4047,133.6016,0,001117
5200680,116328,2015-11-03T08:00:00Z,31.4047,133.6016,0,001117
5200680,116328,2015-11-03T09:00:00Z,31.4047,133.6016,0,001117
5200680,116328,2015-11-03T12:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-03T15:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-03T16:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-03T19:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-03T20:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-03T21:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-03T22:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-03T23:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-04T04:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-04T05:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-04T06:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-04T07:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-04T08:00:00Z,31.4807,133.6185,0,001117
5200680,116328,2015-11-04T16:00:00Z,31.6722,133.7799,0,001117
5200680,116328,2015-11-04T18:00:00Z,31.6722,133.7799,0,001117
