PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2200638,61504040,2015-11-01T00:00:00Z,36.1000,156.3240,0,-0.7,-7.3,0.01,-0.11,22.63,0.5,313,15,0.648,0.144,0011171111171111
2200638,61504040,2015-11-01T03:00:00Z,36.1110,156.4020,0,-2.3,-7,-0.03,-0.09,22.53,0.5,313,15,0.711,0.057,0011171111171111
2200638,61504040,2015-11-01T06:00:00Z,36.1110,156.4950,0,-2.8,-2.7,-0.02,-0.06,22.47,0.5,313,15,0.765,-0.021,0011171111171111
2200638,61504040,2015-11-01T09:00:00Z,36.1070,156.5860,0,-0.5,-6,0,-0.06,22.41,0.5,313,15,0.827,-0.077,0011171111171111
2200638,61504040,2015-11-01T12:00:00Z,36.0960,156.6940,0,0.5,-9,0,-0.09,22.36,0.5,313,15,0.898,-0.19,0011171111171111
2200638,61504040,2015-11-01T15:00:00Z,36.0700,156.8020,0,-0.5,-7.9,0,-0.12,22.37,0.5,313,15,0.89,-0.329,0011171111171111
2200638,61504040,2015-11-01T18:00:00Z,36.0320,156.9080,0,1.5,-8,0,-0.09,22.47,0.5,313,15,0.891,-0.386,0011171111171111
2200638,61504040,2015-11-01T21:00:00Z,35.9950,157.0160,0,-0.9,-5.2,0,-0.05,22.71,0.5,313,15,0.95,-0.525,0011171111171111
2200638,61504040,2015-11-02T00:00:00Z,35.9300,157.1360,0,1,-4.1,0,-0.03,23,0.5,313,15,0.892,-0.653,0011171111171111
2200638,61504040,2015-11-02T03:00:00Z,35.8680,157.2300,0,0.1,-2.7,0,-0.01,23.07,0.5,313,15,0.847,-0.746,0011171111171111
2200638,61504040,2015-11-02T06:00:00Z,35.7850,157.3390,0,-1.8,-1.6,-0.01,0,22.98,0.5,313,15,0.831,-0.833,0011171111171111
2200638,61504040,2015-11-02T09:00:00Z,35.7060,157.4290,0,-2.8,1.2,-0.01,0.01,22.94,0.5,313,15,0.782,-0.864,0011171111171111
2200638,61504040,2015-11-02T12:00:00Z,35.6170,157.5260,0,-3,3.8,-0.02,0.03,22.91,0.5,313,15,0.77,-0.839,0011171111171111
2200638,61504040,2015-11-02T15:00:00Z,35.5430,157.6130,0,-3.1,5.1,-0.04,0.07,22.87,0.5,313,15,0.809,-0.849,0011171111171111
2200638,61504040,2015-11-02T18:00:00Z,35.4520,157.7190,0,-2.7,6.6,-0.03,0.1,22.82,0.5,313,15,0.818,-0.905,0011171111171111
2200638,61504040,2015-11-02T21:00:00Z,35.3670,157.8080,0,-0.8,8.4,-0.01,0.14,22.75,0.5,313,15,0.768,-0.823,0011171111171111
2200638,61504040,2015-11-03T00:00:00Z,35.2920,157.9020,0,-1.1,9.2,0.01,0.18,22.64,0.5,313,15,0.84,-0.638,0011171111171111
2200638,61504040,2015-11-03T03:00:00Z,35.2430,158.0080,0,3.2,9.6,0.04,0.2,22.5,0.5,313,15,0.9,-0.494,0011171111171111
2200638,61504040,2015-11-03T06:00:00Z,35.1960,158.1160,0,3,10.1,0.09,0.23,22.4,0.5,313,15,0.904,-0.458,0011171111171111
2200638,61504040,2015-11-03T09:00:00Z,35.1540,158.2230,0,4.9,10.5,0.14,0.28,22.39,0.5,313,15,0.918,-0.489,0011171111171111
2200638,61504040,2015-11-03T12:00:00Z,35.1010,158.3340,0,6.4,11.8,0.18,0.18,22.39,0.5,313,15,0.918,-0.556,0011171111171111
2200638,61504040,2015-11-03T15:00:00Z,35.0460,158.4410,0,6.9,-12,0.14,-0.02,22.34,0.5,313,15,0.868,-0.71,0011171111171111
2200638,61504040,2015-11-03T18:00:00Z,34.9630,158.5400,0,1.8,,,,22.3,0.5,313,15,0.73,-0.725,0011171999171111
2200638,61504040,2015-11-03T21:00:00Z,34.9050,158.6140,0,1.5,,,,22.32,0.5,313,15,0.671,-0.489,0011171999171111
2200638,61504040,2015-11-04T00:00:00Z,34.8680,158.6990,0,-1.4,,-0.02,,22.37,0.5,313,15,0.777,-0.345,0011171919171111
2200638,61504040,2015-11-04T03:00:00Z,34.8380,158.7980,0,-4.1,,-0.07,,22.45,0.5,313,15,0.917,-0.278,0011171919171111
2200638,61504040,2015-11-04T06:00:00Z,34.8140,158.9160,0,-6.4,,,,22.49,0.5,313,15,1.022,-0.278,0011171999171111
2200638,61504040,2015-11-04T09:00:00Z,34.7840,159.0400,0,-6.9,,,,22.51,0.5,313,15,0.93,-0.293,0011171999171111
2200638,61504040,2015-11-04T12:00:00Z,34.7570,159.1360,0,-7.3,,,,22.52,0.5,313,15,0.972,-0.293,0011171999171111
2200638,61504040,2015-11-04T15:00:00Z,34.7270,159.2700,0,-7.1,,,,22.52,0.5,313,15,1.032,-0.288,0011171999171111
2200638,61504040,2015-11-04T18:00:00Z,34.7010,159.3800,0,-8.9,,,,22.49,0.5,313,15,0.846,-0.247,0011171999171111
2200638,61504040,2015-11-04T21:00:00Z,34.6790,159.4700,0,-8.5,,,,22.41,0.5,313,15,0.757,-0.165,0011171999171111
2200638,61504040,2015-11-05T00:00:00Z,34.6690,159.5590,0,-8.6,-2.7,-0.15,-0.05,22.27,0.5,313,15,0.808,-0.077,0011171111171111
2200638,61504040,2015-11-05T03:00:00Z,34.6640,159.6610,0,-9.5,-2.6,-0.17,-0.04,22.09,0.5,313,15,0.927,-0.123,0011171111171111
2200638,61504040,2015-11-05T06:00:00Z,34.6450,159.7780,0,-10.6,-1.3,-0.19,-0.03,21.94,0.5,313,15,0.949,-0.309,0011171111171111
2200638,61504040,2015-11-05T09:00:00Z,34.6040,159.8850,0,-10.7,-0.9,-0.21,-0.02,21.8,0.5,313,15,0.869,-0.463,0011171111171111
2200638,61504040,2015-11-05T12:00:00Z,34.5550,159.9830,0,-10.8,-1,-0.19,-0.01,21.98,0.5,313,15,0.895,-0.509,0011171111171111
2200638,61504040,2015-11-05T15:00:00Z,34.5050,160.0960,0,-9.8,0.3,-0.2,-0.01,22.49,0.5,313,15,1.01,-0.566,0011171111171111
2200638,61504040,2015-11-05T18:00:00Z,34.4450,160.2210,0,-12.2,1.8,-0.24,0.01,22.93,0.5,313,15,1.031,-0.509,0011171111171111
2200638,61504040,2015-11-05T21:00:00Z,34.4060,160.3390,0,-13,1.6,-0.29,0.04,23.1,0.5,313,15,0.977,-0.376,0011171111171111
2200638,61504040,2015-11-06T00:00:00Z,34.3720,160.4510,0,-13.7,0.1,-0.37,0.07,23.17,0.5,313,15,0.956,-0.298,0011171111171111
2200638,61504040,2015-11-06T03:00:00Z,34.3480,160.5640,0,-13.9,5.6,-0.48,0.19,23.2,0.5,313,15,1.037,-0.216,0011171111171111
2200638,61504040,2015-11-06T06:00:00Z,34.3300,160.6950,0,-11.7,7.9,-0.3,0.23,23.2,0.5,313,15,1.16,-0.211,0011171111171111
2200638,61504040,2015-11-06T09:00:00Z,34.3070,160.8370,0,-1.3,12.2,-0.09,0.24,23.19,0.5,313,15,1.318,-0.262,0011171111171111
2200638,61504040,2015-11-06T12:00:00Z,34.2790,161.0050,0,-2.5,9.5,0.01,0.23,23.18,0.5,313,15,1.382,-0.288,0011171111171111
2200638,61504040,2015-11-06T15:00:00Z,34.2510,161.1620,0,1.2,11.3,0.02,0.23,23.12,0.5,313,15,1.263,-0.257,0011171111171111
2200638,61504040,2015-11-06T18:00:00Z,34.2290,161.3020,0,0.6,13.1,0.05,0.29,23.02,0.5,313,15,1.038,-0.067,0011171111171111
2200638,61504040,2015-11-06T21:00:00Z,34.2380,161.4060,0,3.5,12.6,0.09,0.33,22.95,0.5,313,15,0.88,0.175,0011171111171111
2200638,61504040,2015-11-07T00:00:00Z,34.2630,161.5090,0,4.7,13.3,0.15,0.3,22.94,0.5,313,15,0.918,0.17,0011171111171111
2200638,61504040,2015-11-07T03:00:00Z,34.2710,161.6220,0,9.6,3.7,0.17,0.15,22.96,0.5,313,15,0.999,-0.087,0011171111171111
2200638,61504040,2015-11-07T06:00:00Z,34.2460,161.7440,0,10.9,-1,0.18,-0.01,22.96,0.5,313,15,0.906,-0.288,0011171111171111
2200638,61504040,2015-11-07T09:00:00Z,34.2150,161.8350,0,9.3,-5.1,0.15,-0.08,22.89,0.5,313,15,0.677,-0.324,0011171111171111
2200638,61504040,2015-11-07T12:00:00Z,34.1830,161.9030,0,3.6,-9.2,0.08,-0.12,22.75,0.5,313,15,0.553,-0.293,0011171111171111
