PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMP LEVEL0 (hectopascal),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),VGTA LEVEL0 (second),QC
21595,2015-11-01T00:00:00Z,28.4780,133.1180,25.5,1019.6,1019.6,0,1.8,7,0111111711
21595,2015-11-01T03:00:00Z,28.4210,133.0920,25.5,1018.5,1018.5,0,1.6,7,0111111711
21595,2015-11-01T06:00:00Z,28.3620,133.0600,25.8,1017.5,1017.5,0,1.4,8,0111111711
21595,2015-11-01T09:00:00Z,28.3030,133.0140,25.8,1017.9,1017.9,0,1.3,7,0111111711
21595,2015-11-01T12:00:00Z,28.2770,132.9840,25.8,1018.8,1018.8,0,1.7,8,0111111711
21595,2015-11-01T15:00:00Z,28.2440,132.9900,25.8,1018.1,1018.1,0,1.5,8,0111111711
21595,2015-11-01T18:00:00Z,28.2010,132.9890,25.7,1017.6,1017.6,0,1.5,8,0111111711
21595,2015-11-01T21:00:00Z,28.1610,132.9970,25.7,1018.3,1018.3,0,1.6,8,0111111711
21595,2015-11-02T00:00:00Z,28.1160,132.9990,25.7,1020.1,1020.1,0,1.4,9,0111111711
21595,2015-11-02T03:00:00Z,28.0600,132.9790,25.7,1019.5,1019.5,0,1.5,8,0111111711
21595,2015-11-02T06:00:00Z,27.9970,132.9460,25.4,1019.3,1019.3,0,1.7,8,0111111711
21595,2015-11-02T09:00:00Z,27.9520,132.9180,25.3,1020.6,1020.6,0,1.5,8,0111111711
21595,2015-11-02T12:00:00Z,27.9180,132.8840,25.4,1020.9,1020.9,0,1.3,8,0111111711
21595,2015-11-02T15:00:00Z,27.8950,132.8470,25.5,1021.4,1021.4,0,1.2,8,0111111711
21595,2015-11-02T18:00:00Z,27.8800,132.8280,25.5,1021.3,1021.3,0,1,9,0111111711
21595,2015-11-02T21:00:00Z,27.8460,132.8260,25.4,1022.3,1022.3,0,1.3,9,0111111711
21595,2015-11-03T00:00:00Z,27.8020,132.7960,25.4,1023.7,1023.7,0,1.2,8,0111111711
21595,2015-11-03T03:00:00Z,27.7620,132.7600,25.4,1022.7,1022.7,0,1.2,9,0111111711
21595,2015-11-03T06:00:00Z,27.7050,132.7360,25.4,1022.5,1022.5,0,1.2,8,0111111711
21595,2015-11-03T09:00:00Z,27.6510,132.6920,25.4,1023,1023,0,1.4,8,0111111711
21595,2015-11-03T12:00:00Z,27.6040,132.6430,25.3,1024,1024,0,1.3,7,0111111711
21595,2015-11-03T15:00:00Z,27.5560,132.5890,25.3,1023.6,1023.6,0,1.5,7,0111111711
21595,2015-11-03T18:00:00Z,27.5230,132.5240,25.3,1022.7,1022.7,0,1.6,6,0111111711
21595,2015-11-03T21:00:00Z,27.5070,132.4630,25.2,1023.4,1023.4,0,1.6,7,0111111711
