PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,0.2,30.897,34.658,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,5,30.501,34.648,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,10.6,30.451,34.646,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,15.4,30.429,34.645,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,20.1,30.372,34.635,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,26.1,30.126,34.598,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,31.1,28.44,34.629,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,36.5,26.494,34.666,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,40.6,25.674,34.72,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,44.9,25.372,34.732,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,50.7,24.594,34.783,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,60.9,23.168,34.886,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,70.6,22.577,34.935,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,80,22.093,34.946,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,90.3,21.308,34.975,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,100.2,20.778,34.989,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,109.5,20.677,34.986,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,118.9,20.436,34.978,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,129.9,20.15,34.959,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,140,19.94,34.943,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,149.6,19.598,34.928,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,159.9,19.251,34.903,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,169.8,19.01,34.889,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,180.2,18.623,34.865,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902990,149981,2017-08-17T12:20:15Z,27.0140,128.9560,190.6,18.186,34.841,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
