PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,0.6,30.937,34.536,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,5.2,30.548,34.565,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,10.6,30.581,34.646,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,15.1,30.387,34.644,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,20.9,30.139,34.65,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,26.4,28.812,34.756,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,30.1,27.862,34.85,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,35.1,27.4,34.873,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,40.5,27.041,34.891,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,45.2,26.393,34.978,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,49.2,26.011,35.078,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903186,162004,2017-08-17T11:59:11Z,25.0980,131.3440,59.3,25.126,35.107,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
