PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),QC,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,420.9,13.4,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,440.2,12.788,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,460.2,12.189,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,480.1,11.565,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,499.8,11.095,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,520,10.541,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,539.6,10.066,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,559.9,9.588,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,579.8,8.941,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,599.8,8.31,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,620.3,7.79,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,640.7,7.375,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,659.9,6.82,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,679.8,6.641,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,699.6,6.481,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,720.6,6.095,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,740,5.86,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,760.1,5.67,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,780.2,5.327,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,800.1,5.086,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,819.9,4.96,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,839.7,4.776,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,858.9,4.57,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,880.2,4.354,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,899.5,4.25,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,920.2,4.167,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,939.9,4.042,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,960.3,3.884,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,980.9,3.695,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1000.1,3.596,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1050.5,3.446,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1100.3,3.307,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1150.8,3.138,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1200.8,2.99,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1250.4,2.84,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1299.8,2.79,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1350,2.735,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1400.9,2.675,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1450.6,2.588,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1500.9,2.51,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1550.7,2.437,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1600.2,2.386,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1649.8,2.323,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1700.6,2.234,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1750.3,2.177,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1800.8,2.12,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1850.4,2.058,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1900.1,2.002,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,1950.6,1.969,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,2000.7,1.924,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
