PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,379.5,14.47,34.521,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,399.7,13.798,34.471,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,419.2,13.295,34.437,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,439.6,12.763,34.401,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,460,12.301,34.369,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,480.7,11.647,34.329,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,499.8,11.297,34.306,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,520.4,10.659,34.273,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,540.3,10.099,34.246,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,560,9.67,34.234,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,580.5,9.146,34.222,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,600.5,8.65,34.21,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,619.4,8.157,34.204,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,639.8,7.821,34.194,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,660.1,7.527,34.197,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,680.7,7.135,34.195,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,700.5,6.75,34.191,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,720.4,6.48,34.194,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,740,6.198,34.202,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,760.1,5.926,34.207,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,780.4,5.575,34.233,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,799.3,5.443,34.243,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,819.7,5.253,34.258,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,839.6,5.069,34.254,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,859.5,4.958,34.275,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,880,4.646,34.264,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,899.9,4.529,34.284,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,920.4,4.43,34.3,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,940.4,4.287,34.318,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,960.5,4.211,34.329,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,980.4,4.133,34.337,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1000.5,3.917,34.345,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1050.1,3.65,34.371,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1100.7,3.522,34.397,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1150.1,3.327,34.423,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,1200,3.198,34.441,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
