"Series Data"
"C:\Users\user\Google ¶³ºÝµwºÐ\¬v¬yÆ[´ú¤ÀªR_1082\cr2247001_000000.LTA"
"Broadband 153.6 kHz"
"Pings/Ens ="	60
"Time/Ping = 00:02.00"
"First Ensemble Date = 17/06/28"
"First Ensemble Time = 18:40:08.00"
"Ensemble Interval (s) = "	300.00
"1st Bin Range (m) = "	15.96
"Bin Size (m) ="	8.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Nor"
									"mm/s"	"mm/s"
									1	1

138	17	06	29	06	05	08	00		501	-240
139	17	06	29	06	10	08	00		426	-307
140	17	06	29	06	15	08	00		470	-288
141	17	06	29	06	20	08	00		462	-281
142	17	06	29	06	25	08	00		456	-328
143	17	06	29	06	30	08	00		470	-327
144	17	06	29	06	35	08	00		396	-299
145	17	06	29	06	40	08	00		592	-276
146	17	06	29	06	45	08	00		637	-230
147	17	06	29	06	50	08	00		636	-251
148	17	06	29	06	55	08	00		572	-205
149	17	06	29	07	00	08	00		607	-145
150	17	06	29	07	05	08	00		686	-114
151	17	06	29	07	10	08	00		548	-118
152	17	06	29	07	15	08	00		718	-71
153	17	06	29	07	20	08	00		753	-89
154	17	06	29	07	25	08	00		679	-73
155	17	06	29	07	30	08	00		891	-22
156	17	06	29	07	35	08	00		844	-80
157	17	06	29	07	40	08	00		728	-111
158	17	06	29	07	45	08	00		521	-144
159	17	06	29	07	50	08	00		469	-77
160	17	06	29	07	55	08	00		500	-53
161	17	06	29	08	00	08	00		452	126
162	17	06	29	08	05	08	00		135	-3
163	17	06	29	08	10	08	00		-25	-116
164	17	06	29	08	15	08	00		-4	-76
165	17	06	29	08	20	08	00		118	-144
166	17	06	29	08	25	08	00		209	-15
167	17	06	29	08	30	08	00		209	-100
168	17	06	29	08	35	08	00		62	-131
169	17	06	29	08	40	08	00		234	-101
170	17	06	29	08	45	08	00		203	3
171	17	06	29	08	50	08	00		114	-107
172	17	06	29	08	55	08	00		259	-141
173	17	06	29	09	00	08	00		194	-156
174	17	06	29	09	05	08	00		391	-186
175	17	06	29	09	10	08	00		532	48
176	17	06	29	09	15	08	00		439	2
177	17	06	29	09	20	08	00		-377	-55
178	17	06	29	09	25	08	00		-179	91
179	17	06	29	09	30	08	00		-199	99
180	17	06	29	09	35	08	00			
181	17	06	29	09	40	08	00			
182	17	06	29	09	45	08	00			
183	17	06	29	09	50	08	00			
184	17	06	29	09	55	08	00			
185	17	06	29	10	00	08	00			
186	17	06	29	10	05	08	00			
187	17	06	29	10	10	08	00			
188	17	06	29	10	15	08	00			
189	17	06	29	10	20	08	00		-816	480
190	17	06	29	10	25	08	00		-749	470
191	17	06	29	10	30	08	00		-788	493
192	17	06	29	10	35	08	00		-637	448
193	17	06	29	10	40	08	00		-413	289
194	17	06	29	10	45	08	00		-320	253
195	17	06	29	10	50	08	00		-607	322
196	17	06	29	10	55	08	00		-4567	-1050
197	17	06	29	11	00	08	00		-3895	-3286
198	17	06	29	11	05	08	00		-2881	-4216
199	17	06	29	11	10	08	00		-2302	-4703
200	17	06	29	11	15	08	00		-2147	-4963
201	17	06	29	11	20	08	00		-1638	-5022
202	17	06	29	11	25	08	00		-1359	-5110
203	17	06	29	11	30	08	00		-1105	-5242
204	17	06	29	11	35	08	00		-898	-4998
205	17	06	29	11	40	08	00		-830	-5227
206	17	06	29	11	45	08	00		-592	-5149
207	17	06	29	11	50	08	00		636	-5099
208	17	06	29	11	55	08	00		1003	-4985
209	17	06	29	12	00	08	00		1816	-4628
210	17	06	29	12	05	08	00		2684	-4535
211	17	06	29	12	10	08	00		2757	-4311
212	17	06	29	12	15	08	00		2902	-4262
213	17	06	29	12	20	08	00		2751	-4215
214	17	06	29	12	25	08	00		2693	-4339
215	17	06	29	12	30	08	00		2841	-4313
216	17	06	29	12	35	08	00		2766	-4184
217	17	06	29	12	40	08	00		3080	-3989
218	17	06	29	12	45	08	00		3465	-3890
219	17	06	29	12	50	08	00		4507	-2053
220	17	06	29	12	55	08	00		4966	-1001
221	17	06	29	13	00	08	00		5269	-992
222	17	06	29	13	05	08	00		5397	-668
