PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,209.4,18.027,34.782,209.4,18.027,34.7838,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,219.5,17.564,34.749,219.5,17.564,34.7527,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,229.2,16.622,34.694,229.2,16.622,34.6946,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,239.6,16.469,34.685,239.6,16.469,34.6854,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,249.1,16.379,34.677,249.1,16.379,34.6785,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,259.5,15.988,34.65,259.5,15.988,34.6525,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,269.5,15.333,34.604,269.5,15.333,34.6063,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,279.2,14.772,34.566,279.2,14.772,34.5673,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,288.9,14.469,34.551,288.9,14.469,34.5514,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,299.1,14.369,34.543,299.1,14.369,34.5439,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,309,14.157,34.528,309,14.157,34.5296,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,319.1,13.75,34.502,319.1,13.75,34.5025,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,329.1,13.621,34.487,329.1,13.621,34.489,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,339.1,13.118,34.459,339.1,13.118,34.4594,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,349.3,13.015,34.454,349.3,13.015,34.4557,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
