PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,19.8,,,18.4,,,00111199199,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,24.6,25.125,33.704,23.2,25.125,33.704,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,29.3,24.998,33.727,27.9,24.998,33.727,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,34.5,24.907,33.755,33.1,24.907,33.755,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,39.8,24.795,33.95,38.4,24.795,33.95,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,44.6,24.619,34.174,43.2,24.619,34.174,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,49.2,24.496,34.21,47.8,24.496,34.21,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,54.6,24.421,34.224,53.2,24.421,34.224,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,59.7,24.297,34.251,58.3,24.297,34.251,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,64.6,24.255,34.257,63.2,24.255,34.257,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,69.6,23.889,34.344,68.2,23.889,34.344,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,74.3,23.873,34.346,72.9,23.873,34.346,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,79.5,23.844,34.345,78.1,23.844,34.345,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,84.6,23.734,34.358,83.2,23.734,34.358,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,89.7,22.177,34.564,88.3,22.177,34.564,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,94.2,22.036,34.575,92.8,22.036,34.575,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,,20.992,,,20.992,,00111919919,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,139.6,18.239,34.612,138.2,18.239,34.612,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
2900823,52871,2008-12-20T23:55:14Z,20.2570,119.0310,159.7,17.18,34.6,158.3,17.18,34.6,00111111111,3008,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=1.40 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,20/11/2018 22:56:40,Primary sampling: discrete [],1,1
