PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
22923,2008-12-26T01:26:00Z,26.8500,123.0310,21.6,0,014417
22923,2008-12-26T02:49:00Z,26.8500,123.0310,,0,011197
22923,2008-12-26T04:47:00Z,26.8500,123.0310,21.6,0,011117
22923,2008-12-26T12:21:00Z,26.8500,123.0310,21.5,0,011117
22923,2008-12-26T12:36:00Z,26.9160,122.9930,21.5,0,014417
22923,2008-12-26T13:58:00Z,26.8500,123.0310,21.5,0,014417
22923,2008-12-26T14:14:00Z,26.9160,122.9930,21.5,0,014417
22923,2008-12-26T17:21:00Z,26.9100,123.0090,21.5,0,011117
22923,2008-12-26T18:59:00Z,26.9080,123.0120,21.5,0,011117
22923,2008-12-26T19:35:00Z,26.9080,123.0120,21.5,0,011117
22923,2008-12-26T20:12:00Z,26.9080,123.0120,21.5,0,011117
22923,2008-12-26T21:14:00Z,26.9080,123.0120,21.5,0,011117
22923,2008-12-27T00:43:00Z,26.9320,123.0040,21.5,0,011117
22923,2008-12-27T00:48:00Z,26.9840,122.9820,21.5,0,014417
22923,2008-12-27T01:00:00Z,26.9840,122.9820,21.5,0,011117
22923,2008-12-27T01:05:00Z,26.9900,122.9810,21.5,0,014417
22923,2008-12-27T08:24:00Z,26.9900,122.9810,21.5,0,011117
22923,2008-12-27T09:09:00Z,26.9900,122.9810,21.5,0,011117
22923,2008-12-27T11:54:00Z,26.9900,122.9810,21.5,0,011117
22923,2008-12-27T13:35:00Z,26.9900,122.9810,21.5,0,011117
22923,2008-12-27T13:57:00Z,27.0780,122.9650,21.5,0,014417
22923,2008-12-27T17:06:00Z,27.0780,122.9650,21.5,0,011117
22923,2008-12-27T20:50:00Z,27.0780,122.9650,21.4,0,011117
22923,2008-12-27T20:56:00Z,27.0840,122.9880,21.4,0,014417
22923,2008-12-27T21:40:00Z,27.0840,122.9880,21.4,0,011117
22923,2008-12-28T00:44:00Z,27.1610,122.9160,21.4,0,011117
22923,2008-12-28T02:04:00Z,27.1610,122.9160,21.5,0,011117
22923,2008-12-28T02:22:00Z,27.1610,122.9210,21.4,0,011117
22923,2008-12-28T04:24:00Z,27.1610,122.9210,21.4,0,011117
22923,2008-12-28T08:05:00Z,27.1610,122.9210,21.5,0,011117
22923,2008-12-28T08:59:00Z,27.1650,122.9680,21.4,0,014417
22923,2008-12-28T16:56:00Z,27.1650,122.9680,21.4,0,011117
22923,2008-12-28T20:26:00Z,27.2000,122.9600,21.4,0,011117
22923,2008-12-28T21:33:00Z,27.2000,122.9600,21.4,0,011117
22923,2008-12-29T04:17:00Z,27.2000,122.9600,21.4,0,011117
22923,2008-12-29T08:49:00Z,27.2000,122.9600,21.3,0,011117
22923,2008-12-29T12:50:00Z,27.2000,122.9600,21.3,0,011117
22923,2008-12-29T16:47:00Z,27.2000,122.9600,21.3,0,011117
22923,2008-12-29T20:03:00Z,27.2000,122.9600,21.3,0,011117
22923,2008-12-29T21:41:00Z,27.2000,122.9600,,0,011197
22923,2008-12-30T01:13:00Z,27.2000,122.9600,21.2,0,011117
22923,2008-12-30T04:07:00Z,27.2000,122.9600,21.2,0,011117
22923,2008-12-30T05:52:00Z,27.2000,122.9600,21.2,0,011117
22923,2008-12-30T05:54:00Z,27.2730,122.9020,21.2,0,014417
22923,2008-12-30T08:58:00Z,27.2730,122.9020,,0,011197
22923,2008-12-30T12:30:00Z,27.2730,122.9020,21,0,011117
22923,2008-12-30T12:56:00Z,27.2470,122.9000,21,0,014417
22923,2008-12-30T16:39:00Z,27.2470,122.9000,21,0,011117
22923,2008-12-30T19:42:00Z,27.2640,122.9220,20.9,0,011117
22923,2008-12-30T21:04:00Z,27.2640,122.9220,20.9,0,011117
22923,2008-12-30T21:18:00Z,27.2640,122.9220,20.9,0,011117
22923,2008-12-30T22:46:00Z,27.2790,122.9310,20.9,0,011117
22923,2008-12-31T00:50:00Z,27.2640,122.9220,20.9,0,011117
22923,2008-12-31T00:55:00Z,27.2790,122.9310,20.9,0,014417
22923,2008-12-31T01:14:00Z,27.2790,122.9310,20.9,0,011117
22923,2008-12-31T01:20:00Z,27.2850,122.9390,20.9,0,014417
22923,2008-12-31T02:59:00Z,27.2850,122.9390,20.9,0,011117
22923,2008-12-31T04:01:00Z,27.2850,122.9390,20.9,0,011117
22923,2008-12-31T05:42:00Z,27.2850,122.9390,20.8,0,011117
22923,2008-12-31T06:50:00Z,27.3100,122.9300,20.9,0,011117
22923,2008-12-31T08:32:00Z,27.3100,122.9300,,0,011197
22923,2008-12-31T12:34:00Z,27.3000,122.9270,20.7,0,011117
22923,2008-12-31T14:10:00Z,27.3000,122.9270,20.7,0,011117
22923,2008-12-31T18:06:00Z,27.3000,122.9270,20.6,0,011117
22923,2008-12-31T18:10:00Z,27.3160,122.9440,20.6,0,014417
22923,2008-12-31T19:15:00Z,27.3160,122.9440,,0,011197
22923,2008-12-31T20:48:00Z,27.3160,122.9440,20.6,0,011117
22923,2008-12-31T20:51:00Z,27.2890,122.9640,20.6,0,014417
