PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2901118,79481,2008-12-22T01:17:35Z,16.1080,118.1360,4.6,27.095,33.301,4.6,27.095,33.301,00111111111,3157,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.00 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,24/10/2018 18:25:40,Primary sampling: discrete [],1,1
2901118,79481,2008-12-22T01:17:35Z,16.1080,118.1360,9.4,27.095,33.302,9.4,27.095,33.302,00111111111,3157,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.00 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,24/10/2018 18:25:40,Primary sampling: discrete [],1,1
2901118,79481,2008-12-22T01:17:35Z,16.1080,118.1360,14.3,27.096,33.301,14.3,27.096,33.301,00111111111,3157,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.00 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,24/10/2018 18:25:40,Primary sampling: discrete [],1,1
2901118,79481,2008-12-22T01:17:35Z,16.1080,118.1360,19.6,27.096,33.301,19.6,27.096,33.301,00111111111,3157,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.00 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,24/10/2018 18:25:40,Primary sampling: discrete [],1,1
2901118,79481,2008-12-22T01:17:35Z,16.1080,118.1360,24.4,27.096,33.302,24.4,27.096,33.302,00111111111,3157,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.00 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,24/10/2018 18:25:40,Primary sampling: discrete [],1,1
2901118,79481,2008-12-22T01:17:35Z,16.1080,118.1360,29.6,27.036,33.36,29.6,27.036,33.36,00111111111,3157,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.00 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,24/10/2018 18:25:40,Primary sampling: discrete [],1,1
2901118,79481,2008-12-22T01:17:35Z,16.1080,118.1360,34.5,26.814,33.449,34.5,26.814,33.449,00111111111,3157,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.00 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,24/10/2018 18:25:40,Primary sampling: discrete [],1,1
2901118,79481,2008-12-22T01:17:35Z,16.1080,118.1360,39.6,26.757,33.452,39.6,26.757,33.452,00111111111,3157,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.00 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,24/10/2018 18:25:40,Primary sampling: discrete [],1,1
2901118,79481,2008-12-22T01:17:35Z,16.1080,118.1360,44.6,26.745,33.453,44.6,26.745,33.453,00111111111,3157,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.00 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,24/10/2018 18:25:40,Primary sampling: discrete [],1,1
2901118,79481,2008-12-22T01:17:35Z,16.1080,118.1360,49.4,26.718,33.454,49.4,26.718,33.454,00111111111,3157,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.00 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,24/10/2018 18:25:40,Primary sampling: discrete [],1,1
