PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),QC,STATION_NUMBER
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,73,25.004,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,74,24.995,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,75,24.9995,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,76,25.045,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,77,25.045,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,78,25.041,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,79,25.0475,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,80,25.059,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,81,25.0705,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,82,25.082,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,83,25.1005,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,84,25.123,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,85,25.128,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,86,25.123,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,87,25.1095,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,88,25.096,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,89,25.0955,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,90,25.077,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,91,25.066,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,92,25.018,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,93,25.002,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,94,24.972,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,95,24.97,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,96,24.972,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,97,24.9995,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,98,24.959,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,99,24.952,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,100,24.94,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,101,24.915,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,102,24.913,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,103,24.934,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,104,24.945,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,105,24.94,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,106,24.959,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,107,24.959,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,108,24.968,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,109,24.977,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,110,24.9905,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,111,24.991,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,112,24.977,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,113,24.945,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,114,24.8155,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,115,24.728,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,116,24.629,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,117,24.611,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,118,24.524,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,119,24.38,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,120,24.254,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,121,24.129,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,122,24.014,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,123,23.977,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,124,23.962,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,125,23.89,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,126,23.7525,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,127,23.684,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,128,23.6415,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,129,23.535,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,130,23.472,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,131,23.383,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,132,23.32,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,133,23.299,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,134,23.2675,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,135,23.241,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,136,23.043,011111,13098775
