PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
42558,2009-01-03T00:00:00Z,24.9840,127.7620,,0,,,,,,,,,01119799999999
42558,2009-01-03T00:10:00Z,24.9840,127.7620,,0,,,,,,,,,01119799999999
42558,2009-01-03T00:30:00Z,24.9840,127.7620,,0,,,,,,,,,01119799999999
42558,2009-01-03T00:40:00Z,24.9840,127.7620,23.3,0,,,,,,,,,01111799999999
42558,2009-01-03T01:00:00Z,25.0120,127.7530,,0,,,,,,,,,01449799999999
42558,2009-01-03T01:10:00Z,25.0370,127.7410,,0,,,,,,,,,01449799999999
42558,2009-01-03T01:30:00Z,25.0370,127.7410,,0,,,,,,,,,01119799999999
42558,2009-01-03T01:40:00Z,25.0370,127.7410,23.3,0,,,,,,,,,01111799999999
42558,2009-01-03T02:00:00Z,25.0120,127.7530,,0,,,,,,,,,01449799999999
42558,2009-01-03T02:10:00Z,25.0120,127.7530,,0,,,,,,,,,01119799999999
42558,2009-01-03T02:30:00Z,25.0120,127.7530,,0,,,,,,,,,01119799999999
42558,2009-01-03T02:40:00Z,25.0120,127.7530,,0,,,,,,,,,01119799999999
42558,2009-01-03T04:00:00Z,25.0370,127.7410,,0,,,,,,,,,01119799999999
42558,2009-01-03T04:10:00Z,25.0370,127.7410,,0,,,,,,,,,01119799999999
42558,2009-01-03T04:30:00Z,25.0370,127.7410,,0,,,,,,,,,01119799999999
42558,2009-01-03T04:40:00Z,25.0370,127.7410,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T06:00:00Z,25.0800,127.7040,,0,,,,,,,,,01119799999999
42558,2009-01-03T06:10:00Z,25.0800,127.7040,,0,,,,,,,,,01119799999999
42558,2009-01-03T06:30:00Z,25.1070,127.6600,,0,,,,,,,,,01449799999999
42558,2009-01-03T06:40:00Z,25.1070,127.6600,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T07:00:00Z,25.1070,127.6600,,0,,,,,,,,,01119799999999
42558,2009-01-03T07:10:00Z,25.1070,127.6600,,0,,,,,,,,,01119799999999
42558,2009-01-03T07:30:00Z,25.1070,127.6600,,0,,,,,,,,,01119799999999
42558,2009-01-03T07:40:00Z,25.1070,127.6600,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T08:00:00Z,25.1120,127.6600,,0,,,,,,,,,01119799999999
42558,2009-01-03T08:10:00Z,25.1120,127.6600,,0,,,,,,,,,01119799999999
42558,2009-01-03T08:30:00Z,25.1120,127.6600,,0,,,,,,,,,01119799999999
42558,2009-01-03T08:40:00Z,25.1120,127.6600,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T10:00:00Z,25.1230,127.6370,,0,,,,,,,,,01119799999999
42558,2009-01-03T10:10:00Z,25.1230,127.6370,,0,,,,,,,,,01119799999999
42558,2009-01-03T10:30:00Z,25.1230,127.6370,,0,,,,,,,,,01119799999999
42558,2009-01-03T10:40:00Z,25.1230,127.6370,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T11:00:00Z,25.1420,127.5810,,0,,,,,,,,,01449799999999
42558,2009-01-03T11:10:00Z,25.1420,127.5810,,0,,,,,,,,,01119799999999
42558,2009-01-03T11:30:00Z,25.1420,127.5810,,0,,,,,,,,,01119799999999
42558,2009-01-03T11:40:00Z,25.1420,127.5810,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T12:00:00Z,25.1370,127.5970,,0,,,,,,,,,01449799999999
42558,2009-01-03T12:10:00Z,25.1420,127.5810,,0,,,,,,,,,01449799999999
42558,2009-01-03T12:30:00Z,25.1420,127.5810,,0,,,,,,,,,01119799999999
42558,2009-01-03T12:40:00Z,25.1420,127.5810,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T13:00:00Z,25.1420,127.5810,,0,,,,,,,,,01119799999999
42558,2009-01-03T13:10:00Z,25.1420,127.5810,,0,,,,,,,,,01119799999999
42558,2009-01-03T13:30:00Z,25.1490,127.5600,,0,,,,,,,,,01449799999999
42558,2009-01-03T13:40:00Z,25.1490,127.5600,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T15:00:00Z,25.1490,127.5600,,0,,,,,,,,,01119799999999
42558,2009-01-03T15:10:00Z,25.1490,127.5600,,0,,,,,,,,,01119799999999
42558,2009-01-03T15:30:00Z,25.1490,127.5600,,0,,,,,,,,,01119799999999
42558,2009-01-03T15:40:00Z,25.1490,127.5600,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T16:00:00Z,25.1640,127.5310,,0,,,,,,,,,01449799999999
42558,2009-01-03T16:10:00Z,25.1640,127.5310,,0,,,,,,,,,01119799999999
42558,2009-01-03T16:30:00Z,25.1640,127.5310,,0,,,,,,,,,01119799999999
42558,2009-01-03T16:40:00Z,25.1640,127.5310,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T17:00:00Z,25.1700,127.5050,,0,,,,,,,,,01449799999999
42558,2009-01-03T17:10:00Z,25.1700,127.5050,,0,,,,,,,,,01119799999999
42558,2009-01-03T17:30:00Z,25.1700,127.5050,,0,,,,,,,,,01119799999999
42558,2009-01-03T17:40:00Z,25.1700,127.5050,23.1,0,,,,,,,,,01111799999999
42558,2009-01-03T18:00:00Z,25.1700,127.5050,,0,,,,,,,,,01119799999999
42558,2009-01-03T18:10:00Z,25.1700,127.5050,,0,,,,,,,,,01119799999999
42558,2009-01-03T18:30:00Z,25.1700,127.5050,,0,,,,,,,,,01119799999999
42558,2009-01-03T18:40:00Z,25.1700,127.5050,,0,,,,,,,,,01119799999999
42558,2009-01-03T19:00:00Z,25.1700,127.5050,,0,,,,,,,,,01119799999999
42558,2009-01-03T19:10:00Z,25.1700,127.5050,,0,,,,,,,,,01119799999999
42558,2009-01-03T19:30:00Z,25.1700,127.5050,,0,,,,,,,,,01119799999999
42558,2009-01-03T19:40:00Z,25.1700,127.5050,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T20:00:00Z,25.1810,127.4890,,0,,,,,,,,,01449799999999
42558,2009-01-03T20:10:00Z,25.1810,127.4890,,0,,,,,,,,,01119799999999
42558,2009-01-03T20:30:00Z,25.1810,127.4890,,0,,,,,,,,,01119799999999
42558,2009-01-03T20:40:00Z,25.1810,127.4890,23.2,0,,,,,,,,,01111799999999
42558,2009-01-03T21:00:00Z,25.1910,127.4790,,0,,,,,,,,,01119799999999
42558,2009-01-03T21:10:00Z,25.1910,127.4790,,0,,,,,,,,,01119799999999
42558,2009-01-03T21:30:00Z,25.1910,127.4790,,0,,,,,,,,,01119799999999
42558,2009-01-03T21:40:00Z,25.1910,127.4790,23.1,0,,,,,,,,,01111799999999
42558,2009-01-03T23:00:00Z,25.2050,127.4940,,0,,,,,,,,,01119799999999
42558,2009-01-03T23:10:00Z,25.2050,127.4940,,0,,,,,,,,,01119799999999
42558,2009-01-03T23:30:00Z,25.2050,127.4940,,0,,,,,,,,,01119799999999
42558,2009-01-03T23:40:00Z,25.2050,127.4940,23.2,0,,,,,,,,,01111799999999
42558,2009-01-04T00:00:00Z,25.1940,127.4850,,0,,,,,,,,,01119799999999
42558,2009-01-04T00:00:00Z,25.2060,127.4940,,0,-4.6,-3.8,-0.06,-0.04,211,15,0.054,0.294,01119711111111
42558,2009-01-04T00:10:00Z,25.1940,127.4850,,0,,,,,,,,,01119799999999
42558,2009-01-04T00:30:00Z,25.1940,127.4850,,0,,,,,,,,,01119799999999
42558,2009-01-04T00:40:00Z,25.1940,127.4850,23.2,0,,,,,,,,,01111799999999
42558,2009-01-04T01:00:00Z,25.2050,127.4940,,0,,,,,,,,,01119799999999
42558,2009-01-04T01:10:00Z,25.2050,127.4940,,0,,,,,,,,,01119799999999
42558,2009-01-04T01:30:00Z,25.2050,127.4940,,0,,,,,,,,,01119799999999
42558,2009-01-04T01:40:00Z,25.2050,127.4940,23.2,0,,,,,,,,,01111799999999
42558,2009-01-04T02:00:00Z,25.2050,127.4940,,0,,,,,,,,,01119799999999
42558,2009-01-04T02:10:00Z,25.2050,127.4940,,0,,,,,,,,,01119799999999
42558,2009-01-04T02:30:00Z,25.2050,127.4940,,0,,,,,,,,,01119799999999
42558,2009-01-04T02:40:00Z,25.2050,127.4940,23.2,0,,,,,,,,,01111799999999
42558,2009-01-04T03:00:00Z,25.2440,127.4980,,0,-5.7,-2.4,-0.06,-0.03,211,15,0.035,0.34,01119711111111
42558,2009-01-04T04:00:00Z,25.2290,127.4960,,0,,,,,,,,,01119799999999
42558,2009-01-04T04:10:00Z,25.2290,127.4960,,0,,,,,,,,,01119799999999
42558,2009-01-04T04:30:00Z,25.2290,127.4960,,0,,,,,,,,,01119799999999
42558,2009-01-04T04:40:00Z,25.2290,127.4960,23.2,0,,,,,,,,,01111799999999
42558,2009-01-04T05:00:00Z,25.2840,127.5030,,0,,,,,,,,,01449799999999
42558,2009-01-04T05:10:00Z,25.2840,127.5030,,0,,,,,,,,,01119799999999
42558,2009-01-04T05:30:00Z,25.2840,127.5030,,0,,,,,,,,,01119799999999
42558,2009-01-04T05:40:00Z,25.2840,127.5030,,0,,,,,,,,,01119799999999
42558,2009-01-04T06:00:00Z,25.2840,127.5030,,0,,,,,,,,,01119799999999
42558,2009-01-04T06:00:00Z,25.2720,127.5020,,0,-5.3,-2.2,-0.05,-0.02,211,15,0.025,0.403,01119711111111
42558,2009-01-04T06:10:00Z,25.2840,127.5030,,0,,,,,,,,,01119799999999
42558,2009-01-04T06:30:00Z,25.2840,127.5030,,0,,,,,,,,,01119799999999
42558,2009-01-04T06:40:00Z,25.2840,127.5030,23.2,0,,,,,,,,,01111799999999
42558,2009-01-04T07:00:00Z,25.2840,127.5030,,0,,,,,,,,,01119799999999
42558,2009-01-04T07:10:00Z,25.2840,127.5030,,0,,,,,,,,,01119799999999
42558,2009-01-04T07:30:00Z,25.2950,127.5030,,0,,,,,,,,,01119799999999
42558,2009-01-04T07:40:00Z,25.2950,127.5030,23.2,0,,,,,,,,,01111799999999
42558,2009-01-04T08:00:00Z,25.2950,127.5030,,0,,,,,,,,,01119799999999
42558,2009-01-04T08:10:00Z,25.3140,127.5050,,0,,,,,,,,,01449799999999
42558,2009-01-04T08:30:00Z,25.3140,127.5050,,0,,,,,,,,,01119799999999
42558,2009-01-04T08:40:00Z,25.3140,127.5050,23.2,0,,,,,,,,,01111799999999
42558,2009-01-04T09:00:00Z,25.3220,127.5030,,0,-5.6,-2,-0.05,-0.02,211,15,-0.097,0.516,01119711111111
42558,2009-01-04T10:00:00Z,25.3260,127.4990,,0,,,,,,,,,01119799999999
42558,2009-01-04T10:10:00Z,25.3260,127.4990,,0,,,,,,,,,01119799999999
42558,2009-01-04T10:30:00Z,25.3260,127.4990,,0,,,,,,,,,01119799999999
42558,2009-01-04T10:40:00Z,25.3260,127.4990,23.1,0,,,,,,,,,01111799999999
42558,2009-01-04T11:00:00Z,25.3260,127.4990,,0,,,,,,,,,01119799999999
42558,2009-01-04T11:10:00Z,25.3260,127.4990,,0,,,,,,,,,01119799999999
42558,2009-01-04T11:30:00Z,25.3260,127.4990,,0,,,,,,,,,01119799999999
42558,2009-01-04T11:40:00Z,25.3260,127.4990,23.1,0,,,,,,,,,01111799999999
42558,2009-01-04T12:00:00Z,25.3740,127.4800,,0,,,,,,,,,01449799999999
42558,2009-01-04T12:00:00Z,25.3720,127.4810,,0,-6.4,-1.5,-0.06,-0.03,211,15,-0.222,0.429,01119711111111
