PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
22930,2009-01-03T00:14:00Z,23.2740,123.8200,22.9,0,,,,,,,,,01111799999999
22930,2009-01-03T00:21:00Z,23.2840,123.8190,22.9,0,,,,,,,,,01441799999999
22930,2009-01-03T01:21:00Z,23.3720,123.8000,22.9,0,,,,,,,,,01441799999999
22930,2009-01-03T01:27:00Z,23.2740,123.8200,22.9,0,,,,,,,,,01441799999999
22930,2009-01-03T01:59:00Z,23.2680,123.8250,22.9,0,,,,,,,,,01111799999999
22930,2009-01-03T02:02:00Z,23.2680,123.8250,22.9,0,,,,,,,,,01111799999999
22930,2009-01-03T05:02:00Z,23.2680,123.8250,22.9,0,,,,,,,,,01111799999999
22930,2009-01-03T05:09:00Z,23.2680,123.8250,22.9,0,,,,,,,,,01111799999999
22930,2009-01-03T07:23:00Z,23.2680,123.8250,22.9,0,,,,,,,,,01111799999999
22930,2009-01-03T07:46:00Z,23.2090,123.7850,22.9,0,,,,,,,,,01441799999999
22930,2009-01-03T11:28:00Z,23.1360,123.7800,23,0,,,,,,,,,01111799999999
22930,2009-01-03T12:37:00Z,23.1350,123.7810,23,0,,,,,,,,,01111799999999
22930,2009-01-03T13:13:00Z,23.1280,123.7660,23,0,,,,,,,,,01111799999999
22930,2009-01-03T17:35:00Z,23.1280,123.7660,23.1,0,,,,,,,,,01111799999999
22930,2009-01-03T17:40:00Z,23.1280,123.7660,,0,,,,,,,,,01119799999999
22930,2009-01-03T19:18:00Z,23.1280,123.7660,23,0,,,,,,,,,01111799999999
22930,2009-01-03T19:44:00Z,23.0080,123.7840,23,0,,,,,,,,,01441799999999
22930,2009-01-03T19:49:00Z,23.0070,123.7840,23,0,,,,,,,,,01111799999999
22930,2009-01-03T20:22:00Z,23.0070,123.7840,23,0,,,,,,,,,01111799999999
22930,2009-01-03T21:22:00Z,23.0070,123.7840,23,0,,,,,,,,,01111799999999
22930,2009-01-03T23:58:00Z,22.9150,123.7970,23,0,,,,,,,,,01111799999999
22930,2009-01-04T00:00:00Z,22.9310,123.7930,,0,-5.7,-1.8,-0.07,-0.02,211,15,0.112,-0.52,01119711111111
22930,2009-01-04T00:56:00Z,23.0070,123.7840,23,0,,,,,,,,,01111799999999
22930,2009-01-04T01:00:00Z,22.9150,123.7970,23,0,,,,,,,,,01441799999999
22930,2009-01-04T01:42:00Z,22.9060,123.8020,23,0,,,,,,,,,01111799999999
22930,2009-01-04T02:37:00Z,22.9150,123.7970,23.3,0,,,,,,,,,01111799999999
22930,2009-01-04T02:41:00Z,22.9150,123.7970,23.3,0,,,,,,,,,01111799999999
22930,2009-01-04T03:00:00Z,22.8830,123.8090,,0,-6.1,-1.5,-0.08,-0.02,211,15,0.179,-0.471,01119711111111
22930,2009-01-04T04:56:00Z,22.8550,123.8210,23.3,0,,,,,,,,,01111799999999
22930,2009-01-04T06:00:00Z,22.8390,123.8310,,0,-6.3,-2.2,-0.09,-0.02,211,15,0.2,-0.426,01119711111111
22930,2009-01-04T06:52:00Z,22.8550,123.8220,23.2,0,,,,,,,,,01111799999999
22930,2009-01-04T07:33:00Z,22.8550,123.8220,23.2,0,,,,,,,,,01111799999999
22930,2009-01-04T09:00:00Z,22.8000,123.8520,,0,-7.7,-1.4,-0.1,-0.02,211,15,0.129,-0.391,01119711111111
22930,2009-01-04T09:16:00Z,22.8550,123.8220,23.3,0,,,,,,,,,01111799999999
22930,2009-01-04T12:00:00Z,22.7630,123.8580,,0,-7.5,-0.9,-0.1,-0.02,211,15,0.027,-0.414,01119711111111
22930,2009-01-04T12:12:00Z,22.7620,123.8580,23.2,0,,,,,,,,,01111799999999
22930,2009-01-04T12:45:00Z,22.7620,123.8580,23.2,0,,,,,,,,,01111799999999
22930,2009-01-04T12:51:00Z,22.7550,123.8600,23.2,0,,,,,,,,,01441799999999
22930,2009-01-04T13:50:00Z,22.7400,123.8540,23.2,0,,,,,,,,,01111799999999
22930,2009-01-04T14:27:00Z,22.7430,123.8510,23.2,0,,,,,,,,,01111799999999
22930,2009-01-04T15:00:00Z,22.7190,123.8570,,0,-7.6,-0.3,-0.08,-0.01,211,15,0.07,-0.528,01119711111111
22930,2009-01-04T17:24:00Z,22.7430,123.8510,23.2,0,,,,,,,,,01111799999999
22930,2009-01-04T18:00:00Z,22.6610,123.8730,,0,-5.6,-1.6,-0.07,-0.02,211,15,0.189,-0.574,01119711111111
22930,2009-01-04T19:11:00Z,22.6690,123.8750,23.1,0,,,,,,,,,01111799999999
22930,2009-01-04T19:20:00Z,22.6690,123.8750,23.1,0,,,,,,,,,01111799999999
22930,2009-01-04T19:22:00Z,22.6410,123.8730,23.1,0,,,,,,,,,01441799999999
22930,2009-01-04T20:10:00Z,22.6690,123.8750,23.1,0,,,,,,,,,01111799999999
22930,2009-01-04T20:57:00Z,22.6410,123.8730,23.1,0,,,,,,,,,01111799999999
22930,2009-01-04T21:00:00Z,22.6080,123.8970,,0,-6.6,-3.4,-0.08,-0.04,211,15,0.06,-0.457,01119711111111
22930,2009-01-04T21:06:00Z,22.6080,123.8970,23.1,0,,,,,,,,,01441799999999
22930,2009-01-04T21:43:00Z,22.6080,123.8970,23.1,0,,,,,,,,,01111799999999
22930,2009-01-05T00:00:00Z,22.5720,123.8860,,0,-7,-3.8,-0.11,-0.06,211,15,-0.133,-0.284,01119711111111
22930,2009-01-05T00:38:00Z,22.6080,123.8970,23.1,0,,,,,,,,,01111799999999
22930,2009-01-05T01:21:00Z,22.5570,123.8670,23.3,0,,,,,,,,,01441799999999
22930,2009-01-05T02:12:00Z,22.6080,123.8970,23.2,0,,,,,,,,,01441799999999
22930,2009-01-05T03:00:00Z,22.5530,123.8690,,0,-8.2,-3.6,-0.12,-0.06,211,15,-0.024,-0.185,01119711111111
22930,2009-01-05T04:49:00Z,22.5570,123.8670,23.2,0,,,,,,,,,01111799999999
22930,2009-01-05T06:00:00Z,22.5360,123.8810,,0,-7.2,-4.5,-0.15,-0.09,211,15,0.09,-0.209,01119711111111
22930,2009-01-05T08:06:00Z,22.5440,123.8760,23.2,0,,,,,,,,,01111799999999
22930,2009-01-05T08:12:00Z,22.5200,123.8870,23.2,0,,,,,,,,,01441799999999
22930,2009-01-05T09:00:00Z,22.5120,123.8880,,0,-9,-4.9,-0.17,-0.1,211,15,0.043,-0.279,01119711111111
22930,2009-01-05T09:03:00Z,22.5200,123.8870,23.2,0,,,,,,,,,01111799999999
22930,2009-01-05T09:49:00Z,22.5200,123.8870,23.2,0,,,,,,,,,01111799999999
22930,2009-01-05T11:44:00Z,22.5200,123.8870,23.1,0,,,,,,,,,01111799999999
22930,2009-01-05T12:00:00Z,22.4820,123.8900,,0,-8.6,-4,-0.19,-0.09,211,15,0.049,-0.333,01119711111111
22930,2009-01-05T12:32:00Z,22.4770,123.8900,23.1,0,,,,,,,,,01441799999999
22930,2009-01-05T13:27:00Z,22.5200,123.8870,23.1,0,,,,,,,,,01441799999999
22930,2009-01-05T14:10:00Z,22.4770,123.8900,23.1,0,,,,,,,,,01441799999999
22930,2009-01-05T15:00:00Z,22.4480,123.8980,,0,-9.9,-3.8,-0.18,-0.07,211,15,0.069,-0.368,01119711111111
22930,2009-01-05T17:17:00Z,22.4770,123.8900,23.1,0,,,,,,,,,01111799999999
